"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"181","Michael Wilson","ARZ","wr","11","WAS","7.6","0","0","0","0","0","0","0","0","0","0","4.3725","2.8441","34.1836","0.2081","0","0","0.0132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"182","Khalil Herbert","CHI","rb","7","LA","5.3","0","0","0","0","0","0","0","6.8451","30.4055","0.1781","0.851","0.6774","4.357","0.0194","0.0999","0.0448","0.0073","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"183","Jalen Tolbert","DAL","wr","7","@NYG","7.5","0","0","0","0","0","0","0","0","0","0","4.3841","2.7403","32.9968","0.2287","0","0","0.0118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"184","Trey Benson","ARZ","rb","11","WAS","5.2","0","0","0","0","0","0","0","5.5161","23.6749","0.1441","1.2625","1.042","6.964","0.0361","0.0858","0.039","0.0103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"185","Tommy Tremble","CAR","te","11","CIN","5","0","0","0","0","0","0","0","0","0","0","2.8176","2.0204","19.8869","0.1577","0","0","0.0063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"186","Caleb Williams","CHI","qb","7","LA","14.9","0","24.1545","35.457","227.4762","1.015","0.9701","2.8692","4.7443","17.8997","0.108","0","0","0","0","0.419","0.2095","0.071","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"187","Tyrone Tracy","NYG","rb","11","DAL","5","0","0","0","0","0","0","0","4.9289","21.418","0.1518","1.3013","1.0337","7.1947","0.0341","0.0778","0.0355","0.0087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"188","Tyler Huntley","MIA","qb","6","TEN","14.8","0","21.1179","30.2202","195.6538","1.0078","0.709","2.4634","5.615","30.4743","0.0915","0","0","0","0","0.3864","0.1907","0.0831","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"189","Jeremy McNichols","WAS","rb","14","@ARZ","4.9","0","0","0","0","0","0","0","2.9419","11.9352","0.0936","1.9883","1.6198","11.7457","0.0534","0.0572","0.0271","0.0089","38.2696","0.0098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"190","Will Dissly","LAC","te","5","KC","4.8","0","0","0","0","0","0","0","0","0","0","2.6916","2.1828","18.994","0.1218","0","0","0.0069","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"191","Marvin Mims Jr.","DEN","wr","14","@NYJ","7.1","0","0","0","0","0","0","0","0.4111","2.4251","0.0179","4.3665","2.5817","31.7855","0.1213","0.0334","0.0178","0.0078","66.0837","0.0298","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"192","Ty Chandler","MIN","rb","6","@GB","4.7","0","0","0","0","0","0","0","6.518","27.3678","0.1531","0.6675","0.5498","3.5377","0.0162","0.0941","0.0421","0.009","37.3418","0.0095","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"193","Tank Bigsby","JAX","rb","12","@HST","4.7","0","0","0","0","0","0","0","4.9401","20.341","0.1468","1.196","0.9505","6.5425","0.0314","0.0771","0.035","0.0095","35.5086","0.0091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"194","Darius Slayton","NYG","wr","11","DAL","6.8","0","0","0","0","0","0","0","0","0","0","4.0339","2.5226","32.1916","0.1499","0","0","0.0101","40.6246","0.0104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"195","Ray-Ray McCloud III","ATL","wr","12","NO","6.8","0","0","0","0","0","0","0","0","0","0","3.8367","2.7454","29.3363","0.1691","0","0","0.0101","19.8297","0.0171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"196","Ray Davis","BUF","rb","12","@BLT","4.5","0","0","0","0","0","0","0","4.3496","17.9071","0.1487","1.1698","0.9753","6.6629","0.035","0.0693","0.0317","0.0102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"197","Josh Oliver","MIN","te","6","@GB","4.4","0","0","0","0","0","0","0","0","0","0","2.6365","1.8943","17.7444","0.1261","0","0","0.0061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"198","Daniel Bellinger","NYG","te","11","DAL","4.4","0","0","0","0","0","0","0","0","0","0","2.6025","1.9631","17.8922","0.0981","0","0","0.0065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"199","Bo Nix","DEN","qb","14","@NYJ","14.3","0","23.8969","35.2137","205.7669","0.8226","0.9256","2.2533","5.9","27.643","0.1351","0","0","0","0","0.362","0.1784","0.0632","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200","Kenneth Gainwell","PHI","rb","5","@TB","4.4","0","0","0","0","0","0","0","1.1204","4.7797","0.038","2.4456","1.9756","13.7423","0.0515","0.0364","0.0184","0.0086","33.4303","0.0085","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201","Gerald Everett","CHI","te","7","LA","4.3","0","0","0","0","0","0","0","0","0","0","2.6238","2.0187","16.2249","0.1","0","0","0.0051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202","Ja'Tavion Sanders","CAR","te","11","CIN","4.3","0","0","0","0","0","0","0","0","0","0","2.5083","1.8019","17.1139","0.1351","0","0","0.0056","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"203","Dyami Brown","WAS","wr","14","@ARZ","6.6","0","0","0","0","0","0","0","0","0","0","3.7873","2.3044","32.5537","0.1728","0","0","0.0103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"204","Rashod Bateman","BLT","wr","14","BUF","6.6","0","0","0","0","0","0","0","0","0","0","3.9813","2.5007","29.272","0.1836","0","0","0.0121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"205","Trey Palmer","TB","wr","11","PHI","6.6","0","0","0","0","0","0","0","0.2264","1.2624","0.0068","3.7726","2.4364","28.0351","0.172","0.0293","0.0158","0.0093","19.26","0.0166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"206","Dontayvion Wicks","GB","wr","10","MIN","6.6","0","0","0","0","0","0","0","0","0","0","3.8699","2.4426","28.6158","0.2033","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"207","Austin Hooper","NE","te","14","@SF","4","0","0","0","0","0","0","0","0","0","0","2.407","1.7282","16.5229","0.1066","0","0","0.0058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"208","Josh Downs","IND","wr","14","PIT","6.3","0","0","0","0","0","0","0","0","0","0","3.8786","2.5731","28.3868","0.1303","0","0","0.0108","31.0242","0.0079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"209","Xavier Hutchinson","HST","wr","14","JAX","6.2","0","0","0","0","0","0","0","0","0","0","3.7507","2.5474","27.0413","0.1517","0","0","0.0091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"210","Isaac Guerendo","SF","rb","9","NE","3.9","0","0","0","0","0","0","0","5.0212","20.038","0.1639","0.556","0.4533","3.5437","0.021","0.0728","0.0326","0.0077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"211","John Bates","WAS","te","14","@ARZ","3.8","0","0","0","0","0","0","0","0","0","0","2.2093","1.6421","15.8345","0.1007","0","0","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"212","K.J. Osborn","NE","wr","14","@SF","6.1","0","0","0","0","0","0","0","0","0","0","3.6739","2.5007","25.6377","0.1595","0","0","0.0088","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"213","Allen Lazard","NYJ","wr","12","DEN","6.1","0","0","0","0","0","0","0","0","0","0","3.2618","2.0871","26.2687","0.2217","0","0","0.0094","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"214","Ja'Lynn Polk","NE","wr","14","@SF","6.1","0","0","0","0","0","0","0","0","0","0","3.7055","2.4494","26.635","0.1668","0","0","0.0089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"215","Anthony Richardson","IND","qb","14","PIT","13.7","0","15.7579","23.7949","161.8197","0.8236","0.6721","1.9548","6.2109","27.6356","0.3027","0","0","0","0","0.3274","0.1609","0.0706","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216","Parris Campbell","PHI","wr","5","@TB","6","0","0","0","0","0","0","0","0","0","0","3.6685","2.687","25.276","0.1239","0","0","0.0108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"217","Foster Moreau","NO","te","12","@ATL","3.6","0","0","0","0","0","0","0","0","0","0","1.996","1.5136","14.2541","0.1068","0","0","0.0056","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
