player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Nate Adkins,87625,TE,DEN,1,57.7,0,10,89.2,72.7,74.9,0,0,2,18.2,21.4,100.0,0,0,0,15,0,0,0,26,3,14,0,0,12,21
Noah Gray,60878,TE,KC,1,34.1,0,16,87.7,75.6,84.3,0,0,3,10.3,9.4,100.0,0,0,0,15,0,0,0,44,3,32,0,0,12,24
Michael Wilson,84423,WR,ARZ,1,22.4,0,1,60.2,,37.3,0,0,0,0.0,0.0,,1,0,0,15,0,0,0,67,0,52,0,0,15,0
Demarcus Robinson,10760,WR,LA,1,44.1,0,26,67.0,,54.9,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,34,0,19,0,0,15,0
Hunter Luepke,91319,FB,DAL,1,43.8,0,9,40.5,29.2,39.9,0,0,2,12.5,21.1,100.0,0,0,0,14,0,0,0,32,4,19,0,0,10,2
Jalen Brooks,111284,WR,DAL,1,63.6,0,9,58.4,,76.5,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,22,0,8,0,0,14,0
Tyler Guyton,123076,T,DAL,1,100.0,0,9,34.3,0.3,60.1,1,1,10,100.0,100.0,90.0,0,2,0,14,0,0,14,14,10,10,0,0,4,0
D.K. Metcalf,47864,WR,SEA,1,29.8,0,29,71.0,,88.7,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,47,0,33,0,0,14,0
Jonathan Mingo,97774,WR,DAL,1,56.0,0,9,53.9,,54.5,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,25,0,11,0,0,14,0
Mac Jones,60323,QB,JAX,1,27.5,0,15,74.1,,60.0,0,0,0,0.0,0.0,,1,0,0,14,0,0,0,51,0,36,0,0,14,0
Tua Tagovailoa,60326,QB,MIA,1,19.7,0,17,73.7,,60.0,0,0,0,0.0,0.0,,2,0,0,14,0,0,0,71,0,56,0,0,14,0
Noah Fant,42388,TE,SEA,1,33.3,0,29,56.7,61.7,52.5,0,0,2,6.9,9.7,100.0,0,0,0,14,0,0,0,42,3,31,0,0,11,23
Reggie Gilliam,40951,FB,BUF,1,100.0,0,4,71.5,66.9,69.3,0,0,1,100.0,100.0,100.0,0,0,0,14,0,0,0,14,1,1,0,0,13,6
Malachi Corley,66272,WR,NYJ,1,34.1,0,22,52.5,,56.8,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,41,0,26,0,0,14,0
Dawson Knox,35883,TE,BUF,1,50.0,0,4,84.7,67.6,82.2,0,0,1,7.1,6.7,100.0,1,0,0,14,0,0,0,28,1,15,0,0,13,20
Parker Washington,129799,WR,JAX,1,25.0,0,15,80.7,,54.3,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,56,0,42,0,0,14,0
Jalen Virgil,41991,WR,BUF,1,93.3,0,4,68.0,,78.1,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,15,0,1,0,0,14,1
