"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"Nick Chubb","RB","CLE","CIN","6000","0.3%","0.4%","0.5%","6800","0.5%"
"George Kittle","TE","SF","KC","6000","5.0%","5.0%","4.9%","7500","1.8%"
"Jameson Williams","WR","DET","@MIN","6000","0.4%","0.5%","0.5%","6500","3.6%"
"Khalil Shakir","WR","BUF","TEN","6000","0.3%","0.4%","0.5%","6200","0.5%"
"Chase Brown","RB","CIN","@CLE","5900","3.6%","5.0%","5.9%","6500","8.5%"
"Austin Ekeler","RB","WAS","CAR","5900","0.3%","0.4%","0.5%","6600","0.5%"
"Jaxon Smith-Njigba","WR","SEA","@ATL","5900","5.4%","6.4%","7.0%","6100","11.3%"
"Geno Smith","QB","SEA","@ATL","5800","14.8%","13.5%","12.6%","7600","10.7%"
"Zack Moss","RB","CIN","@CLE","5800","0.3%","0.4%","0.5%","6700","0.5%"
"Brock Bowers","TE","LV","@LA","5800","16.7%","15.4%","14.5%","7000","10.0%"
"Amari Cooper","WR","BUF","TEN","5800","0.3%","0.4%","0.5%","6100","0.5%"
"Ty Johnson","RB","BUF","TEN","5700","0.0%","0.0%","0.0%","5700","0.0%"
"Josh Downs","WR","IND","MIA","5700","5.5%","6.1%","6.6%","6400","5.6%"
"Matthew Stafford","QB","LA","LV","5600","1.8%","2.4%","2.8%","7100","1.8%"
"Ty Chandler","RB","MIN","DET","5600","0.1%","0.2%","0.3%","6400","0.3%"
"Darnell Mooney","WR","ATL","SEA","5600","15.8%","16.1%","16.4%","6300","18.3%"
"Jordan Addison","WR","MIN","DET","5600","9.8%","9.5%","9.2%","6300","13.8%"
"Trey Sermon","RB","IND","MIA","5500","3.7%","5.9%","7.3%","5900","15.7%"
"Alexander Mattison","RB","LV","@LA","5500","0.3%","0.5%","0.7%","6100","0.8%"
"Romeo Doubs","WR","GB","HOU","5500","0.5%","1.1%","1.6%","6000","4.9%"
"Calvin Ridley","WR","TEN","@BUF","5500","0.3%","0.4%","0.5%","5700","1.2%"
"Daniel Jones","QB","NYG","PHI","5400","8.1%","7.4%","7.0%","7000","5.4%"
"Tyler Goodson","RB","IND","MIA","5400","0.6%","0.8%","1.0%","5100","8.5%"
"Dameon Pierce","RB","HOU","@GB","5400","0.0%","0.0%","0.0%","5100","0.0%"
"Keon Coleman","WR","BUF","TEN","5400","0.1%","0.2%","0.3%","5900","0.3%"
"Zach Charbonnet","RB","SEA","@ATL","5300","0.3%","0.4%","0.5%","5300","0.5%"
"D'Onta Foreman","RB","CLE","CIN","5300","0.1%","0.2%","0.3%","5400","0.3%"
"Sam LaPorta","TE","DET","@MIN","5300","0.3%","0.4%","0.5%","6500","0.7%"
"Tyler Lockett","WR","SEA","@ATL","5300","2.0%","2.7%","3.2%","5800","8.1%"
"Jaylen Waddle","WR","MIA","@IND","5300","1.9%","2.7%","3.2%","6200","1.8%"
"Andy Dalton","QB","CAR","@WAS","5200","2.9%","3.9%","4.5%","7300","0.6%"
"Ray Davis","RB","BUF","TEN","5200","0.1%","0.2%","0.3%","5400","0.3%"
"Jaylen Wright","RB","MIA","@IND","5200","0.0%","0.0%","0.0%","5200","0.0%"
"Dontayvion Wicks","WR","GB","HOU","5200","0.1%","0.2%","0.3%","5600","0.3%"
"Alec Pierce","WR","IND","MIA","5200","0.1%","0.2%","0.3%","5700","0.3%"
"Tyler Huntley","QB","MIA","@IND","5100","2.9%","3.5%","3.8%","6700","1.7%"
"Tyler Allgeier","RB","ATL","SEA","5100","0.9%","1.4%","1.7%","5800","3.1%"
"Patrick Taylor Jr.","RB","SF","KC","5100","0.0%","0.0%","0.0%","4500","0.0%"
"Xavier Legette","WR","CAR","@WAS","5100","0.3%","0.9%","1.3%","5900","0.9%"
"Darius Slayton","WR","NYG","PHI","5100","0.3%","0.4%","0.5%","6000","0.3%"
"Clyde Edwards-Helaire","RB","KC","@SF","5000","0.0%","0.0%","0.0%","4000","0.0%"
"Dalton Kincaid","TE","BUF","TEN","5000","0.5%","0.7%","0.9%","6300","0.5%"
"Tutu Atwell","WR","LA","LV","5000","17.3%","16.7%","16.3%","5800","13.4%"
"DeAndre Hopkins","WR","TEN","@BUF","5000","1.7%","3.0%","3.9%","5600","6.8%"
"Deshaun Watson","QB","CLE","CIN","4900","4.1%","3.7%","3.5%","6800","1.4%"
"Jameis Winston","QB","CLE","CIN","4900","0.0%","0.0%","0.0%","6000","0.0%"
"Zamir White","RB","LV","@LA","4900","0.1%","0.2%","0.3%","5600","0.3%"
"Samaje Perine","RB","KC","@SF","4900","0.1%","0.2%","0.3%","5200","0.0%"
"Christian Watson","WR","GB","HOU","4900","2.2%","3.0%","3.5%","5900","3.0%"
"Aidan O'Connell","QB","LV","@LA","4800","0.7%","0.9%","1.0%","6500","0.5%"
"Pierre Strong Jr.","RB","CLE","CIN","4800","0.3%","0.4%","0.5%","4800","0.5%"
"Jordan Whittington","WR","LA","LV","4800","18.6%","17.1%","16.1%","5300","18.4%"
"Jerry Jeudy","WR","CLE","CIN","4800","10.3%","11.1%","11.7%","5600","12.0%"
"Mason Rudolph","QB","TEN","@BUF","4700","0.3%","0.4%","0.5%","6000","0.5%"
"Kenneth Gainwell","RB","PHI","@NYG","4700","0.0%","0.0%","0.0%","4800","0.0%"
"Demarcus Robinson","WR","LA","LV","4700","0.3%","0.4%","0.5%","5500","0.5%"
"Tucker Kraft","TE","GB","HOU","4600","1.0%","1.1%","1.2%","5800","3.4%"
"Emanuel Wilson","RB","GB","HOU","4500","0.1%","0.2%","0.3%","5400","0.5%"
"Miles Sanders","RB","CAR","@WAS","4500","0.1%","0.2%","0.3%","5300","0.3%"
"Ameer Abdullah","RB","LV","@LA","4500","0.0%","0.0%","0.0%","4700","0.0%"
"Cam Akers","RB","MIN","DET","4500","0.0%","0.0%","0.0%","5000","0.0%"
"Kyle Pitts","TE","ATL","SEA","4500","8.4%","9.3%","9.9%","5900","6.2%"
"Jalen Nailor","WR","MIN","DET","4500","0.1%","0.2%","0.3%","5200","0.3%"
"Jahan Dotson","WR","PHI","@NYG","4500","0.0%","0.0%","0.0%","5100","0.0%"
"Jeremy McNichols","RB","WAS","CAR","4400","0.0%","0.0%","0.0%","5500","0.0%"
"Carson Steele","RB","KC","@SF","4400","0.0%","0.0%","0.0%","4900","0.0%"
"Blake Corum","RB","LA","LV","4400","0.0%","0.0%","0.0%","4700","0.0%"
"Ray-Ray McCloud III","WR","ATL","SEA","4400","17.1%","15.9%","15.2%","5500","8.7%"
"Dare Ogunbowale","RB","HOU","@GB","4300","0.0%","0.0%","0.0%","4800","0.0%"
"Curtis Samuel","WR","BUF","TEN","4300","0.1%","0.2%","0.3%","5100","0.3%"
"Eric Gray","RB","NYG","PHI","4200","0.0%","0.0%","0.0%","5000","0.0%"
"Dalton Schultz","TE","HOU","@GB","4200","10.9%","10.0%","9.3%","5200","13.3%"
"Tre Tucker","WR","LV","@LA","4200","20.5%","18.8%","17.7%","5500","5.5%"
"Kyle Juszczyk","RB","SF","KC","4100","0.0%","0.0%","0.0%","4400","0.0%"
"David Njoku","TE","CLE","CIN","4100","21.2%","19.7%","18.7%","5300","16.9%"
"Tyler Johnson","WR","LA","LV","4100","0.0%","0.0%","0.0%","4500","0.0%"
"Julius Chestnut","RB","TEN","@BUF","4000","0.0%","0.0%","0.0%","4500","0.0%"
"Alec Ingold","RB","MIA","@IND","4000","0.0%","0.0%","0.0%","4100","0.0%"
"C.J. Ham","RB","MIN","DET","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Ronnie Rivers","RB","LA","LV","4000","0.0%","0.0%","0.0%","4900","0.0%"
"Chris Brooks","RB","GB","HOU","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Sione Vaki","RB","DET","@MIN","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Craig Reynolds","RB","DET","@MIN","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Kenny McIntosh","RB","SEA","@ATL","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Avery Williams","RB","ATL","SEA","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Reggie Gilliam","RB","BUF","TEN","4000","0.0%","0.0%","0.0%","4100","0.0%"
"Trayveon Williams","RB","CIN","@CLE","4000","0.0%","0.0%","0.0%","4100","0.0%"
"Evan Hull","RB","IND","MIA","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Will Shipley","RB","PHI","@NYG","4000","0.0%","0.0%","0.0%","4300","0.0%"
"Raheem Blackshear","RB","CAR","@WAS","4000","0.0%","0.0%","0.0%","4000","0.0%"
"JuJu Smith-Schuster","WR","KC","@SF","4000","27.7%","24.2%","21.9%","6100","1.1%"
"Noah Brown","WR","WAS","CAR","4000","8.1%","8.2%","8.4%","5000","6.8%"
"Zach Ertz","TE","WAS","CAR","3900","11.6%","10.5%","9.8%","5100","9.3%"
"Tyler Boyd","WR","TEN","@BUF","3900","0.1%","0.2%","0.3%","4900","0.3%"
"Dyami Brown","WR","WAS","CAR","3900","0.0%","0.0%","0.0%","4800","0.0%"
"Colby Parkinson","TE","LA","LV","3800","25.5%","24.4%","23.6%","5200","18.3%"
"Andrei Iosivas","WR","CIN","@CLE","3800","0.1%","0.2%","0.3%","5500","0.3%"
"Odell Beckham Jr.","WR","MIA","@IND","3800","0.0%","0.0%","0.0%","4700","0.0%"
"Justin Watson","WR","KC","@SF","3700","0.1%","0.2%","0.3%","5400","0.3%"
"Adonai Mitchell","WR","IND","MIA","3700","0.1%","0.2%","0.3%","4900","0.3%"
"Eagles ","DST","PHI","@NYG","3600","1.0%","1.9%","2.5%","4700","2.2%"
"Olamide Zaccheaus","WR","WAS","CAR","3600","0.1%","0.2%","0.3%","4700","0.3%"
"Jonathan Mingo","WR","CAR","@WAS","3600","0.1%","0.1%","0.1%","5200","0.0%"
"Bills ","DST","BUF","TEN","3500","17.7%","17.7%","17.7%","5000","4.5%"
"Noah Fant","TE","SEA","@ATL","3500","1.9%","2.6%","3.1%","5100","0.8%"
"Tim Patrick","WR","DET","@MIN","3500","0.1%","0.2%","0.3%","4800","0.3%"
"Luke McCaffrey","WR","WAS","CAR","3500","0.0%","0.0%","0.0%","4300","0.0%"
"Commanders ","DST","WAS","CAR","3400","0.6%","1.1%","1.5%","4600","0.5%"
"Jonnu Smith","TE","MIA","@IND","3400","0.1%","0.2%","0.3%","5000","0.4%"
"DJ Turner","WR","LV","@LA","3400","3.2%","3.9%","4.4%","4800","0.9%"
"Xavier Hutchinson","WR","HOU","@GB","3400","0.1%","0.5%","0.7%","5300","0.0%"
"Bo Melton","WR","GB","HOU","3400","0.0%","0.0%","0.0%","4400","0.0%"
"Ricky Pearsall","WR","SF","KC","3400","0.0%","0.0%","0.0%","4800","0.0%"
"Bengals ","DST","CIN","@CLE","3300","17.6%","15.7%","14.4%","4900","2.8%"
"Kristian Wilkerson","WR","LV","@LA","3300","0.0%","0.0%","0.0%","4000","0.0%"
"Kalif Raymond","WR","DET","@MIN","3300","0.0%","0.0%","0.0%","4400","0.0%"
"Mack Hollins","WR","BUF","TEN","3300","0.0%","0.0%","0.0%","5200","0.0%"
"Mecole Hardman","WR","KC","@SF","3300","0.0%","0.0%","0.0%","4700","0.0%"
"Braxton Berrios","WR","MIA","@IND","3300","0.0%","0.0%","0.0%","4200","0.0%"
"Jalin Hyatt","WR","NYG","PHI","3300","0.0%","0.0%","0.0%","4300","0.0%"
"Colts ","DST","IND","MIA","3200","4.3%","4.6%","4.8%","4300","2.4%"
"Grant Calcaterra","TE","PHI","@NYG","3200","9.4%","9.1%","8.9%","5100","3.6%"
"Elijah Moore","WR","CLE","CIN","3200","19.9%","17.7%","16.2%","4600","5.0%"
"Trenton Irwin","WR","CIN","@CLE","3200","0.0%","0.0%","0.0%","4000","0.0%"
"Malik Heath","WR","GB","HOU","3200","0.0%","0.0%","0.0%","4300","0.0%"
"Falcons ","DST","ATL","SEA","3100","0.1%","0.6%","1.0%","3400","15.4%"
"Chiefs ","DST","KC","@SF","3100","0.1%","0.2%","0.3%","4000","0.3%"
"Chig Okonkwo","TE","TEN","@BUF","3100","0.1%","0.2%","0.3%","4800","0.0%"
