"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"John Bates","WAS","NYG","TE","2500","1.5","-6.5","0.0","0.0","35786420","0.0","4.6"
"Jayden Reed","GB","IND","WR","6000","8.3","-6.6","0.5","0.3","35785838","1.9","18.8"
"Drew Ogletree","IND","@GB","TE","2500","1.3","-6.6","0.0","0.0","35786478","0.0","4.4"
"Hunter Long","LA","@ARI","TE","2500","1.4","-6.6","0.0","0.0","35786414","0.0","4.5"
"Xavier Gipson","NYJ","@TEN","WR","3400","3.1","-6.6","0.0","0.0","35785970","0.0","8.6"
"Dyami Brown","WAS","NYG","WR","3200","2.7","-6.6","0.0","0.0","35786010","0.0","8.1"
"Miles Sanders","CAR","LAC","RB","5200","6.6","-6.7","0.3","0.1","35785588","1.8","14.1"
"Pierre Strong Jr.","CLE","@JAX","RB","4000","4.2","-6.7","0.0","0.0","35785726","0.6","9.8"
"Adam Trautman","DEN","PIT","TE","2700","1.7","-6.7","0.0","0.0","35786364","0.0","5.0"
"Justice Hill","BAL","LV","RB","5200","6.5","-6.8","0.3","0.1","35785584","1.4","13.6"
"Charlie Jones","CIN","@KC","WR","3000","2.2","-6.8","0.0","0.0","35786262","0.0","6.5"
"Ezekiel Elliott","DAL","NO","RB","5700","7.5","-6.8","0.5","0.3","35785558","3.6","22.1"
"Kenny McIntosh","SEA","@NE","RB","4300","4.7","-6.8","0.0","0.0","35785638","0.7","10.8"
"Treylon Burks","TEN","NYJ","WR","3400","2.9","-6.8","0.0","0.0","35785974","0.0","8.0"
"Luke Schoonmaker","DAL","NO","TE","2900","1.8","-6.9","2.8","4.3","35786346","1.0","14.8"
"Marvin Mims Jr.","DEN","PIT","WR","3300","2.6","-6.9","0.0","0.0","35785978","0.0","7.2"
"Daniel Bellinger","NYG","@WAS","TE","2800","1.6","-6.9","0.0","0.0","35786354","0.0","4.9"
"Trey Palmer","TB","@DET","WR","3300","2.6","-6.9","0.0","0.0","35785982","0.0","7.4"
"Nick Vannett","TEN","NYJ","TE","2500","1.1","-6.9","0.0","0.0","35786438","0.0","3.6"
"Blake Whiteheart","CLE","@JAX","TE","2900","1.7","-7.0","0.0","0.0","35786348","0.0","3.9"
"Chris Manhertz","NYG","@WAS","TE","2500","0.9","-7.0","0.0","0.0","35786428","0.0","3.4"
"AJ Barner","SEA","@NE","TE","2500","1.0","-7.0","0.0","0.0","35786448","0.0","3.6"
"Nelson Agholor","BAL","LV","WR","3600","3.0","-7.1","0.0","0.0","35785946","0.0","8.3"
"Brock Wright","DET","TB","TE","2600","1.1","-7.1","0.0","0.0","35786370","0.0","3.9"
"Cedrick Wilson Jr.","NO","@DAL","WR","3500","2.8","-7.1","0.0","0.0","35785956","0.0","7.9"
"Noah Brown","WAS","NYG","WR","3200","2.2","-7.1","0.0","0.0","35785998","0.0","6.7"
"Xavier Legette","CAR","LAC","WR","4700","5.1","-7.2","0.3","0.1","35785894","0.4","11.9"
"Laviska Shenault Jr.","SEA","@NE","WR","3000","1.7","-7.2","0.0","0.0","35786102","0.0","5.7"
"Parker Washington","JAX","CLE","WR","3100","1.9","-7.3","0.0","0.0","35786018","0.0","5.6"
"Samaje Perine","KC","CIN","RB","4500","4.6","-7.3","0.0","0.0","35785620","0.5","10.5"
"Jared Wiley","KC","CIN","TE","2500","0.7","-7.3","0.0","0.0","35786540","0.0","2.7"
"Kyle Juszczyk","SF","@MIN","RB","4000","3.6","-7.3","0.0","0.0","35785716","0.1","8.8"
"Payne Durham","TB","@DET","TE","2500","0.7","-7.3","0.0","0.0","35786488","0.0","2.5"
"Luke Farrell","JAX","CLE","TE","2500","0.6","-7.4","0.0","0.0","35786466","0.0","2.3"
"Brenton Strange","JAX","CLE","TE","2500","0.6","-7.4","0.0","0.0","35786468","0.0","2.3"
"JuJu Smith-Schuster","KC","CIN","WR","3500","2.6","-7.4","0.0","0.0","35785952","0.0","7.3"
"Stone Smartt","LAC","@CAR","TE","2500","0.6","-7.4","0.0","0.0","35786524","0.0","2.1"
"Jalin Hyatt","NYG","@WAS","WR","3100","1.8","-7.4","0.0","0.0","35786016","0.0","5.8"
"Ben Sinnott","WAS","NYG","TE","2600","0.7","-7.4","0.0","0.0","35786368","0.0","2.9"
"Jordan Matthews","CAR","LAC","TE","2500","0.5","-7.5","0.0","0.0","35786516","0.0","1.8"
"Jake Bobo","SEA","@NE","WR","3000","1.4","-7.6","0.0","0.0","35786100","0.0","4.7"
"Ko Kieft","TB","@DET","TE","2500","0.4","-7.6","0.0","0.0","35786490","0.0","1.3"
"Tip Reiman","ARI","LA","TE","2500","0.3","-7.7","0.0","0.0","35786406","0.0","1.1"
"Charlie Kolar","BAL","LV","TE","2500","0.3","-7.7","0.0","0.0","35786532","0.0","1.1"
"Feleipe Franks","CAR","LAC","TE","2500","0.2","-7.7","0.0","0.0","35786518","0.0","1.0"
"Tanner McLachlan","CIN","@KC","TE","2500","0.3","-7.7","0.0","0.0","35786550","0.0","1.2"
"Nate Adkins","DEN","PIT","TE","2500","0.3","-7.7","0.0","0.0","35786404","0.0","0.9"
"Emanuel Wilson","GB","IND","RB","4500","4.2","-7.7","0.0","0.0","35785624","0.6","9.6"
"Harrison Bryant","LV","@BAL","TE","2500","0.3","-7.7","0.0","0.0","35786536","0.0","1.0"
"Tutu Atwell","LA","@ARI","WR","3700","2.7","-7.7","0.0","0.0","35785940","0.0","7.7"
