Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
481,Leki Fotu,ARI,DT,11,HOU,0,0,0,0,0,0,0,0,0.35,0,0.05,0.02,0,0
481,Jordan Davis,PHI,DT,11,KC,0,0,0,0,0,0,0,0,0.34,0.02,0.03,0.01,0,0
481,Geno Stone,BAL,S,11,CIN,0,0,0,0,0,0,0,0,0.1,0.15,0.06,0.03,0,0
481,Isaiah Oliver,SF,CB,11,TB,0,0,0,0,0,0,0,0,0.11,0.08,0.06,0.03,0,0
481,Patrick Peterson,PIT,CB,11,CLE,0,0,0,0,0,0,0,0,0.1,0.11,0.08,0.04,0,0
481,Charvarius Ward,SF,CB,11,TB,0,0,0,0,0,0,0,0,0.1,0.08,0.07,0.03,0,0
481,Taron Johnson,BUF,CB,11,NYJ,0,0,0,0,0,0,0,0,0.11,0.04,0.05,0.03,0,0
481,Stephon Gilmore,DAL,CB,11,CAR,0,0,0,0,0,0,0,0,0.09,0.1,0.08,0.04,0,0
481,Justin Madubuike,BAL,DT,11,CIN,0,0,0,0,0,0,0,0,0.31,0.01,0.04,0.02,0,0
481,Rasul Douglas,BUF,CB,11,NYJ,0,0,0,0,0,0,0,0,0.1,0.14,0.05,0.02,0,0
481,Nick Bosa,SF,DL,11,TB,0,0,0,0,0,0,0,0,0.28,0.01,0.05,0.03,0,0
481,Deommodore Lenoir,SF,DB,11,TB,0,0,0,0,0,0,0,0,0.1,0.06,0.07,0.03,0,0
481,Malik Hooker,DAL,S,11,CAR,0,0,0,0,0,0,0,0,0.13,0.08,0.08,0.04,0,0
481,Zaven Collins,ARI,OLB,11,HOU,0,0,0,0,0,0,0,0,0.22,0.02,0.04,0.02,0,0
481,DeMarcus Lawrence,DAL,DE,11,CAR,0,0,0,0,0,0,0,0,0.31,0.02,0.05,0.03,0,0
481,Devonte Wyatt,GB,DL,11,LAC,0,0,0,0,0,0,0,0,0.32,0.01,0.04,0.02,0,0
481,Jonathon Cooper,DEN,OLB,11,MIN,0,0,0,0,0,0,0,0,0.23,0.01,0.04,0.02,0,0
481,Michael Carter II,NYJ,CB,11,BUF,0,0,0,0,0,0,0,0,0.11,0.07,0.05,0.03,0,0
481,Jaire Alexander,GB,CB,11,LAC,0,0,0,0,0,0,0,0,0.1,0.12,0.05,0.02,0,0
481,Denzel Ward,CLE,CB,11,PIT,0,0,0,0,0,0,0,0,0.1,0.06,0.04,0.02,0,0
481,Derion Kendrick,LAR,DB,11,SEA,0,0,0,0,0,0,0,0,0.1,0.03,0.06,0.03,0,0
481,Benito Jones,DET,DL,11,CHI,0,0,0,0,0,0,0,0,0.31,0.02,0.05,0.03,0,0
481,Josh Allen,JAX,OLB,11,TEN,0,0,0,0,0,0,0,0,0.19,0.03,0.06,0.03,0,0
481,Dane Jackson,BUF,CB,11,NYJ,0,0,0,0,0,0,0,0,0.1,0.05,0.05,0.03,0,0
481,T.J. Slaton,GB,DL,11,LAC,0,0,0,0,0,0,0,0,0.33,0.01,0.04,0.02,0,0
481,Mike Hilton,CIN,CB,11,BAL,0,0,0,0,0,0,0,0,0.12,0.04,0.05,0.03,0,0
481,Antonio Hamilton Sr.,ARI,CB,11,HOU,0,0,0,0,0,0,0,0,0.11,0.02,0.05,0.03,0,0
481,Carlton Davis III,TB,CB,11,SF,0,0,0,0,0,0,0,0,0.1,0.07,0.05,0.03,0,0
481,Jonah Williams,LAR,DE,11,SEA,0,0,0,0,0,0,0,0,0.32,0.02,0.04,0.02,0,0
481,Dorance Armstrong,DAL,DE,11,CAR,0,0,0,0,0,0,0,0,0.29,0.01,0.05,0.03,0,0
481,Oren Burks,SF,LB,11,TB,0,0,0,0,0,0,0,0,0.21,0.03,0.04,0.02,0,0
