,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
JaMarr Chase,,0,WR,WR1,8800,CIN,@ LAC,17,23.5,13.3,17.4,23.4,0,0,0,0,0,0,0,0,0,8.69,0.2378,8.69,6.08,83.19,0.69,0,0,0,0,0,0,18.54,18.54,0,0,45.14,18.54,18.54,6,0,100,,17,33,2.1,26.5,3,1,7,7,1,35,35,0.02,0.02,-0.13,,0.02,,1.02,0.29,0.62,,8.98,6.07,85.42,0.71,,,,,,,
A.J. Brown,,0,WR,WR1,8100,PHI,vs WAS,32,26.75,10.4,18.4,18.4,0,0,0,0,0,0,0,0,0,9.14,0.264,9.14,5.88,91.09,0.56,0,0,0,0,0,0,18.35,18.35,0,2.75,39.15,18.35,18.35,34,0,100,,82,38,2.3,11.5,1.4,4,8,8,5,36,36,0.02,,,,,,0.92,0.07,0.92,0.01,7.56,4.79,76.3,0.52,,,,,,,
Josh Jacobs,,0,RB,RB1,7100,GB,@ CHI,19,23.5,8.9,14.5,15.2,0,0,0,0,0,0.6724,22.85,101.1,0.7,25.77,0.0885,2.92,2.28,15.18,0.04,0,0,0,0,0,0,18.35,18.35,0,5,36.15,18.35,18.35,5,0,100,,26,46,2.6,23.4,3.3,11,13,13,15,36,36,,,,,0.01,,,17.84,76.9,0.6,3.4,2.63,19.22,0.01,,,,,,,
Tua Tagovailoa,,0,QB,QB1,6000,MIA,vs LV,19,25.5,8.1,17.9,14.5,1,35.74,275.18,1.75,0.82,0.076,2.3,7.42,0.07,2.3,0,0,0,0,0,0,0,0,0,0,0,18.35,18.35,0,6.2,34.55,18.35,18.35,10,0,100,,25,51,3.1,23.52,3.9,14,18,18,26,36,36,30.93,20.84,237.83,0.71,1.71,1.5,95.94,2.52,7.31,0.1,,,,,,,,,,,
Garrett Wilson,,0,WR,WR1,7100,NYJ,vs IND,14,23.5,8,13,17.6,0,0,0,0,0,0,0,0,0,11.54,0.2635,11.54,7.08,83.65,0.47,0,0,0,0,0,0,18.27,18.27,0,6.27,34.27,18.27,18.27,53,0,100,,123,44,2.6,5.8,0.8,11,9,9,15,37,37,0.05,,,,,,0.05,0.2,0.2,,9.43,5.52,64.75,0.27,,,,,,,
Matthew Stafford,,0,QB,QB1,5800,LAR,@ NE,18,23,7.1,17.9,13.3,1,39.46,299.59,1.77,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.24,18.24,0,7.59,32.44,18.24,18.24,6,0,100,,16,61,3.1,27.8,4.8,16,19,19,28,38,38,35.28,23.15,264.75,0.73,2.42,1.69,96.55,1.88,6.03,0.03,0.01,0.01,-0.04,,,,,,,,
Jameis Winston,,0,QB,QB1,5500,CLE,@ NO,13,22.5,9.4,2.5,8.4,1,39.37,280.18,1.75,1.33,0.0804,2.31,8.88,0.07,2.31,0,0,0,0,0,0,0,0,0,0,0,18.19,18.19,0,4.09,36.99,18.19,18.19,4,0,100,,12,45,3.3,29.6,5.4,19,20,20,31,39,39,30.74,18.78,234.62,1.05,2.11,1.51,79.56,3.19,12.87,0.11,,,,,,,,,,,
CeeDee Lamb,,0,WR,WR1,8300,DAL,vs HOU,13,17.25,10.4,25.2,17.8,0,0,0,0,0,0,0,0,0,10.69,0.295,10.69,7.25,80.39,0.45,0,0,0,0,0,0,17.99,17.99,0,2.39,38.79,17.99,17.99,15,0,100,,45,43,2.2,18.6,2.2,3,10,10,3,40,40,,,,,0.01,,,0.72,4.97,0.04,8.81,6.05,77.68,0.48,,,,,,,
Mac Jones,,0,QB,QB1,4900,JAC,@ DET,6,17,7.2,11.2,2.8,1,40.16,282.15,1.61,1.39,0.1319,2.8,7.2,0.12,2.8,0,0,0,0,0,0,0,0,0,0,0,17.78,17.78,0,6.98,32.18,17.78,17.78,28,0,100,,129,43,3.6,5.22,1.1,25,21,21,37,41,41,29.76,19.64,201.27,0.84,1.98,1.02,80.93,2.71,7.44,0.04,,,,,,,,,,,
David Njoku,,0,TE,TE1,5500,CLE,@ NO,23,22.5,6.8,13.1,11.3,0,0,0,0,0,0,0,0,0,9.85,0.2503,9.85,6.52,74.27,0.63,0,0,0,0,0,0,17.73,17.73,0,7.53,31.33,17.73,17.73,4,0,100,,38,22,3.2,19.1,3.5,4,1,1,31,42,42,,,,,,,,0.04,-0.06,,5.06,3.3,36.66,0.28,,,,,,,
