,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,,,,Overall Rankings,,,,,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Aaron Rodgers,,0,QB,QB1,5700,NYJ,@ BUF,29,17.75,8.6,0,16.3,1,33.49,239.08,1.72,0.4,0.0671,1.27,6.25,0.04,1.27,0,0,0,0,0,0,0,0,0,0,0,16.91,16.91,0,4.01,34.11,16.91,16.91,16,15,23,23,0,100,,90,30,63,63,58,3,0,,34.9,22.52,251.98,0.43,2.24,2.03,100.56,2.67,12.85,0.1,0.01,0.01,-0.07,,,,,,,,
Calvin Ridley,,0,WR,WR1,5500,TEN,@ JAC,15,19,9.5,14.2,11.9,0,0,0,0,0,0,0,0,0,10.02,0.3023,10.02,5.93,78.41,0.51,0,0,0,0,0,0,16.83,16.83,0,2.58,35.83,16.83,16.83,40,23,23,23,0,100,,90,32,64,64,37,3.1,0,,,,,,,,,0.33,1.68,0.01,7.72,4.69,64.38,0.49,,,,,,,
Spencer Rattler,,0,QB,QB1,5300,NO,vs LV,25,17.75,2.9,0,9.1,1,29.91,207.71,1.26,0.6,0.2385,5.98,32.06,0.09,5.98,0,0,0,0,0,0,0,0,0,0,0,16.49,16.49,0,12.14,22.29,16.49,16.49,16,19,24,24,0,100,,90,34,65,65,68,3.1,0,,30,16.8,171.8,0.6,3.4,0.4,69.82,2.8,17.8,,,,,,,,,,,,
Jerry Jeudy,,0,WR,WR1,6500,CLE,vs MIA,20,14.75,8.2,8.9,14.4,0,0,0,0,0,0,0,0,0,11.23,0.3104,11.23,7.04,81.03,0.21,0,0,0,0,0,0,16.4,16.4,0,4.1,32.8,16.4,16.4,40,13,24,24,0,100,,90,22,66,66,28,2.5,0,,,,,,,,,0.08,0.6,,6.51,3.93,57.29,0.21,,,,,,,
Derrick Henry,,0,RB,RB1,8200,BAL,@ HOU,15,26.75,11.5,15.2,20.3,0,0,0,0,0,0.6352,21.73,109.27,0.91,21.73,0,0,0,0,0,0,0,0,0,0,0,16.39,16.39,0,0,39.39,16.39,16.39,1,3,17,17,0,100,,8,5,67,67,32,2,27.5,3.4,0.07,0.06,0.29,,,0.04,13.09,17.52,85.16,0.76,1.67,1.3,12.15,0.04,,,,,,,
Travis Kelce,,0,TE,TE1,5300,KC,@ PIT,27,23.75,9,15.1,11.8,0,0,0,0,0,0,0,0,0,8.82,0.2299,8.82,6.31,73.19,0.46,0,0,0,0,0,0,16.39,16.39,0,2.89,34.39,16.39,16.39,2,5,3,3,0,100,,13,34,67,67,46,3.1,22.4,4.2,0.02,0.01,0.02,0.01,,,0.75,0.06,0.1,0.01,8.27,5.92,71.38,0.46,,,,,,,
Joe Flacco,,0,QB,QB1,4900,IND,@ NYG,6,24,7.6,24.4,16,1,37.68,262.8,1.41,0.92,0.077,2.3,4.88,0.11,2.3,0,0,0,0,0,0,0,0,0,0,0,16.38,16.38,0,4.98,31.58,16.38,16.38,16,23,25,25,0,100,,90,38,68,68,51,3.3,0,,37.25,23.52,241.63,0.86,1.94,1.31,84.73,1.47,3.12,0.07,,,-0.04,,,,,,,,
Tyler Huntley,,0,QB,QB1,4000,MIA,@ CLE,17,18.25,7.9,4.3,9.9,1,32.71,221.7,1.33,0.6,0.1718,4.38,19.09,0.14,4.38,0,0,0,0,0,0,0,0,0,0,0,16.34,16.34,0,4.49,32.14,16.34,16.34,16,31,26,26,0,100,,90,47,69,69,9,4.1,0,,17.74,11.3,101.48,0.35,1.57,0.39,84.07,5.7,25.04,0.17,,,,,,,,,,,
George Pickens,,0,WR,WR1,6600,PIT,vs KC,16,22.25,8.1,13.2,13.5,0,0,0,0,0,0,0,0,0,8.7,0.2621,8.7,5.24,82.81,0.44,0,0,0,0,0,0,16.16,16.16,0,4.01,32.36,16.16,16.16,17,12,25,25,0,100,,43,21,70,70,33,2.4,8,1.2,,,,,,,,0.17,0.78,0.02,6.11,3.7,60.67,0.26,,,,,,,
Cooper Kupp,,0,WR,WR2,6500,LAR,vs ARI,1,27.25,10.5,14.7,16.4,0,0,0,0,0,0,0,0,0,8.33,0.2177,8.33,5.86,67.53,0.54,0,0,0,0,0,0,15.85,15.85,0,0.1,36.85,15.85,15.85,30,13,26,26,0,100,,65,22,71,71,42,2.4,3.9,0.6,0.04,,,,,,1.16,0.25,1.34,0.01,8.67,6.16,75.15,0.56,,,,,,,
Jalen McMillan,,0,WR,WR2,4600,TB,vs CAR,5,28.5,7.2,0,8.5,0,0,0,0,0,0,0,0,0,8.44,0.196,8.44,5.07,60.33,0.77,0,0,0,0,0,0,15.72,15.72,0,4.92,30.12,15.72,15.72,40,32,27,27,0,100,,90,41,72,72,15,3.4,0,,,,,,,,,0.18,2.55,,4.27,2.45,30.55,0.45,,,,,,,
Javonte Williams,,0,RB,RB1,5400,DEN,@ CIN,27,23.25,6.3,11.3,9.8,0,0,0,0,0,0.4496,13.83,51.75,0.36,20.21,0.1625,6.38,4.81,27.22,0.12,0,0,0,0,0,0,15.59,15.59,0,6.14,28.19,15.59,15.59,20,25,18,18,0,100,,75,33,73,73,44,2.9,2,0.4,,,,,,,,11.56,45.5,0.21,3.79,2.94,17.62,0.1,,,,,,,
D'Andre Swift,,0,RB,RB1,5500,CHI,vs SEA,2,19,7.5,12.9,12.9,0,0,0,0,0,0.6339,17.36,73.04,0.51,20.71,0.0997,3.35,2.67,20.52,0.06,0,0,0,0,0,0,15.45,15.45,0,4.2,30.45,15.45,15.45,5,24,19,19,0,100,,30,32,74,74,47,2.8,12.1,2.2,0.01,,,,,,0.56,11.46,50.28,0.39,4.21,3.28,24.93,0.11,,,,,,,
Rashod Bateman,,0,WR,WR2,4800,BAL,@ HOU,13,26.75,6,5.1,11.2,0,0,0,0,0,0,0,0,0,7.45,0.2275,7.45,4.58,65.01,0.68,0,0,0,0,0,0,15.16,15.16,0,6.16,27.16,15.16,15.16,36,30,28,28,0,100,,74,39,75,75,29,3.2,2.2,0.5,,,,,,,,0.02,0.38,,4.55,2.81,39.04,0.26,,,,,,,
Breece Hall,,0,RB,RB1,6300,NYJ,@ BUF,17,17.75,9.6,17.6,16,0,0,0,0,0,0.6567,12.48,55.48,0.34,17.08,0.1373,4.6,3.47,30.29,0.17,0,0,0,0,0,0,15.11,15.11,0,0.71,34.31,15.11,15.11,27,16,20,20,0,100,,90,24,76,76,44,2.4,0,,,,,,,,,12.89,58.71,0.37,5.16,3.89,33.39,0.18,,,,,,,
Brian Robinson,,0,RB,RB1,6100,WAS,vs ATL,4,25,6.6,13.5,13.3,0,0,0,0,0,0.5252,18.01,74.73,0.54,20.49,0.0704,2.48,1.98,16.64,0.1,0,0,0,0,0,0,14.96,14.96,0,5.06,28.16,14.96,14.96,27,18,21,21,0,100,,90,26,77,77,46,2.5,0,,,,,,,,,14.15,57.92,0.38,1.97,1.59,14.64,0.13,,,,,,,
Drake London,,0,WR,WR1,6400,ATL,@ WAS,32,21.5,7.4,11.3,15,0,0,0,0,0,0,0,0,0,9.17,0.2799,9.17,5.84,69.48,0.35,0,0,0,0,0,0,14.89,14.89,0,3.79,29.69,14.89,14.89,40,14,29,29,0,100,,90,23,78,78,40,2.3,0,,0.02,0.02,0.46,,,,3.69,0.02,-0.06,,7.33,4.67,57.27,0.27,,,,,,,
Keenan Allen,,0,WR,WR2,5800,CHI,vs SEA,28,19,9.9,22.7,13.6,0,0,0,0,0,0,0,0,0,8.79,0.2614,8.79,5.85,63.43,0.43,0,0,0,0,0,0,14.77,14.77,0,0,34.57,14.77,14.77,18,20,30,30,0,100,,46,29,79,79,45,2.5,7.5,1.3,0.03,0.01,0.4,,0.01,0.01,5.77,0.15,0.93,,9.78,6.7,76.83,0.44,,,,,,,
Najee Harris,,0,RB,RB1,5400,PIT,vs KC,9,22.25,7.2,11.9,12.5,0,0,0,0,0,0.5594,19.25,75.27,0.49,22.19,0.0887,2.94,2.31,15.57,0.07,0,0,0,0,0,0,14.75,14.75,0,3.95,29.15,14.75,14.75,7,25,22,22,0,100,,34,33,80,80,49,2.7,10.1,1.9,0.02,0.02,0.06,,,,1.26,16.24,63.73,0.41,3.39,2.64,17,0.09,,,,,,,
Cooper Rush,,0,QB,QB1,5400,DAL,@ PHI,1,15.25,7.5,0.6,10.2,1,32.88,218.35,1.56,0.41,0.1048,2.57,1.24,0,2.57,0,0,0,0,0,0,0,0,0,0,0,14.69,14.69,0,3.44,29.69,14.69,14.69,16,18,27,27,0,100,,90,33,81,81,0,2.7,0,,16.13,9.84,103.63,0.25,0.72,0.59,77.22,1.78,0.69,,,,,,,,,,,,
Mac Jones,,0,QB,QB1,5200,JAC,vs TEN,11,20,7.1,11.2,9.4,1,33.13,236.52,1.25,0.98,0.0993,2.8,8.26,0.06,2.8,0,0,0,0,0,0,0,0,0,0,0,14.67,14.67,0,4.02,28.87,14.67,14.67,16,20,28,28,0,100,,90,35,82,82,45,2.8,0,,30.32,20,203.82,0.86,1.88,1.02,80.84,2.68,7.6,0.04,,,,,,,,,,,
Michael Pittman,,0,WR,WR1,4700,IND,@ NYG,24,24,7.3,16.3,9.3,0,0,0,0,0,0,0,0,0,9.71,0.2576,9.71,6.43,67.67,0.24,0,0,0,0,0,0,14.64,14.64,0,3.69,29.24,14.64,14.64,40,31,31,31,0,100,,90,40,83,83,42,3.1,0,,,,,,,,,0.14,1.32,,7.59,5.13,56.43,0.22,,,,,,,
Kareem Hunt,,0,RB,RB2,5200,KC,@ PIT,21,23.75,9.1,7.9,12.8,0,0,0,0,0,0.4908,16.05,65.69,0.58,18.77,0.071,2.72,2.09,17.02,0.12,0,0,0,0,0,0,14.56,14.56,0,0.91,32.76,14.56,14.56,9,27,23,23,0,100,,43,35,84,84,32,2.8,8,1.5,,,,,,,,11.86,49.79,0.45,3.09,2.42,19.91,0.16,,,,,,,
Jerome Ford,,0,RB,RB1,5900,CLE,vs MIA,1,14.75,7.1,12.8,10.1,0,0,0,0,0,0.562,11.84,59.99,0.33,16.66,0.1332,4.82,3.9,21.39,0.07,0,0,0,0,0,0,14.44,14.44,0,3.79,28.64,14.44,14.44,27,20,24,24,0,100,,90,28,85,85,35,2.4,0,,,,,,,,,9.69,42.75,0.22,3.31,2.53,17,0.16,,,,,,,
Drew Lock,,0,QB,QB1,4900,NYG,vs IND,10,16.5,8.5,8,8.8,1,36.16,221.74,0.81,1.09,0.1235,2.83,19.62,0.21,2.83,0,0,0,0,0,0,0,0,0,0,0,14.24,14.24,0,1.49,31.24,14.24,14.24,16,23,29,29,0,100,,90,38,86,86,32,2.9,0,,27.73,16.27,179,0.82,1.55,0.88,73.24,2.67,13,0.18,0.03,0.03,0.03,,,,,,,,
Alexander Mattison,,0,RB,RB1,5600,LV,@ NO,19,19.75,6.7,8.4,10.5,0,0,0,0,0,0.6463,16.03,60.22,0.37,19.86,0.0926,3.83,2.96,22.34,0.12,0,0,0,0,0,0,14.16,14.16,0,4.11,27.56,14.16,14.16,27,23,25,25,0,100,,90,31,87,87,8,2.5,0,,,,,,,,,7.93,31.02,0.17,1.91,1.48,11.29,0.08,,,,,,,
Rico Dowdle,,0,RB,RB1,6000,DAL,@ PHI,11,15.25,6.8,5.7,13,0,0,0,0,0,0.6275,15.38,72.12,0.14,19.11,0.1133,3.73,2.99,19.08,0.2,0,0,0,0,0,0,14.15,14.15,0,3.95,27.75,14.15,14.15,27,19,26,26,0,100,,90,27,88,88,12,2.4,0,,,,,,,,,7.94,35.78,0.08,1.86,1.47,10.47,0.14,,,,,,,
Khalil Shakir,,0,WR,WR1,5600,BUF,vs NYJ,25,27.75,7.1,7.4,13.1,0,0,0,0,0,0,0,0,0,7.51,0.2245,7.51,5.65,63.66,0.33,0,0,0,0,0,0,14,14,0,3.35,28.2,14,14,40,22,32,32,0,100,,90,31,89,89,15,2.5,0,,,,,,,,,0.08,0.35,,3.98,3.05,39.2,0.18,,,,,,,
DJ Moore,,0,WR,WR1,5900,CHI,vs SEA,28,19,8.9,17.8,14,0,0,0,0,0,0,0,0,0,8.58,0.2553,8.58,5.46,65.8,0.32,0,0,0,0,0,0,13.96,13.96,0,0.61,31.76,13.96,13.96,11,19,33,33,0,100,,29,28,90,90,38,2.4,12.2,2.1,0.02,,,,,,0.37,0.48,3.73,0.01,7.79,4.85,65.99,0.3,,,,,,,
Zach Ertz,,0,TE,TE1,3800,WAS,vs ATL,2,25,8.2,7.4,9.1,0,0,0,0,0,0,0,0,0,8.42,0.2388,8.42,5.71,56.04,0.41,0,0,0,0,0,0,13.77,13.77,0,1.47,30.17,13.77,13.77,19,14,4,4,0,100,,90,49,91,91,33,3.6,0,,,,,,,,,0.01,0.03,,7.38,5,50.99,0.32,,,,,,,
Trey McBride,,0,TE,TE1,6200,ARI,@ LAR,18,20.75,7.5,11,14.3,0,0,0,0,0,0,0,0,0,8.47,0.2588,8.47,6.52,66.54,0.09,0,0,0,0,0,0,13.71,13.71,0,2.46,28.71,13.71,13.71,1,2,5,5,0,100,,3,25,92,92,33,2.2,33.3,5.4,,,,,,,,0.03,0.05,0.03,6.63,5.05,51.2,0.1,,,,,,,
Hunter Henry,,0,TE,TE1,4200,NE,vs LAC,17,17.75,6.1,9.2,9.9,0,0,0,0,0,0,0,0,0,7.44,0.2187,7.44,5.11,57.44,0.46,0,0,0,0,0,0,13.61,13.61,0,4.46,25.81,13.61,13.61,19,10,6,6,0,100,,90,45,93,93,38,3.2,0,,,,,,,,,,,,5.19,3.56,40.82,0.36,,,,,,,
Mark Andrews,,0,TE,TE1,4300,BAL,@ HOU,13,26.75,8.6,13.5,10.6,0,0,0,0,0,0,0,0,0,6.48,0.198,6.48,4.69,52.74,0.6,0,0,0,0,0,0,13.56,13.56,0,0.66,30.76,13.56,13.56,4,9,7,7,0,100,,24,44,94,94,33,3.2,14.8,3.4,,,,,,,,0.08,0.13,,6.16,4.26,53.08,0.48,,,,,,,
Rhamondre Stevenson,,0,RB,RB1,5700,NE,vs LAC,16,17.75,7.9,12.2,13,0,0,0,0,0,0.5504,15.45,64.2,0.46,18.57,0.0917,3.12,2.47,15.54,0.05,0,0,0,0,0,0,13.5,13.5,0,1.65,29.3,13.5,13.5,26,22,27,27,0,100,,89,30,95,95,38,2.4,0.1,0,,,,,,,,12.8,55.71,0.38,3.6,2.8,17.27,0.04,,,,,,,
Tyreek Hill,!,0,WR,WR1,6900,MIA,@ CLE,8,18.25,11.5,25.1,13.4,0,0,0,0,0,0,0,0,0,7.7,0.2353,7.7,5.17,60.59,0.37,0,0,0,0,0,0,13.45,13.45,0,0,36.45,13.45,13.45,40,10,34,34,0,100,,90,18,96,96,39,1.9,0,,0.01,,,0.01,,,,0.83,5.99,0.05,8.35,5.66,78.47,0.58,,,,,,,
Adam Thielen,,0,WR,WR1,5700,CAR,@ TB,30,19.5,9.8,14.1,13.1,0,0,0,0,0,0,0,0,0,7.59,0.2096,7.59,5.36,57.09,0.36,0,0,0,0,0,0,13.23,13.23,0,0,32.83,13.23,13.23,40,21,35,35,0,100,,90,30,97,97,30,2.3,0,,,,,,,,,0.16,1.27,0.01,6.94,4.85,58.46,0.43,,,,,,,
Travis Etienne,,0,RB,RB1,5300,JAC,vs TEN,30,20,8.4,17,8.7,0,0,0,0,0,0.4483,12.65,52.49,0.27,17.31,0.1408,4.66,3.72,24.7,0.02,0,0,0,0,0,0,13.18,13.18,0,0.58,29.98,13.18,13.18,27,26,28,28,0,100,,90,34,98,98,37,2.5,0,,,,,,,,,12.96,55.55,0.38,3.47,2.72,21.09,0.02,,,,,,,
DeVonta Smith,,0,WR,WR2,5800,PHI,vs DAL,9,22.75,8.3,14.7,14.4,0,0,0,0,0,0,0,0,0,7.42,0.2835,7.42,5.28,55.94,0.33,0,0,0,0,0,0,12.85,12.85,0,0.4,29.45,12.85,12.85,40,20,36,36,0,100,,90,29,99,99,41,2.2,0,,,,,,,,,0.02,0.02,,7,4.87,62.76,0.4,,,,,,,
Garrett Wilson,,0,WR,WR2,6100,NYJ,@ BUF,4,17.75,7.8,13,15.9,0,0,0,0,0,0,0,0,0,8.26,0.2466,8.26,5.04,58.72,0.3,0,0,0,0,0,0,12.71,12.71,0,1.01,28.31,12.71,12.71,40,17,37,37,0,100,,90,26,100,100,44,2.1,0,,0.04,,,,,,0.04,0.18,0.18,,9.31,5.47,63.92,0.27,,,,,,,
Michael Penix Jr,,0,QB,QB1,5400,ATL,@ WAS,15,21.5,3.1,0,3,1,32.76,242.34,0.95,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,12.6,0,7.95,18.8,12.6,12.6,16,18,30,30,0,100,,90,33,101,101,0,2.3,0,,10.67,7,80,0.33,0.33,,95.33,1.33,1,,,,,,,,,,,,
Tyrone Tracy Jr,,0,RB,RB1,5800,NYG,vs IND,20,16.5,7.9,0,11.7,0,0,0,0,0,0.5091,11.67,52.06,0.39,15.11,0.0952,3.44,2.41,18.4,0.1,0,0,0,0,0,0,12.4,12.4,0,0.55,28.2,12.4,12.4,27,21,29,29,0,100,,90,29,102,102,32,2.1,0,,,,,,,,,10.53,48.07,0.33,3.2,2.27,17.53,0.07,,,,,,,
Jonnu Smith,,0,TE,TE1,5700,MIA,@ CLE,8,18.25,6.5,8,13.2,0,0,0,0,0,0,0,0,0,7.21,0.2203,7.21,5.26,49.38,0.33,0,0,0,0,0,0,12.18,12.18,0,2.43,25.18,12.18,12.18,19,4,8,8,0,100,,90,30,103,103,8,2.1,0,,0.01,,,,,,0.02,0.17,1.1,0.01,3.72,2.63,28.63,0.23,,,,,,,
Darnell Mooney,,0,WR,WR2,5300,ATL,@ WAS,32,21.5,7.2,5.6,13,0,0,0,0,0,0,0,0,0,7.46,0.2277,7.46,4.53,60.79,0.25,0,0,0,0,0,0,12.11,12.11,0,1.31,26.51,12.11,12.11,40,25,38,38,0,100,,90,34,104,104,31,2.3,0,,0.01,,,,,,0.03,0.18,0.81,0.01,6.33,3.78,48.68,0.22,,,,,,,
Isiah Pacheco,,0,RB,RB1,5700,KC,@ PIT,21,23.75,7.4,16,9.2,0,0,0,0,0,0.3918,12.81,55.73,0.27,16,0.0832,3.19,2.63,16.45,0.06,0,0,0,0,0,0,11.83,11.83,0,0.73,26.63,11.83,11.83,21,22,30,30,0,100,,76,30,105,105,35,2.1,1.8,0.3,,,,,,,,12.22,55.59,0.35,2.14,1.86,12.24,0.05,,,,,,,
Marvin Harrison Jr,,0,WR,WR1,5200,ARI,@ LAR,18,20.75,8.8,0,11.4,0,0,0,0,0,0,0,0,0,7.27,0.2222,7.27,3.72,51.25,0.48,0,0,0,0,0,0,11.73,11.73,0,0,29.33,11.73,11.73,8,26,39,39,0,100,,22,35,106,106,23,2.3,15.6,3,,,,,,,,,,,6.67,3.4,48.4,0.47,,,,,,,
Dalton Schultz,,0,TE,TE1,4100,HOU,vs BAL,3,20.25,6.7,10.3,7.2,0,0,0,0,0,0,0,0,0,7.12,0.1929,7.12,4.79,48.89,0.34,0,0,0,0,0,0,11.72,11.72,0,1.67,25.12,11.72,11.72,10,11,9,9,0,100,,63,46,107,107,25,2.9,4.1,1,,,,,,,,,,,5.22,3.57,36.39,0.27,,,,,,,
Amari Cooper,,0,WR,WR2,5000,BUF,vs NYJ,25,27.75,11,16.2,9,0,0,0,0,0,0,0,0,0,6.8,0.2032,6.8,4.07,53.05,0.37,0,0,0,0,0,0,11.6,11.6,0,0,33.6,11.6,11.6,40,28,40,40,0,100,,90,37,108,108,23,2.3,0,,0.01,,,0.01,,,,0.1,0.27,,7.64,4.62,64.98,0.42,,,,,,,
Dorian Thompson-Robinson,,0,QB,QB1,4800,CLE,vs MIA,30,14.75,3.9,3.7,4,1,36.19,196.28,0.49,2.2,0.2942,6.2,39.85,0,6.2,0,0,0,0,0,0,0,0,0,0,0,11.6,11.6,0,5.75,19.4,11.6,11.6,16,24,31,31,0,100,,90,39,108,108,0,2.4,0,,16.36,8.64,63.36,0.82,1.09,0.09,46.15,2.64,15.82,,,,,,,,,,,,
Nick Westbrook,,0,WR,WR2,4500,TEN,@ JAC,15,19,6.5,6.5,10.3,0,0,0,0,0,0,0,0,0,5.75,0.1735,5.75,3.24,44.82,0.62,0,0,0,0,0,0,11.44,11.44,0,1.69,24.44,11.44,11.44,40,33,41,41,0,100,,90,42,109,109,2,2.5,0,,,,,,,,,,,,3.24,1.89,26.76,0.3,,,,,,,
Jake Ferguson,,0,TE,TE1,3700,DAL,@ PHI,26,15.25,5.2,10.4,8.3,0,0,0,0,0,0,0,0,0,7.9,0.2402,7.9,5.56,49.6,0.15,0,0,0,0,0,0,11.42,11.42,0,3.62,21.82,11.42,11.42,19,15,10,10,0,100,,90,50,110,110,36,3.1,0,,,,,,,,,,,,5.03,3.6,34.98,0.18,,,,,,,
Kenny Pickett,,0,QB,QB1,5500,PHI,vs DAL,19,22.75,5.4,9.5,2.5,1,26.17,190.37,1.1,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.39,11.39,0,3.29,22.19,11.39,11.39,16,17,32,32,0,100,,90,32,111,111,45,2.1,0,,25.52,15.9,159.38,0.48,0.93,0.48,38.22,3.55,10.45,0.14,,,,,,,,,,,
Jameson Williams,,0,WR,WR2,6000,DET,@ SF,29,27,8,6.7,14.4,0,0,0,0,0,0,0,0,0,5.7,0.1801,5.7,3.49,58.17,0.34,0,0,0,0,0,0,11.35,11.35,0,0,27.35,11.35,11.35,40,18,42,42,0,100,,90,27,112,112,12,1.9,0,,,,,,,,,0.42,4.26,0.03,4.03,2.32,41.45,0.29,,,,,,,
Jaylen Warren,,0,RB,RB2,5500,PIT,vs KC,9,22.25,5.3,12,8.2,0,0,0,0,0,0.2988,10.28,47.06,0.17,14.25,0.1196,3.97,3.19,23.51,0,0,0,0,0,0,0,11.27,11.27,0,3.32,21.87,11.27,11.27,2,24,31,31,0,100,,20,32,113,113,40,2,16.2,2.9,,,,,,,,7.15,34.39,0.13,3.22,2.65,18.54,,,,,,,,
Wan'Dale Robinson,,0,WR,WR2,4400,NYG,vs IND,14,16.5,5.3,8.9,10,0,0,0,0,0,0,0,0,0,8.83,0.2441,8.83,5.87,46.22,0.13,0,0,0,0,0,0,11.27,11.27,0,3.32,21.87,11.27,11.27,40,34,43,43,0,100,,90,43,113,113,44,2.6,0,,,,,,,,,0.39,2.89,0.03,6.44,4.47,37.14,0.11,,,,,,,
Quentin Johnston,,0,WR,WR2,5100,LAC,@ NE,22,23.75,6.2,5.5,10.5,0,0,0,0,0,0,0,0,0,6.68,0.1989,6.68,3.54,40.72,0.57,0,0,0,0,0,0,11.03,11.03,0,1.73,23.43,11.03,11.03,13,27,44,44,0,100,,36,36,114,114,19,2.2,9.8,1.9,,,,,,,,0.2,0.5,,4.53,2.5,30.27,0.33,,,,,,,
Sam LaPorta,,0,TE,TE1,4900,DET,@ SF,29,27,7.1,14.3,10.4,0,0,0,0,0,0,0,0,0,5.73,0.1809,5.73,3.92,43.17,0.44,0,0,0,0,0,0,10.88,10.88,0,0.23,25.08,10.88,10.88,19,6,11,11,0,100,,90,38,115,115,43,2.2,0,,,,,,,,,0.03,0.13,,6.06,4.29,48,0.52,,,,,,,
T.J. Hockenson,,0,TE,TE1,4500,MIN,vs GB,12,25,8,14.9,9.3,0,0,0,0,0,0,0,0,0,7.13,0.2036,7.13,4.9,47.5,0.2,0,0,0,0,0,0,10.85,10.85,0,0,26.85,10.85,10.85,19,8,12,12,0,100,,90,42,116,116,31,2.4,0,,,,,,,,,0.01,,,6.85,4.69,49.06,0.29,,,,,,,
Will Dissly,,0,TE,TE1,3700,LAC,@ NE,22,23.75,5.2,3.4,7,0,0,0,0,0,0,0,0,0,5.63,0.1675,5.63,4.5,45.23,0.3,0,0,0,0,0,0,10.82,10.82,0,3.02,21.22,10.82,10.82,10,15,13,13,0,100,,63,50,117,117,9,2.9,4.1,1.1,,,,,,,,0.01,0.09,,2.71,2.18,23.58,0.18,,,,,,,
DeAndre Hopkins,,0,WR,WR2,5100,KC,@ PIT,27,23.75,9.2,13.7,9.6,0,0,0,0,0,0,0,0,0,5.83,0.1518,5.83,3.72,47.01,0.35,0,0,0,0,0,0,10.52,10.52,0,0,28.92,10.52,10.52,33,27,45,45,0,100,,69,36,118,118,47,2.1,2.7,0.5,0.03,0.01,0.04,0.01,,0.01,0.22,0.04,0.14,,9.42,5.91,75.7,0.51,,,,,,,
Jayden Reed,,0,WR,WR1,5900,GB,@ MIN,21,24,8.1,13.8,13.3,0,0,0,0,0,0,0,0,0,4.85,0.1726,4.85,3.51,46,0.39,0,0,0,0,0,0,10.45,10.45,0,0,26.65,10.45,10.45,40,19,46,46,0,100,,90,28,119,119,40,1.8,0,,,,,,,,,0.9,9,0.1,5.26,3.74,51.48,0.45,,,,,,,
Olamide Zaccheaus,,0,WR,WR2,4000,WAS,vs ATL,2,25,5.6,3.5,5.9,0,0,0,0,0,0,0,0,0,5.72,0.1621,5.72,3.73,45.69,0.34,0,0,0,0,0,0,10.34,10.34,0,1.94,21.54,10.34,10.34,40,38,47,47,0,100,,90,47,120,120,2,2.6,0,,,,,,,,,0.06,0.13,,3.16,1.99,26.6,0.17,,,,,,,
Tyler Lockett,,0,WR,WR3,3600,SEA,@ CHI,6,23,9.4,11.9,7.4,0,0,0,0,0,0,0,0,0,5.41,0.1382,5.41,3.79,46.8,0.31,0,0,0,0,0,0,10.33,10.33,0,0,29.13,10.33,10.33,25,42,48,48,0,100,,56,51,121,121,25,2.9,5,1.4,,,,,,,,0.25,1.63,0.01,5.88,4.13,54.32,0.39,,,,,,,
Isaiah Likely,,0,TE,TE2,3500,BAL,@ HOU,13,26.75,7,7.8,8.7,0,0,0,0,0,0,0,0,0,5.28,0.1613,5.28,3.71,39.14,0.45,0,0,0,0,0,0,10.32,10.32,0,0,24.32,10.32,10.32,7,17,14,14,0,100,,44,52,122,122,9,2.9,7.9,2.3,,,,,,,,,,,3.8,2.6,30.35,0.33,,,,,,,
Juwan Johnson,,0,TE,TE1,3500,NO,vs LV,19,17.75,5.8,7.5,7.4,0,0,0,0,0,0,0,0,0,6.08,0.2032,6.08,4.19,40.99,0.33,0,0,0,0,0,0,10.27,10.27,0,1.57,21.87,10.27,10.27,19,17,15,15,0,100,,90,52,123,123,12,2.9,0,,,,,,,,,,,,3.46,2.27,25.02,0.31,,,,,,,
Devaughn Vele,,0,WR,WR2,4100,DEN,@ CIN,7,23.25,4.8,0,7.9,0,0,0,0,0,0,0,0,0,5.81,0.1479,5.81,3.84,45.01,0.31,0,0,0,0,0,0,10.2,10.2,0,3,19.8,10.2,10.2,27,37,49,49,0,100,,59,46,124,124,39,2.5,4.7,1.1,,,,,,,,,,,4.45,3.18,36.18,0.18,,,,,,,
Demario Douglas,,0,WR,WR1,4300,NE,vs LAC,17,17.75,4.4,7.7,9.1,0,0,0,0,0,0,0,0,0,6.52,0.1915,6.52,4.8,45.08,0.13,0,0,0,0,0,0,10.09,10.09,0,3.49,18.89,10.09,10.09,9,35,50,50,0,100,,25,44,125,125,48,2.3,14.6,3.4,,,,,,,,0.39,2.04,,5.61,3.89,39.32,0.07,,,,,,,
Cam Akers,,0,RB,RB2,4900,MIN,vs GB,12,25,7,6.7,5.3,0,0,0,0,0,0.627,18.03,72.37,0.47,18.03,0,0,0,0,0,0,0,0,0,0,0,10.06,10.06,0,0,24.06,10.06,10.06,27,30,32,32,0,100,,90,38,126,126,13,2.1,0,,,,,,0.02,,,10.21,40.46,0.27,1.25,1,7.69,0.06,,,,,,,
