,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,,,,Overall Rankings,,,,,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Salary,FC Proj,My Proj,Rdm %,Exp.,Used,FPs,Salary,FC Proj,My Proj,Con.,Value,Score,Val,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Nico Collins,,0,WR,WR1,8100,HOU,@ KC,16,19.5,10,18.4,20.7,0,0,0,0,0,0,0,0,0,9.95,0.3057,9.95,6.47,94.17,0.59,0,0,0,0,0,0,19.43,19.43,0,4.43,39.43,19.43,19.43,5,3,12,12,0,100,,18,5,40,40,25,2.4,13,1.6,,,,,,,,0.02,0.15,,6.54,4.23,64.02,0.35,,,,,,,
Chuba Hubbard,,0,RB,RB1,6800,CAR,vs ARI,12,20.75,7.4,10.9,15.8,0,0,0,0,0,0.8421,21.89,91.75,0.66,26.9,0.1341,5.01,3.91,19.18,0.05,0,0,0,0,0,0,19.26,19.26,0,8.16,34.06,19.26,19.26,20,14,12,12,0,100,,56,18,41,41,30,2.8,0,,,,,,,,,11.97,49.56,0.33,2.41,1.92,12.07,0.03,,,,,,,
Drake Maye,,0,QB,QB1,5800,NE,@ BUF,27,16.25,5.8,0,16.3,1,33.63,228.13,1.39,1.08,0.1856,4.9,41.38,0.24,4.9,0,0,0,0,0,0,0,0,0,0,0,19.18,19.18,0,10.48,30.78,19.18,19.18,7,15,17,17,0,100,,56,28,42,42,64,3.3,0,,28,19.2,189.7,0.9,2.7,1.2,83.95,4.2,35.9,0.2,,,,,,,,,,,
Bucky Irving,,0,RB,RB1,6400,TB,@ DAL,24,26,8,0,13.8,0,0,0,0,0,0.4349,14.94,84.81,0.61,18.85,0.1178,3.91,3.78,29.7,0,0,0,0,0,0,0,18.89,18.89,0,6.89,34.89,18.89,18.89,20,18,13,13,0,100,,56,22,43,43,42,3,0,,,,,,,,,10.86,60.79,0.43,2.86,2.71,21.14,,,,,,,,
Bryce Young,,0,QB,QB1,5300,CAR,vs ARI,3,20.75,5.9,11,11.4,1,37.39,257.83,1.41,0.93,0.1579,4.1,21.88,0.28,4.1,0,0,0,0,0,0,0,0,0,0,0,18.89,18.89,0,10.04,30.69,18.89,18.89,7,20,18,18,0,100,,56,33,43,43,47,3.6,0,,30.44,18.22,172.89,0.7,3.07,0.7,74.2,2.59,14.89,0.11,,,,,,,,,,,
Rachaad White,,0,RB,RB2,5900,TB,@ DAL,24,26,6.9,16.2,14.3,0,0,0,0,0,0.425,14.6,58.97,0.32,19.8,0.1568,5.2,4.63,34.8,0.48,0,0,0,0,0,0,18.81,18.81,0,8.46,32.61,18.81,18.81,20,23,14,14,0,100,,56,27,44,44,48,3.2,0,,,,,,,,,11.65,44.43,0.22,3.83,3.41,25.61,0.24,,,,,,,
Terry McLaurin,,0,WR,WR1,7300,WAS,vs PHI,26,21.25,7.8,12.1,17.5,0,0,0,0,0,0,0,0,0,9.42,0.3079,9.42,6.29,86.05,0.65,0,0,0,0,0,0,18.8,18.8,0,7.1,34.4,18.8,18.8,20,9,13,13,0,100,,56,13,45,45,46,2.6,0,,,,,,,,,0.13,0.78,,7.44,4.74,66.51,0.38,,,,,,,
Amon-Ra St. Brown,,0,WR,WR1,7900,DET,@ CHI,6,26.75,10.4,22.4,19.7,0,0,0,0,0,0,0,0,0,9.48,0.2899,9.48,7.39,80.43,0.54,0,0,0,0,0,0,18.67,18.67,0,3.07,39.47,18.67,18.67,20,5,14,14,0,100,,56,7,46,46,44,2.4,0,,0.02,0.02,0.11,,0.02,0.02,7.22,0.35,3,0.02,8.81,6.61,74.9,0.5,,,,,,,
Russell Wilson,,0,QB,QB1,5700,PIT,@ BAL,17,18.75,8,18.4,17.1,1,30.08,229.75,1.6,0.53,0.1467,5.29,24.64,0.14,5.29,0,0,0,0,0,0,0,0,0,0,0,18.36,18.36,0,6.36,34.36,18.36,18.36,6,16,19,19,0,100,,11,29,47,47,60,3.2,17.38,3,31.32,20.35,240.34,0.57,2.9,1.85,101.46,4.75,23.85,0.12,0.03,0.03,0.03,0.01,,,,,,,
Malik Nabers,,0,WR,WR1,6100,NYG,@ ATL,2,17,7.4,0,17.7,0,0,0,0,0,0,0,0,0,12.81,0.3816,12.81,8.17,80.21,0.35,0,0,0,0,0,0,18.29,18.29,0,7.19,33.09,18.29,18.29,20,19,15,15,0,100,,56,25,48,48,58,3,0,,0.08,,,,,,0.17,0.42,0.17,,11.67,7.5,75.08,0.33,,,,,,,
Matthew Stafford,,0,QB,QB1,5900,LAR,@ NYJ,21,24.75,7,17.9,15.3,1,35.74,280.11,1.77,0.67,0.0574,1.8,5.3,0.02,1.8,0,0,0,0,0,0,0,0,0,0,0,18.26,18.26,0,7.76,32.26,18.26,18.26,7,14,20,20,0,100,,56,27,49,49,61,3.1,0,,35.06,23.01,263.9,0.71,2.39,1.7,97.19,1.9,6.07,0.03,0.01,0.01,-0.04,,,,,,,,
Tua Tagovailoa,,0,QB,QB1,6000,MIA,vs SF,2,21.5,8.3,17.9,19,1,35.15,258.45,1.93,0.72,0.0814,2.03,5.49,0.06,2.03,0,0,0,0,0,0,0,0,0,0,0,18.25,18.25,0,5.8,34.85,18.25,18.25,7,13,21,21,0,100,,56,26,50,50,52,3,0,,31.79,21.67,242.71,0.7,1.76,1.57,96.87,2.41,6.84,0.1,,,,,,,,,,,
Jonathan Taylor,,0,RB,RB1,6900,IND,vs TEN,23,23.25,10,15.9,15.3,0,0,0,0,0,0.6273,20.72,96.8,0.69,23.62,0.1005,2.9,2.1,15.38,0.12,0,0,0,0,0,0,18.18,18.18,0,3.18,38.18,18.18,18.18,20,13,15,15,0,100,,56,17,51,51,44,2.6,0,,,,,,,,,17.7,85.83,0.7,2.81,2.16,16.83,0.08,,,,,,,
