player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jordan Poyer,8000,S,BUF,1,0,0,100.0,0,0,4,55.2,55.6,78.0,,62.5,77.3,0,0,1,23,0.0,0,0,0,112.5,3,0,7,1,49,65,1,0,0,1,0,52,64,0,16,4,1,1,3,0,1,33,1,11.0
Nick Williams,8006,DI,NYG,1,0,0,,0,0,21,,37.8,76.3,51.8,39.5,,0,1,0,,100.0,1,0,0,0.0,0,0,0,0,0,32,32,2,16,2,12,0,0,17,15,0,0,0,0,1,0,0,0,
Tony Jefferson,8361,S,NYG,1,0,0,,0,0,21,65.1,59.5,75.3,51.0,,,0,0,0,,,0,0,0,0.0,0,0,6,0,7,13,6,0,0,6,0,0,7,6,0,1,0,0,0,0,0,0,0,
Mike Purcell,8530,DI,DEN,1,0,0,,0,0,10,,54.6,76.1,59.2,53.3,26.0,0,1,0,,50.0,1,0,0,0.0,0,0,0,0,0,25,25,11,8,0,6,0,0,14,11,0,0,1,0,1,0,0,0,
Jadeveon Clowney,8636,ED,CLV,1,1,2,100.0,0,0,8,60.0,76.3,80.2,75.9,73.2,73.0,0,1,0,21,0.0,0,0,0,118.8,1,1,0,0,1,44,44,0,2,42,0,0,0,28,15,0,1,1,1,2,0,21,27,21.0
Khalil Mack,8640,ED,LAC,1,1,0,,0,1,27,62.7,87.0,79.0,78.7,75.6,75.5,1,1,0,,0.0,0,0,0,0.0,0,3,0,0,5,49,49,0,0,49,0,0,0,35,9,0,5,2,0,5,0,0,0,
Anthony Barr,8644,LB,DAL,1,0,0,50.0,0,0,9,57.0,53.7,74.2,59.2,54.3,73.8,0,0,0,6,0.0,0,0,0,56.3,1,0,23,1,16,35,7,0,0,7,0,0,28,1,18,4,1,2,2,0,0,6,4,6.0
Aaron Donald,8648,DI,LA,1,1,0,,0,0,26,60.0,81.7,77.7,90.4,63.5,69.2,0,3,0,,0.0,0,0,0,0.0,0,1,0,0,0,50,50,0,16,6,28,0,0,34,16,0,1,0,0,4,0,0,0,
Kyle Fuller,8649,CB,BLT,1,0,0,60.0,0,0,3,61.0,55.3,79.1,59.1,30.0,53.1,0,0,0,12,25.0,1,0,1,71.3,3,0,6,54,61,80,4,0,0,4,0,0,76,1,18,16,0,3,5,0,0,23,0,7.7
C.J. Mosley,8652,LB,NYJ,1,5,0,80.0,0,0,22,56.8,54.3,75.4,53.3,56.4,64.8,0,1,0,15,8.3,1,0,0,98.3,4,0,53,0,32,56,2,0,0,2,0,0,54,3,21,1,3,6,5,1,0,38,26,9.5
