"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"31","Stefon Diggs","WR","BUF",14.8,2.23,0.0666,12.9,18.1,5.43,4.93,7.24,30,33,21,7,"2",NA,NA,93
"32","DK Metcalf","WR","SEA",14.7,1.85,0.146,13.1,17.3,5.37,5.08,6.52,33,32,31,8,"2",NA,NA,85
"33","Zach Ertz","TE","PHI",11.2,0.267,0.461,10.7,14.7,5.37,5.71,7.63,32,26,18,4,"3",NA,NA,6
"34","Cooper Kupp","WR","LAR",14.6,2.63,0.368,12.3,17.6,5.22,4.34,6.79,34,43,25,9,"3",NA,NA,99
"35","George Kittle","TE","SF",10.8,0.757,0.726,8.81,12,4.91,3.77,4.95,35,49,53,5,"3",NA,NA,40
"36","Mike Evans","WR","TB",14.2,1.15,0.03,13.4,17.1,4.85,5.39,6.28,36,28,36,10,"3",NA,NA,58
"37","Jerick McKinnon","RB","SF",12.9,1.33,0.0595,11.9,15.8,4.82,5.28,6.65,37,30,29,20,"8",NA,NA,87
"38","Adam Thielen","WR","MIN",14.2,0.834,0.544,12.6,17.2,4.82,4.64,6.35,38,37,35,11,"4",NA,NA,37
"39","David Montgomery","RB","CHI",12.8,2,0.47,11.1,16.4,4.77,4.46,7.22,39,39,22,21,"8",NA,NA,99
"40","Todd Gurley","RB","ATL",12.3,0.694,0.0226,8.6,14.1,4.3,1.98,4.99,40,71,52,22,"8",NA,NA,47
"41","Keenan Allen","WR","LAC",13.7,0.87,0.024,12.7,16.3,4.28,4.75,5.51,41,34,43,12,"4",NA,NA,41
"42","David Johnson","RB","HOU",12.3,0.452,0.918,9.86,13.1,4.27,3.24,4.01,42,54,60,23,"9",NA,NA,29
"43","Kenny Golladay","WR","DET",13.6,0.397,0.036,13.2,17.5,4.25,5.18,6.7,43,31,26,13,"4",NA,NA,13
