,,,,,,Game and Vegas,,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2022 Avg,2023 Avg,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value
Seahawks,,0,DST,DST1,3100,SEA,@ LAR,23,23.75,5.3,6.5,8.6,7.62,7.62,0,0,18.22,7.62,7.62,100,,28,2.5
Luke Musgrave,,0,TE,TE1,3600,GB,vs LAC,17,20.25,3.8,0,7.4,7.55,7.55,0,1.85,15.15,7.55,7.55,100,,49,2.1
Jets,,0,DST,DST1,2600,NYJ,@ BUF,9,23.5,5.4,6.9,9,7.5,7.5,0,0,18.3,7.5,7.5,100,,7,2.9
Dalvin Cook,,0,RB,RB2,4500,NYJ,@ BUF,19,16.5,10.5,14.6,3.2,7.46,7.46,0,0,28.46,7.46,7.46,100,,38,1.7
Trenton Irwin,,0,WR,WR3,3600,CIN,@ BAL,3,21.75,5.8,7,5.7,7.46,7.46,0,0,19.06,7.46,7.46,100,,0,2.1
Dolphins,,0,DST,DST1,3200,MIA,vs LV,29,16.25,6.7,5.7,6.2,7.4,7.4,0,0,20.8,7.4,7.4,100,,0,2.3
Josh Reynolds,,0,WR,WR2,3700,DET,vs CHI,6,27.25,6.2,8.7,10.3,7.37,7.37,0,0,19.77,7.37,7.37,100,,14,2
Quentin Johnston,,0,WR,WR2,4200,LAC,@ GB,12,23.25,4.1,0,4.5,7.29,7.29,0,1.14,15.49,7.29,7.29,100,,9,1.7
Bengals,,0,DST,DST1,2700,CIN,@ BAL,4,24.75,5,6.3,8.7,7.26,7.26,0,0,17.26,7.26,7.26,100,,15,2.7
Tyjae Spears,,0,RB,RB2,4600,TEN,@ JAC,4,16.75,3.6,0,8,7.18,7.18,0,1.78,14.38,7.18,7.18,100,,55,1.6
