,,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Zack Moss,,0,RB,RB2,5400,IND,@ NE,12,21.75,7.7,5.3,16.7,0,0,0,0,0,0.5315,16.72,76.06,0.58,18.97,0.0596,2.25,1.77,12.31,0.09,0,0,0,0,0,0,14.63,14.63,0,3.08,30.03,14.63,14.63,0,100,,11,2.7,22,17,17,31,64,64,,,,,,,,9.21,40.36,0.3,1.77,1.36,9.66,0.06,,,,,,,
Drake London,,0,WR,WR1,5500,ATL,@ ARI,1,22.75,6.5,10.9,12.1,0,0,0,0,0,0,0,0,0,8.95,0.2692,8.95,5.84,70.56,0.27,0,0,0,0,0,0,14.52,14.52,0,4.77,27.52,14.52,14.52,0,100,,42,2.6,24,22,22,30,65,65,0.04,0.04,0.88,,,,7.08,,,,6.92,4.36,52.16,0.24,,,,,,,
Brandon Aiyuk,,0,WR,WR2,7100,SF,@ JAC,15,23.75,7.8,13.6,16.9,0,0,0,0,0,0,0,0,0,7.14,0.2474,7.14,4.71,71.29,0.43,0,0,0,0,0,0,14.42,14.42,0,2.72,30.02,14.42,14.42,0,100,,42,2,10,23,23,14,66,66,,,,,,,,0.25,2.21,0.04,6.55,4.32,60.55,0.38,,,,,,,
Bijan Robinson,,0,RB,RB1,6000,ATL,@ ARI,26,22.75,7.2,0,13.5,0,0,0,0,0,0.4262,13.56,65.86,0.15,18.42,0.1462,4.86,3.16,21.75,0.26,0,0,0,0,0,0,14.38,14.38,0,3.58,28.78,14.38,14.38,0,100,,47,2.4,17,18,18,25,67,67,,,,,,,,11.44,57.44,0.11,4.56,3.11,21.89,0.22,,,,,,,
Josh Downs,,0,WR,WR2,5000,IND,@ NE,22,21.75,6.9,0,11.6,0,0,0,0,0,0,0,0,0,7.57,0.2002,7.57,5.54,65.8,0.35,0,0,0,0,0,0,14.22,14.22,0,3.87,28.02,14.22,14.22,0,100,,41,2.8,29,24,24,35,68,68,,,,,,,,,,,6.33,4.56,53.67,0.22,,,,,,,
DK Metcalf,,0,WR,WR1,6800,SEA,vs WAS,32,24.75,8.3,13.8,12.6,0,0,0,0,0,0,0,0,0,8.25,0.2339,8.25,4.9,66.75,0.43,0,0,0,0,0,0,14.16,14.16,0,1.71,30.76,14.16,14.16,0,100,,43,2.1,11,25,25,17,69,69,,,,,,,,0.04,0.23,,7.52,4.6,65.21,0.51,,,,,,,
Robert Woods,!,0,WR,WR2,4000,HOU,@ CIN,7,21,8.3,6.9,8.4,0,0,0,0,0,0,0,0,0,8.92,0.2411,8.92,5.57,66.49,0.32,0,0,0,0,0,0,14.14,14.14,0,1.69,30.74,14.14,14.14,0,100,,35,3.5,37,26,26,45,70,70,,,,,,,,0.61,4.13,0.04,7.2,4.61,56.19,0.25,,,,,,,
Bryce Young,,0,QB,QB1,5100,CAR,@ CHI,31,17.75,3.7,0,13.1,1,34.66,211.24,1.22,0.98,0.1005,2.69,17.04,0.01,2.69,0,0,0,0,0,0,0,0,0,0,0,14.11,14.11,0,8.56,21.51,14.11,14.11,0,100,,72,2.8,18,25,25,34,71,71,36,23,196.43,1,3.71,1.14,78.4,2.43,16.71,,,,,,,,,,,,
Tommy DeVito,,0,QB,QB1,4700,NYG,@ DAL,13,10.75,1.8,0,8.9,1,30.43,210.16,1.15,1.12,0.1389,2.97,11.44,0.18,2.97,0,0,0,0,0,0,0,0,0,0,0,14.11,14.11,0,11.41,17.71,14.11,14.11,0,100,,0,3,22,25,25,38,71,71,13.5,8.5,87,1,4,0.5,50.65,4,14.5,0.5,,,,,,,,,,,
Aidan O'Connell,,0,QB,QB1,4800,LV,vs NYJ,1,17.75,2.8,0,9.1,1,30.43,222.07,1.13,0.76,0.0537,1.35,3.73,0.17,1.35,0,0,0,0,0,0,0,0,0,0,0,14.04,14.04,0,9.84,19.64,14.04,14.04,0,100,,69,2.9,21,26,26,37,72,72,25.67,16.67,174,0.67,2.33,0.33,80.73,1,1,0.33,,,,,,,,,,,
DeAndre Hopkins,,0,WR,WR1,6000,TEN,@ TB,30,18.25,9,17.6,14.5,0,0,0,0,0,0,0,0,0,7.81,0.2712,7.81,4.77,62.69,0.49,0,0,0,0,0,0,13.98,13.98,0,0.48,31.98,13.98,13.98,0,100,,51,2.3,19,27,27,25,73,73,0.02,0.01,0.05,0.01,,0.01,0.25,0.04,0.13,,10.04,6.29,81.42,0.53,,,,,,,
Will Levis,,0,QB,QB1,5300,TEN,@ TB,19,18.25,8.5,0,18.2,1,28.8,208.55,1.19,0.64,0.1161,2.79,9.35,0.08,2.79,0,0,0,0,0,0,0,0,0,0,0,13.88,13.88,0,1.13,30.88,13.88,13.88,0,100,,0,2.6,16,27,27,32,74,74,34,20.5,250,0.5,3,2,101.65,4,6.5,,,,,,,,,,,,
Kenneth Walker III,,0,RB,RB1,6800,SEA,vs WAS,18,24.75,8.3,14.7,14.8,0,0,0,0,0,0.6434,16.36,71.65,0.6,18.85,0.0706,2.49,1.88,11.84,0,0,0,0,0,0,0,13.83,13.83,0,1.38,30.43,13.83,13.83,0,100,,44,2,10,19,19,17,75,75,,,,,,,,15.55,69.82,0.68,2.27,1.73,11.09,,,,,,,,
Rhamondre Stevenson,,0,RB,RB1,5600,NE,vs IND,30,20.75,8.1,15.1,12,0,0,0,0,0,0.488,9.96,44.84,0.29,16,0.1551,6.04,4.47,30.13,0.02,0,0,0,0,0,0,13.83,13.83,0,1.68,30.03,13.83,13.83,0,100,,37,2.5,20,19,19,29,75,75,,,,,,,,11.82,53.66,0.34,3.87,2.95,19.97,0.03,,,,,,,
Christian Kirk,,0,WR,WR2,6000,JAC,vs SF,29,20.75,7.8,14.8,14.4,0,0,0,0,0,0,0,0,0,7.85,0.2363,7.85,5.28,63.1,0.35,0,0,0,0,0,0,13.69,13.69,0,1.99,29.29,13.69,13.69,0,100,,39,2.3,19,28,28,25,76,76,0.04,0.02,0.4,,,,2.96,0.27,1.96,,6.8,4.48,55.93,0.35,,,,,,,
Calvin Ridley,,0,WR,WR1,5600,JAC,vs SF,29,20.75,9.6,0,12.1,0,0,0,0,0,0,0,0,0,7.87,0.2369,7.87,4.91,63.11,0.4,0,0,0,0,0,0,13.62,13.62,0,0,32.82,13.62,13.62,0,100,,38,2.4,23,29,29,29,77,77,,,,,,,,0.3,1.26,,7.68,4.93,66.54,0.53,,,,,,,
Mark Andrews,,0,TE,TE1,6900,BAL,vs CLE,8,22.25,8.9,13.3,15.6,0,0,0,0,0,0,0,0,0,6.78,0.2603,6.78,4.65,56.26,0.55,0,0,0,0,0,0,13.58,13.58,0,0.23,31.38,13.58,13.58,0,100,,34,2,1,4,4,16,78,78,,,,,,,,0.06,0.09,,6.62,4.48,56.34,0.47,,,,,,,
Javonte Williams,,0,RB,RB1,5300,DEN,@ BUF,22,19.75,6.4,10.7,9.8,0,0,0,0,0,0.5766,13.3,55.78,0.1,18.1,0.1422,4.8,3.77,20.53,0.24,0,0,0,0,0,0,13.44,13.44,0,3.84,26.24,13.44,13.44,0,100,,44,2.5,23,20,20,32,79,79,,,,,,,,12.14,52.29,0.14,3.46,2.71,16.79,0.14,,,,,,,
Michael Wilson,!,0,WR,WR2,3500,ARI,vs ATL,2,20.75,6.9,0,9.6,0,0,0,0,0,0,0,0,0,5.88,0.1576,5.88,4.36,68.58,0.33,0,0,0,0,0,0,13.2,13.2,0,2.85,27,13.2,13.2,0,100,,28,3.8,42,30,30,50,80,80,,,,,,,,,,,4.13,3.13,50.13,0.25,,,,,,,
Devin Singletary,,0,RB,RB1,4700,HOU,@ CIN,17,21,6.3,11.5,4.8,0,0,0,0,0,0.6232,17.53,76.36,0.32,20.15,0.0708,2.62,1.95,12.43,0.04,0,0,0,0,0,0,12.99,12.99,0,3.54,25.59,12.99,12.99,0,100,,41,2.8,29,21,21,38,81,81,0.01,0.01,0.09,,,0.01,6.34,10.67,48.83,0.23,3.07,2.29,15.56,0.06,,,,,,,
Jahan Dotson,,0,WR,WR2,5000,WAS,@ SEA,28,19.75,7.8,11.1,10.1,0,0,0,0,0,0,0,0,0,7.6,0.2006,7.6,4.54,55.64,0.48,0,0,0,0,0,0,12.98,12.98,0,1.28,28.58,12.98,12.98,0,100,,27,2.6,29,31,31,35,82,82,,,,,,,,0.1,-0.33,,5.62,3.29,42.05,0.48,,,,,,,
Aaron Jones,,0,RB,RB1,6500,GB,@ PIT,15,17.75,10.7,15.7,13.1,0,0,0,0,0,0.3896,9.05,44.28,0.36,13.11,0.1452,4.06,3,22.3,0.19,0,0,0,0,0,0,12.96,12.96,0,0,34.36,12.96,12.96,0,100,,34,2,13,22,22,20,83,83,,,,,,,,12.27,61.52,0.53,3.86,2.88,22.21,0.21,,,,,,,
Deebo Samuel,,0,WR,WR1,6200,SF,@ JAC,15,23.75,8.8,13.3,12.5,0,0,0,0,0,0.1027,2.88,18.07,0.26,8.12,0.1816,5.24,3.4,50.2,0.19,0,0,0,0,0,0,12.93,12.93,0,0,30.53,12.93,12.93,0,100,,42,2.1,17,32,32,23,84,84,0.03,0.02,0.4,,,0.02,3.3,2.45,16.32,0.25,6.5,4.22,60.98,0.22,,,,,,,
Tyler Boyd,,0,WR,WR2,4600,CIN,vs HOU,13,26,8,10.8,9.8,0,0,0,0,0,0,0,0,0,7.66,0.1909,7.66,5.35,57.58,0.3,0,0,0,0,0,0,12.91,12.91,0,0.91,28.91,12.91,12.91,0,100,,31,2.8,32,33,33,39,85,85,0.05,0.03,0.77,,0.01,,3.59,0.16,1.45,,6.34,4.34,50.75,0.28,,,,,,,
George Pickens,,0,WR,WR2,5100,PIT,vs GB,12,20.75,7.6,10,13.8,0,0,0,0,0,0,0,0,0,7.36,0.1994,7.36,4.07,66.05,0.36,0,0,0,0,0,0,12.84,12.84,0,1.44,28.04,12.84,12.84,0,100,,32,2.5,28,34,34,34,86,86,,,,,,,,0.16,1.6,0.04,5.72,3.28,52.88,0.28,,,,,,,
Gabriel Davis,,0,WR,WR2,5700,BUF,vs DEN,10,26.75,7.7,11.7,11.8,0,0,0,0,0,0,0,0,0,6.43,0.1941,6.43,3.64,52.31,0.61,0,0,0,0,0,0,12.53,12.53,0,0.98,27.93,12.53,12.53,0,100,,23,2.2,22,35,35,28,87,87,,,,,,,,0.04,-0.04,,4.84,2.71,43.96,0.45,,,,,,,
K.J. Osborn,!,0,WR,WR2,4200,MIN,vs NO,23,19.25,7.5,9.5,9.1,0,0,0,0,0,0,0,0,0,7.63,0.1871,7.63,5.08,55.23,0.32,0,0,0,0,0,0,12.52,12.52,0,1.27,27.52,12.52,12.52,0,100,,5,3,35,36,36,43,88,88,,,,,,,,0.08,0.31,,4.33,2.78,32.98,0.27,,,,,,,
Allen Lazard,,0,WR,WR2,3500,NYJ,@ LV,19,18.75,6.5,11.9,6.5,0,0,0,0,0,0,0,0,0,7.4,0.1971,7.4,4.57,56.68,0.36,0,0,0,0,0,0,12.4,12.4,0,2.65,25.4,12.4,12.4,0,100,,32,3.5,42,37,37,50,89,89,,,,,,,,0.15,1.23,,4.89,3.13,41.72,0.34,,,,,,,
Evan Engram,,0,TE,TE1,4500,JAC,vs SF,29,20.75,7,10.8,11.7,0,0,0,0,0,0,0,0,0,8.14,0.245,8.14,5.66,53.93,0.21,0,0,0,0,0,0,12.31,12.31,0,1.81,26.31,12.31,12.31,0,100,,33,2.7,8,5,5,40,90,90,,,,,,,,0.18,1.03,0.01,6.53,4.29,44.76,0.22,,,,,,,
Chris Olave,,0,WR,WR1,6400,NO,@ MIN,21,21.25,5.9,13.9,13.8,0,0,0,0,0,0,0,0,0,8.62,0.2656,8.62,5.07,57.99,0.23,0,0,0,0,0,0,12.25,12.25,0,3.4,24.05,12.25,12.25,0,100,,58,1.9,15,38,38,21,91,91,,,,,,,,,,,8.5,5.08,66.88,0.25,,,,,,,
George Kittle,,0,TE,TE1,6100,SF,@ JAC,15,23.75,9.7,13.6,12.2,0,0,0,0,0,0,0,0,0,5.55,0.1925,5.55,4,54.77,0.46,0,0,0,0,0,0,12.24,12.24,0,0,31.64,12.24,12.24,0,100,,29,2,2,6,6,24,92,92,,,,,,,,0.13,0.76,,6.51,4.68,62.02,0.37,,,,,,,
Najee Harris,,0,RB,RB1,4900,PIT,vs GB,24,20.75,7.2,13.5,9.4,0,0,0,0,0,0.5907,14.65,56.11,0.36,17.82,0.0859,3.17,2.41,14.69,0.08,0,0,0,0,0,0,12.13,12.13,0,1.33,26.53,12.13,12.13,0,100,,51,2.5,27,23,23,36,93,93,0.02,0.02,0.1,,,,1.98,16.17,62.38,0.38,4,3.1,18.98,0.14,,,,,,,
Miles Sanders,,0,RB,RB2,4600,CAR,@ CHI,9,17.75,8.4,13.4,7.9,0,0,0,0,0,0.5066,13.58,62.36,0.32,16.81,0.0932,3.23,2.16,13.94,0.03,0,0,0,0,0,0,11.89,11.89,0,0,28.69,11.89,11.89,0,100,,33,2.6,30,24,24,39,94,94,,,,,,,,12.65,61.63,0.32,3.22,2.23,16.2,0.05,,,,,,,
Cole Kmet,,0,TE,TE1,4200,CHI,vs CAR,5,20.75,6.4,8.7,12.1,0,0,0,0,0,0,0,0,0,6.45,0.216,6.45,4.79,43.39,0.43,0,0,0,0,0,0,11.71,11.71,0,2.11,24.51,11.71,11.71,0,100,,17,2.8,10,7,7,43,95,95,,,,,,,,0.11,0.12,,4.49,3.14,31.11,0.25,,,,,,,
Rashid Shaheed,,0,WR,WR3,4300,NO,@ MIN,21,21.25,6.7,9.1,11,0,0,0,0,0,0,0,0,0,5.12,0.1578,5.12,3.56,62.51,0.31,0,0,0,0,0,0,11.67,11.67,0,1.62,25.07,11.67,11.67,0,100,,33,2.7,34,39,39,42,96,96,,,,,,,,0.5,4.5,0.05,3.75,2.7,49.45,0.25,,,,,,,
Alexander Mattison,,0,RB,RB1,5500,MIN,vs NO,16,19.25,7,5.2,11,0,0,0,0,0,0.6311,12.74,49.19,0.24,16.1,0.0823,3.36,2.55,16.78,0.16,0,0,0,0,0,0,11.55,11.55,0,1.05,25.55,11.55,11.55,0,100,,0,2.1,21,25,25,30,97,97,,,,,,,,7.6,30.39,0.16,1.71,1.34,9.91,0.09,,,,,,,
Hunter Henry,,0,TE,TE1,3600,NE,vs IND,14,20.75,6,6.5,8.1,0,0,0,0,0,0,0,0,0,6.01,0.1543,6.01,4.08,47.02,0.46,0,0,0,0,0,0,11.54,11.54,0,2.54,23.54,11.54,11.54,0,100,,39,3.2,16,8,8,49,98,98,,,,,,,,,,,4.99,3.41,40.38,0.38,,,,,,,
James Cook,,0,RB,RB1,6300,BUF,vs DEN,28,26.75,6,6.7,12.1,0,0,0,0,0,0.417,10.81,53.2,0.13,13.87,0.0923,3.06,2.45,20.51,0.14,0,0,0,0,0,0,11.44,11.44,0,2.44,23.44,11.44,11.44,0,100,,30,1.8,14,26,26,22,99,99,,,,,,,,7.88,40.52,0.12,2.36,1.72,15.64,0.08,,,,,,,
Brandin Cooks,,0,WR,WR2,4200,DAL,vs NYG,24,27.75,9,11.4,6.8,0,0,0,0,0,0,0,0,0,6.26,0.1769,6.26,3.99,52.25,0.37,0,0,0,0,0,0,11.44,11.44,0,0,29.44,11.44,11.44,0,100,,36,2.7,35,40,40,43,99,99,,,,,,,,0.36,2,0.01,7.24,4.65,64.51,0.37,,,,,,,
Michael Thomas,,0,WR,WR2,4500,NO,@ MIN,21,21.25,9.5,17,9.8,0,0,0,0,0,0,0,0,0,6.38,0.1966,6.38,4.62,51.24,0.25,0,0,0,0,0,0,11.24,11.24,0,0,30.24,11.24,11.24,0,100,,48,2.5,33,41,41,40,100,100,,,,,,,,0.02,-0.09,,9.07,6.87,80.67,0.45,,,,,,,
JuJu Smith-Schuster,,0,WR,WR2,3300,NE,vs IND,14,20.75,9.2,12.1,5.9,0,0,0,0,0,0,0,0,0,6.31,0.162,6.31,4.43,48.09,0.33,0,0,0,0,0,0,11.22,11.22,0,0,29.62,11.22,11.22,0,100,,31,3.4,44,42,42,52,101,101,,,,,,,,0.05,0.25,0.01,7.03,4.89,56.7,0.36,,,,,,,
Trey McBride,,0,TE,TE1,3500,ARI,vs ATL,2,20.75,6.3,6.8,7,0,0,0,0,0,0,0,0,0,6.95,0.1864,6.95,4.94,49.76,0.2,0,0,0,0,0,0,11.12,11.12,0,1.67,23.72,11.12,11.12,0,100,,9,3.2,17,9,9,50,102,102,,,,,,,,,,,4.39,3.17,30.67,0.11,,,,,,,
Noah Brown,,0,WR,WR3,3700,HOU,@ CIN,7,21,6.1,7.7,12.4,0,0,0,0,0,0,0,0,0,6.62,0.1791,6.62,4.02,57.28,0.22,0,0,0,0,0,0,11.07,11.07,0,1.92,23.27,11.07,11.07,0,100,,0,3,40,43,43,48,103,103,,,,,,,,0.04,0.06,,3.22,1.96,25.45,0.08,,,,,,,
David Njoku,,0,TE,TE1,4000,CLE,@ BAL,3,16.25,6,10.2,9.4,0,0,0,0,0,0,0,0,0,6.08,0.2065,6.08,4,47.4,0.38,0,0,0,0,0,0,11.02,11.02,0,2.02,23.02,11.02,11.02,0,100,,22,2.8,12,10,10,45,104,104,,,,,,,,0.05,-0.07,,4.45,2.9,32.94,0.26,,,,,,,
Jerome Ford,,0,RB,RB1,5300,CLE,@ BAL,2,16.25,8.3,0.6,13.1,0,0,0,0,0,0.4651,12.99,50.56,0.23,15.78,0.0948,2.79,1.98,14.55,0.19,0,0,0,0,0,0,11.01,11.01,0,0,27.61,11.01,11.01,0,100,,22,2.1,23,27,27,32,105,105,,,,,,,,11.5,43.7,0.2,2.8,2,13.9,0.2,,,,,,,
Jaleel McLaughlin,,0,RB,RB2,4500,DEN,@ BUF,22,19.75,6.6,0,7.9,0,0,0,0,0,0.243,5.6,39.48,0.13,8.53,0.0868,2.93,2.49,13.03,0.39,0,0,0,0,0,0,10.86,10.86,0,0.96,24.06,10.86,10.86,0,100,,16,2.4,31,28,28,40,106,106,,,,,,,,4.75,33.5,0.13,1.75,1.5,8.13,0.25,,,,,,,
Tyler Allgeier,,0,RB,RB2,4700,ATL,@ ARI,26,22.75,6.4,10.2,8.4,0,0,0,0,0,0.4858,15.45,62.31,0.31,17.39,0.0582,1.94,1.47,11.11,0.03,0,0,0,0,0,0,10.85,10.85,0,1.25,23.65,10.85,10.85,0,100,,33,2.3,29,29,29,38,107,107,,,,,,,,13.04,56.24,0.24,1.32,1.08,8.6,0.04,,,,,,,
D'Onta Foreman,,0,RB,RB1,5500,CHI,vs CAR,32,20.75,8.9,9.1,11.6,0,0,0,0,0,0.5816,18.38,80.69,0.45,18.38,0,0,0,0,0,0,0,0,0,0,0,10.77,10.77,0,0,28.57,10.77,10.77,0,100,,1,2,21,30,30,30,108,108,,,,,,,,11.69,50.52,0.29,0.98,0.69,7.21,0.05,,,,,,,
Jaxon Smith-Njigba,,0,WR,WR3,4100,SEA,vs WAS,32,24.75,4.7,0,8.5,0,0,0,0,0,0,0,0,0,6.68,0.1895,6.68,4.57,42.57,0.31,0,0,0,0,0,0,10.69,10.69,0,3.64,20.09,10.69,10.69,0,100,,45,2.6,36,44,44,44,109,109,,,,,,,,,,,5.38,3.63,34,0.25,,,,,,,
Steelers,,0,DST,DST1,3800,PIT,vs GB,25,17.75,6.1,6.2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,1.16,0.93,0.12,0.23,17.75,10.65,10.65,0,1.5,22.85,10.65,10.65,0,100,,24,2.8,5,2,2,47,110,110,,,,,,,,,,,,,,,3,0.94,0.6,0.13,0.04,20.47,336.55
Dalton Kincaid,,0,TE,TE1,4300,BUF,vs DEN,10,26.75,5.7,0,9.9,0,0,0,0,0,0,0,0,0,5.96,0.1798,5.96,5.3,43.42,0.15,0,0,0,0,0,0,10.54,10.54,0,1.99,21.94,10.54,10.54,0,100,,42,2.5,9,11,11,42,111,111,,,,,,,,,,,5.63,5,42.38,0.13,,,,,,,
Kareem Hunt,,0,RB,RB2,5100,CLE,@ BAL,2,16.25,9.5,7.5,10.2,0,0,0,0,0,0.314,8.77,36.58,0.4,11.22,0.0832,2.45,1.9,16.81,0.13,0,0,0,0,0,0,10.42,10.42,0,0,29.42,10.42,10.42,0,100,,34,2,25,31,31,34,112,112,,,,,,,,11.65,51.27,0.45,3.34,2.65,22.52,0.2,,,,,,,
Chuba Hubbard,,0,RB,RB1,5100,CAR,@ CHI,9,17.75,5.8,6.5,8.4,0,0,0,0,0,0.393,10.53,42.36,0.2,14.2,0.106,3.67,2.85,19.18,0.03,0,0,0,0,0,0,10.38,10.38,0,1.68,21.98,10.38,10.38,0,100,,27,2,25,32,32,34,113,113,,,,,,,,9.26,37,0.21,2.03,1.53,11.55,0.03,,,,,,,
Jakobi Meyers,,0,WR,WR2,6200,LV,vs NYJ,25,17.75,6.7,13.2,15.2,0,0,0,0,0,0,0,0,0,6.22,0.2045,6.22,4.11,45.38,0.27,0,0,0,0,0,0,10.27,10.27,0,0.22,23.67,10.27,10.27,0,100,,42,1.7,17,45,45,23,114,114,0.07,0.07,1.44,,,0.03,7.14,0.11,0.39,0.02,6.64,4.51,52.46,0.21,,,,,,,
Zay Flowers,,0,WR,WR1,5700,BAL,vs CLE,8,22.25,4.6,0,11,0,0,0,0,0,0,0,0,0,6.45,0.2477,6.45,4.59,47.35,0.13,0,0,0,0,0,0,10.11,10.11,0,3.21,19.31,10.11,10.11,0,100,,58,1.8,22,46,46,28,115,115,,,,,,,,0.67,1.33,,6.89,5,52.44,0.11,,,,,,,
Colts,,0,DST,DST1,3400,IND,@ NE,31,20.75,5.7,6.4,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,1.17,0.64,0,0.43,20.75,9.97,9.97,0,1.42,21.37,9.97,9.97,0,100,,20,2.9,9,3,3,51,116,116,,,,,,,,,,,,,,,2.27,0.87,0.6,0.19,0.06,23.33,357.93
Jaylen Warren,,0,RB,RB2,5000,PIT,vs GB,24,20.75,4.1,5.8,10.3,0,0,0,0,0,0.27,6.7,32.71,0.12,10.94,0.115,4.24,3.52,24.19,0,0,0,0,0,0,0,9.93,9.93,0,3.78,18.13,9.93,9.93,0,100,,44,2,26,33,33,35,117,117,,,,,,,,5.54,26.75,0.08,2.83,2.38,17.63,,,,,,,,
Gus Edwards,,0,RB,RB1,6100,BAL,vs CLE,4,22.25,6.3,6.7,12.1,0,0,0,0,0,0.4455,13.45,65.37,0.55,13.45,0,0,0,0,0,0,0,0,0,0,0,9.84,9.84,0,0.39,22.44,9.84,9.84,0,100,,22,1.6,16,34,34,24,118,118,,,,,,,,9.9,49.73,0.32,0.53,0.39,4.85,,,,,,,,
Logan Thomas,,0,TE,TE1,3800,WAS,@ SEA,28,19.75,5.9,5.9,10.2,0,0,0,0,0,0,0,0,0,6.2,0.1637,6.2,4.22,37.61,0.29,0,0,0,0,0,0,9.72,9.72,0,0.87,21.52,9.72,9.72,0,100,,14,2.6,14,12,12,47,119,119,0.03,0.03,0.62,,,,3.87,0.06,0.1,,4.32,2.87,26.41,0.22,,,,,,,
Rondale Moore,,0,WR,WR3,3000,ARI,vs ATL,2,20.75,6.8,11,6,0,0,0,0,0,0.1065,3.12,17.74,0.09,9.03,0.1586,5.91,4.04,30.72,0.04,0,0,0,0,0,0,9.67,9.67,0,0,23.27,9.67,9.67,0,100,,17,3.2,47,47,47,55,120,120,,,,,,,,1.45,7.13,0.03,4.97,3.71,31.52,0.06,,,,,,,
Jake Ferguson,,0,TE,TE1,4600,DAL,vs NYG,24,27.75,5.8,4.4,10.4,0,0,0,0,0,0,0,0,0,4.77,0.1347,4.77,3.71,36.09,0.35,0,0,0,0,0,0,9.42,9.42,0,0.72,21.02,9.42,9.42,0,100,,16,2,7,13,13,39,121,121,,,,,,,,,,,3.42,2.68,26.42,0.26,,,,,,,
Curtis Samuel,!,0,WR,WR3,3900,WAS,@ SEA,28,19.75,6.7,10.4,11,0,0,0,0,0,0,0,0,0,5.69,0.1503,5.69,3.96,39.99,0.24,0,0,0,0,0,0,9.4,9.4,0,0,22.8,9.4,9.4,0,100,,34,2.4,38,48,48,46,122,122,,,,,,,,1.44,8.49,0.09,5.35,3.54,37.83,0.24,,,,,,,
Taysom Hill,,0,TE,QB2,5100,NO,@ MIN,21,21.25,7.9,9.3,10.1,0,0,0,0,0,0.1661,5.66,30.8,0.39,7.57,0.059,1.91,1.45,12.37,0.18,0,0,0,0,0,0,9.19,9.19,0,0,24.99,9.19,9.19,0,100,,2,1.8,4,14,14,34,123,123,3.46,2.25,28.08,0.09,0.33,0.13,49.96,4.35,24.29,0.31,1.04,0.76,7.42,0.13,,,,,,,
Irv Smith Jr.,,0,TE,TE1,2700,CIN,vs HOU,13,26,5.6,6.9,5.3,0,0,0,0,0,0,0,0,0,5.52,0.1375,5.52,3.93,30.85,0.36,0,0,0,0,0,0,9.18,9.18,0,0.78,20.38,9.18,9.18,0,100,,22,3.4,24,15,15,58,124,124,,,,,,,,,,,3.92,2.72,25.2,0.32,,,,,,,
Christian Watson,,0,WR,WR1,4900,GB,@ PIT,27,17.75,9.2,12.4,7.8,0,0,0,0,0,0,0,0,0,5.35,0.1917,5.35,2.95,45.64,0.27,0,0,0,0,0,0,9.13,9.13,0,0,27.53,9.13,9.13,0,100,,18,1.9,30,49,49,36,125,125,,,,,,,,0.42,3.95,0.11,4.79,2.79,43.37,0.42,,,,,,,
Bengals,,0,DST,DST1,2800,CIN,vs HOU,10,21,5,6.3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,1.44,0.67,0,0.33,21,9.1,9.1,0,1.6,19.1,9.1,9.1,0,100,,15,3.3,15,4,4,57,126,126,,,,,,,,,,,,,,,2.14,0.88,0.38,0.12,0.01,22.43,369.86
Bills,,0,DST,DST1,3800,BUF,vs DEN,16,19.75,5.9,8.9,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,1.08,0.59,0,0.3,19.75,9.09,9.09,0,0.24,20.89,9.09,9.09,0,100,,20,2.4,5,5,5,47,127,127,,,,,,,,,,,,,,,2.31,0.97,0.56,0.13,0.04,20.34,329.29
Ezekiel Elliott,,0,RB,RB2,4500,NE,vs IND,30,20.75,9,12.4,6.9,0,0,0,0,0,0.3866,7.89,33.19,0.28,10.7,0.0722,2.81,2.09,14.78,0.07,0,0,0,0,0,0,8.99,8.99,0,0,26.99,8.99,8.99,0,100,,49,2,31,35,35,40,128,128,0.02,0.01,0.04,0.01,,,-2.91,17.34,76.04,0.61,3.76,2.84,21.25,0.11,,,,,,,
A.J. Dillon,,0,RB,RB2,4600,GB,@ PIT,15,17.75,7.2,9.9,7.2,0,0,0,0,0,0.4666,10.84,42.41,0.3,12.81,0.0706,1.97,1.49,12.6,0.03,0,0,0,0,0,0,8.97,8.97,0,0,23.37,8.97,8.97,0,100,,19,2,30,36,36,39,129,129,,,,,,,,10.06,41.59,0.29,1.88,1.47,12.61,0.04,,,,,,,
Jets,,0,DST,DST1,3000,NYJ,@ LV,30,17.75,5.4,6.9,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83,0.98,0.62,0.24,0.24,17.75,8.95,8.95,0,0.85,19.75,8.95,8.95,0,100,,7,3,13,6,6,55,130,130,,,,,,,,,,,,,,,2.15,0.72,0.49,0.13,0.05,23.61,353.76
