,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Actual Data,,Position Rankings,,,,Overall Rankings,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
James Conner,,0,RB,6200,ARI,vs LAR,13,27.00,10.8,13.8,15.7,0,0,0,0,0,0.6524,16.62,67.64,0.82,18.72,0.0626,2.1,1.75,13.88,0.07,0,0,0,0,0,0,15.24,15.24,0,0,36.84,15.24,15.24,0,100,,21,2.5,33.50,5.4,2,14,18,18,5,24,62,62,,,,,,,,11.31,46.03,0.56,3.13,2.61,21.34,0.1,,,,,,,
James Robinson,,0,RB,5800,JAC,@ TEN,18,18.25,8.5,18.8,14.5,0,0,0,0,0,0.546,11.38,51.51,0.44,16.48,0.1418,5.1,3.89,25.69,0.15,0,0,0,0,0,0,15.15,15.15,0,2.4,32.15,15.15,15.15,0,100,,46,2.6,0.40,0.1,56,18,19,19,173,28,63,63,,,,,0.03,,,14.47,65.5,0.56,3.53,2.69,18.72,0.13,,,,,,,
Baker Mayfield,,0,QB,5200,CLE,vs BAL,27,23.50,6.6,16.8,14.4,1,28.39,213.24,1.35,0.81,0.0979,2.92,10.13,0.1,2.92,0,0,0,0,0,0,0,0,0,0,0,14.73,14.73,0,4.83,27.93,14.73,14.73,0,100,,60,2.8,16.00,3.1,19,21,25,25,58,34,64,64,32,19.59,232.41,0.91,2.21,1.52,88.43,2.73,9.47,0.09,,,,,,,,,,,
Cordarrelle Patterson,,0,RB,6900,ATL,@ CAR,26,19.75,7,4.1,18.6,0,0,0,0,0,0.377,7.89,37.57,0.29,13.24,0.1628,5.35,3.97,38.05,0.24,0,0,0,0,0,0,14.71,14.71,0,4.21,28.71,14.71,14.71,0,100,,4,2.1,13.90,2,17,10,20,20,73,17,65,65,0.01,,,,,,0.39,3.56,16.95,0.13,2.64,1.96,18.24,0.1,,,,,,,
Mark Andrews,,0,TE,5900,BAL,@ CLE,20,20.50,9.2,11.6,15.4,0,0,0,0,0,0,0,0,0,7.54,0.258,7.54,5.03,61.37,0.59,0,0,0,0,0,0,14.71,14.71,0,0.91,33.11,14.71,14.71,0,100,,31,2.5,31.50,5.3,2,5,3,3,9,27,65,65,,,,,,,,0.03,0.04,,6.58,4.39,55.83,0.49,,,,,,,
Mike Evans,,0,WR,6600,TB,vs BUF,2,27.75,10.1,15.9,17,0,0,0,0,0,0,0,0,0,7.92,0.2047,7.92,4.59,67.87,0.55,0,0,0,0,0,0,14.68,14.68,0,0,34.88,14.68,14.68,0,100,,41,2.2,21.10,3.2,8,14,20,20,31,20,66,66,,,,,,,,0.01,0.09,,8.59,4.98,76.46,0.61,,,,,,,
Chuba Hubbard,,0,RB,5900,CAR,vs ATL,25,21.75,6.1,0,8.8,0,0,0,0,0,0.6295,15.71,57.12,0.45,20.26,0.1309,4.55,3.07,21.95,0.15,0,0,0,0,0,0,14.58,14.58,0,5.43,26.78,14.58,14.58,0,100,,24,2.5,9.30,1.6,30,17,21,21,102,27,67,67,,,,,,,,9.78,35.56,0.28,2.06,1.39,9.67,0.06,,,,,,,
Amari Cooper,,0,WR,5900,DAL,@ WAS,28,27.00,11,15.6,14.4,0,0,0,0,0,0,0,0,0,7.99,0.1761,7.99,4.99,66.11,0.44,0,0,0,0,0,0,14.24,14.24,0,0,36.24,14.24,14.24,0,100,,25,2.4,16.10,2.7,22,21,21,21,56,27,68,68,,,,,,,,0.13,0.35,,7.61,4.75,64.21,0.43,,,,,,,
Tee Higgins,,0,WR,6400,CIN,vs SF,9,23.50,9.4,13.4,15.3,0,0,0,0,0,0,0,0,0,7.44,0.2274,7.44,4.85,67.92,0.41,0,0,0,0,0,0,14.1,14.1,0,0,32.9,14.1,14.1,0,100,,39,2.2,19.40,3,14,16,22,22,42,22,69,69,,,,,,,,0.14,0.76,,7.43,4.84,70.89,0.43,,,,,,,
Jared Cook,,0,TE,3200,LAC,vs NYG,1,26.25,6.8,8.4,8,0,0,0,0,0,0,0,0,0,8.34,0.2098,8.34,5.12,63.66,0.41,0,0,0,0,0,0,13.95,13.95,0,3.75,27.55,13.95,13.95,0,100,,28,4.4,8.80,2.8,13,20,4,4,107,54,70,70,,,,,,,,,,,5.25,3.22,42.53,0.28,,,,,,,
A.J. Dillon,,0,RB,5900,GB,vs CHI,27,27.00,7.7,4.5,10.9,0,0,0,0,0,0.4459,12.57,54.44,0.37,15.92,0.0967,3.35,2.84,24.85,0.12,0,0,0,0,0,0,13.71,13.71,0,2.16,29.11,13.71,13.71,0,100,,11,2.3,7.10,1.2,35,17,22,22,118,27,71,71,,,,,,,,9.27,40.15,0.27,1.64,1.39,12.61,0.06,,,,,,,
Marquise Brown,,0,WR,6300,BAL,@ CLE,16,20.50,8.2,12.3,17.5,0,0,0,0,0,0,0,0,0,7.78,0.266,7.78,4.88,58.29,0.48,0,0,0,0,0,0,13.59,13.59,0,1.29,29.99,13.59,13.59,0,100,,39,2.2,9.10,1.4,46,17,23,23,104,23,72,72,,,,,,,,0.08,0.47,,7.3,4.58,57.02,0.43,,,,,,,
DeAndre Hopkins,,0,WR,6500,ARI,vs LAR,27,27.00,8.8,19.4,15.2,0,0,0,0,0,0,0,0,0,7.8,0.232,7.8,4.88,61.12,0.42,0,0,0,0,0,0,13.51,13.51,0,0.31,31.11,13.51,13.51,0,100,,53,2.1,10.40,1.6,42,15,24,24,94,21,73,73,0.03,0.01,0.05,0.01,,0.01,0.28,0.04,0.11,,10.14,6.35,81.95,0.55,,,,,,,
Saquon Barkley,,0,RB,6000,NYG,@ LAC,30,17.25,10.8,7.7,12.4,0,0,0,0,0,0.6041,12.66,57.96,0.36,16.53,0.1156,3.87,2.86,19.87,0.1,0,0,0,0,0,0,13.4,13.4,0,0,35,13.4,13.4,0,100,,43,2.2,18.50,3.1,11,16,23,23,46,26,74,74,,,,,,,,15.2,69.59,0.43,5.69,4.2,32.57,0.16,,,,,,,
Mike Glennon,,0,QB,4900,NYG,@ LAC,13,17.25,6.3,13.5,8.3,1,33.47,214.79,1.3,1.27,0.0514,1.08,3.07,0.06,1.08,0,0,0,0,0,0,0,0,0,0,0,13.19,13.19,0,3.74,25.79,13.19,13.19,0,100,,31,2.7,20.34,4.2,13,24,26,26,36,37,75,75,26.4,16.25,150,1,1.35,0.9,80.21,0.95,2.7,0.05,,,,,,,,,,,
Jalen Guyton,,0,WR,3400,LAC,vs NYG,14,26.25,5.1,6.1,4.7,0,0,0,0,0,0,0,0,0,7.23,0.1818,7.23,4.11,65.08,0.38,0,0,0,0,0,0,12.9,12.9,0,5.25,23.1,12.9,12.9,0,100,,15,3.8,17.70,5.2,17,46,25,25,48,52,76,76,,,,,,,,0.26,1,,3.15,1.79,30.09,0.18,,,,,,,
Kareem Hunt,!,0,RB,5600,CLE,vs BAL,1,23.50,9.4,13.9,15.2,0,0,0,0,0,0.3032,9.03,41.41,0.35,12.47,0.1211,3.44,2.77,23.54,0.25,0,0,0,0,0,0,12.87,12.87,0,0,31.67,12.87,12.87,0,100,,42,2.3,3.80,0.7,44,20,24,24,144,30,77,77,,,,,,,,12.79,58.65,0.5,3.62,2.91,25.59,0.26,,,,,,,
Darrel Williams,,0,RB,5300,KC,vs LV,11,28.50,7.2,5.4,11.7,0,0,0,0,0,0.3878,9.31,37.94,0.44,13.13,0.1,3.82,2.97,25.09,0.13,0,0,0,0,0,0,12.69,12.69,0,1.89,27.09,12.69,12.69,0,100,,9,2.4,12.90,2.4,19,23,25,25,77,33,78,78,,,,,,,,5.71,23.27,0.27,2.37,1.84,16.12,0.08,,,,,,,
Davis Mills,,0,QB,5000,HOU,vs SEA,19,16.00,8.4,0,10.6,1,28.67,209.53,1.16,0.75,0.0379,0.71,1.43,0.03,0.71,0,0,0,0,0,0,0,0,0,0,0,12.59,12.59,0,0,29.39,12.59,12.59,0,100,,38,2.5,21.04,4.2,12,23,27,27,32,36,79,79,31.53,20.65,210.12,0.82,2.47,1.24,85.9,1.29,2.59,,,,,,,,,,,,
K.J. Osborn,,0,WR,4100,MIN,vs PIT,21,23.75,6.8,0,7.9,0,0,0,0,0,0,0,0,0,6.41,0.1876,6.41,3.98,50.69,0.55,0,0,0,0,0,0,12.35,12.35,0,2.15,25.95,12.35,12.35,0,100,,24,3,17.30,4.2,20,39,26,26,51,45,80,80,,,,,,,,0.1,0.43,,4.67,2.9,36.81,0.38,,,,,,,
Jamison Crowder,,0,WR,4700,NYJ,vs NO,24,19.00,7.7,15.1,10.5,0,0,0,0,0,0,0,0,0,7.77,0.2229,7.77,5.16,54.73,0.28,0,0,0,0,0,0,12.31,12.31,0,0.76,27.71,12.31,12.31,0,100,,29,2.6,4.90,1,61,33,27,27,135,39,81,81,0.03,0.01,0.43,,0.01,0.01,2.35,0.17,0.81,,6.23,4.14,46.37,0.28,,,,,,,
Terry McLaurin,!,0,WR,7000,WAS,vs DAL,23,21.00,8.3,15.5,15.4,0,0,0,0,0,0,0,0,0,7.09,0.22,7.09,4.39,60.28,0.31,0,0,0,0,0,0,12.28,12.28,0,0,28.88,12.28,12.28,0,100,,42,1.8,0.00,,81,10,28,28,175,16,82,82,,,,,,,,0.08,0.96,,7.67,4.75,66.96,0.33,,,,,,,
Kyle Pitts,,0,TE,5500,ATL,@ CAR,7,19.75,6.9,0,11,0,0,0,0,0,0,0,0,0,7.78,0.2367,7.78,4.55,69.35,0.13,0,0,0,0,0,0,12.27,12.27,0,1.92,26.07,12.27,12.27,0,100,,31,2.2,11.10,2,8,6,5,5,89,31,83,83,,,,,,,,,,,6.23,3.64,53.95,0.09,,,,,,,
Tre'Quan Smith,,0,WR,4800,NO,@ NYJ,25,23.00,7.5,9,8.4,0,0,0,0,0,0,0,0,0,5.87,0.1772,5.87,3.92,54.87,0.46,0,0,0,0,0,0,12.17,12.17,0,0.92,27.17,12.17,12.17,0,100,,6,2.5,6.30,1.3,57,32,29,29,122,38,84,84,,,,,,,,0.04,0.15,,3.52,2.35,33.06,0.37,,,,,,,
Tyler Boyd,,0,WR,5000,CIN,vs SF,9,23.50,8.1,13.2,10.4,0,0,0,0,0,0,0,0,0,7.13,0.2181,7.13,4.84,54.45,0.29,0,0,0,0,0,0,12.03,12.03,0,0,28.23,12.03,12.03,0,100,,31,2.4,10.30,2.1,43,30,30,30,95,36,85,85,0.05,0.03,0.89,,,,4.19,0.19,1.66,,6.44,4.37,51.4,0.28,,,,,,,
Melvin Gordon,,0,RB,5400,DEN,vs DET,8,27.00,9,13.9,12.9,0,0,0,0,0,0.404,12.14,49.92,0.44,14.97,0.0815,2.83,2.11,16.38,0.1,0,0,0,0,0,0,11.98,11.98,0,0,29.98,11.98,11.98,0,100,,41,2.2,26.10,4.8,6,22,26,26,16,32,86,86,,,,,,,,14.68,60.36,0.53,3.77,2.81,22.07,0.13,,,,,,,
George Kittle,,0,TE,6900,SF,@ CIN,24,25.50,9.6,16.4,15.7,0,0,0,0,0,0,0,0,0,6.49,0.2066,6.49,4.63,57.79,0.26,0,0,0,0,0,0,11.97,11.97,0,0,31.17,11.97,11.97,0,100,,27,1.7,37.10,5.4,1,2,6,6,3,17,87,87,,,,,,,,0.14,0.9,,6.64,4.74,62.36,0.27,,,,,,,
JaMycal Hasty,,0,RB,4000,SF,@ CIN,5,25.50,2.8,5.2,5.5,0,0,0,0,0,0.4288,14.54,57.2,0.55,16.42,0.0599,1.88,1.45,9.05,0.05,0,0,0,0,0,0,11.68,11.68,0,7.48,17.28,11.68,11.68,0,100,,39,2.9,4.00,1,42,35,27,27,142,46,88,88,,,,,,,,2.89,11.37,0.11,2.26,1.74,11.47,,,,,,,,
Darnell Mooney,,0,WR,5700,CHI,@ GB,8,16.00,7,9.5,13.2,0,0,0,0,0,0,0,0,0,7.86,0.2972,7.86,4.64,56.39,0.23,0,0,0,0,0,0,11.66,11.66,0,1.16,25.66,11.66,11.66,0,100,,36,2,2.90,0.5,72,23,31,31,151,29,89,89,,,,,,,,0.27,1.41,0.03,6.86,4.05,48.84,0.22,,,,,,,
Robby Anderson,,0,WR,4300,CAR,vs ATL,12,21.75,7.9,14.6,6.3,0,0,0,0,0,0,0,0,0,7.13,0.2052,7.13,4.02,54.65,0.36,0,0,0,0,0,0,11.65,11.65,0,0,27.45,11.65,11.65,0,100,,28,2.7,21.40,5,7,37,32,32,27,43,90,90,,,,,,,,0.16,1.01,,6.7,3.78,49.97,0.3,,,,,,,
Jarvis Landry,,0,WR,5400,CLE,vs BAL,30,23.50,7.4,13.3,10.6,0,0,0,0,0,0,0,0,0,7.51,0.2644,7.51,4.84,52.6,0.25,0,0,0,0,0,0,11.6,11.6,0,0.5,26.4,11.6,11.6,0,100,,49,2.1,15.10,2.8,27,26,33,33,65,32,91,91,0.08,0.05,1.26,,0.01,0.01,8.78,0.32,2.08,0.04,8.65,5.58,62.59,0.29,,,,,,,
Cole Beasley,,0,WR,5000,BUF,@ TB,4,24.75,7.5,13.9,10.5,0,0,0,0,0,0,0,0,0,6.91,0.2019,6.91,4.92,48.71,0.26,0,0,0,0,0,0,11.35,11.35,0,0.1,26.35,11.35,11.35,0,100,,26,2.3,15.40,3.1,25,30,34,34,62,36,92,92,0.03,0.01,0.17,,,0.01,2,0.01,0.06,,5.8,4.13,43.05,0.23,,,,,,,
Austin Hooper,,0,TE,3400,CLE,vs BAL,23,23.50,6.4,9,5.7,0,0,0,0,0,0,0,0,0,6.37,0.2245,6.37,4.62,44.68,0.36,0,0,0,0,0,0,11.25,11.25,0,1.65,24.05,11.25,11.25,0,100,,25,3.3,14.00,4.1,5,18,7,7,72,52,93,93,,,,,,,,,,,4.66,3.38,33.77,0.26,,,,,,,
Mecole Hardman,,0,WR,3900,KC,vs LV,10,28.50,5.6,8.2,7.9,0,0,0,0,0,0,0,0,0,5.53,0.145,5.53,3.81,50.3,0.38,0,0,0,0,0,0,11.12,11.12,0,2.72,22.32,11.12,11.12,0,100,,30,2.9,7.90,2,51,41,35,35,113,47,94,94,,,,,,,,0.43,3.22,0.02,3.67,2.53,34.57,0.25,,,,,,,
Chase Claypool,,0,WR,6100,PIT,@ MIN,32,20.75,8.7,14.4,11.9,0,0,0,0,0,0,0,0,0,6.61,0.1759,6.61,3.73,53.2,0.34,0,0,0,0,0,0,11.09,11.09,0,0,28.49,11.09,11.09,0,100,,28,1.8,17.50,2.9,19,19,36,36,50,25,95,95,,,,,,,,0.84,4.3,0.05,6.7,3.78,51.24,0.35,,,,,,,
Christian Kirk,,0,WR,5400,ARI,vs LAR,27,27.00,7.6,10.7,11.9,0,0,0,0,0,0,0,0,0,6.33,0.1882,6.33,4.11,49.85,0.32,0,0,0,0,0,0,11.02,11.02,0,0,26.22,11.02,11.02,0,100,,38,2,11.60,2.1,38,26,37,37,86,32,96,96,0.02,0.02,0.54,,,,1.95,0.28,2.38,,6.62,4.3,53.77,0.33,,,,,,,
Van Jefferson,,0,WR,5500,LAR,@ ARI,17,24.00,5.7,4,10.9,0,0,0,0,0,0,0,0,0,6.56,0.2039,6.56,3.83,50.92,0.34,0,0,0,0,0,0,10.96,10.96,0,2.41,22.36,10.96,10.96,0,100,,21,2,14.80,2.7,28,25,38,38,67,31,97,97,,,,,,,,0.11,0.97,,4.11,2.4,33.43,0.23,,,,,,,
Justin Fields,,0,QB,5000,CHI,@ GB,5,16.00,7,0,10.6,1,26.45,182.37,0.79,1.11,0.0841,2.12,11.33,0.06,2.12,0,0,0,0,0,0,0,0,0,0,0,10.84,10.84,0,0.34,24.84,10.84,10.84,0,100,,40,2.2,21.36,4.3,10,23,28,28,28,36,98,98,21.06,12.06,146.31,0.88,3.25,0.56,68.04,6.63,35.44,0.19,,,,,,,,,,,
Jerry Jeudy,,0,WR,5600,DEN,vs DET,7,27.00,7.2,10.2,10.2,0,0,0,0,0,0,0,0,0,7.35,0.2118,7.35,3.91,57.63,0.19,0,0,0,0,0,0,10.81,10.81,0,0.01,25.21,10.81,10.81,0,100,,27,1.9,9.70,1.7,44,24,39,39,98,30,99,99,,,,,,,,0.1,0.13,,6.33,3.37,50.2,0.17,,,,,,,
Courtland Sutton,,0,WR,5300,DEN,vs DET,7,27.00,7,9.6,11,0,0,0,0,0,0,0,0,0,6.53,0.1882,6.53,3.75,55.56,0.23,0,0,0,0,0,0,10.69,10.69,0,0.19,24.69,10.69,10.69,0,100,,36,2,1.90,0.4,76,27,40,40,162,33,100,100,0.04,0.04,0.98,,,,6.59,0.09,0.38,,6.42,3.69,55.24,0.24,,,,,,,
Brandon Aiyuk,,0,WR,5800,SF,@ CIN,26,25.50,7.1,15.9,8.7,0,0,0,0,0,0,0,0,0,6.03,0.1919,6.03,3.82,49.27,0.3,0,0,0,0,0,0,10.55,10.55,0,0,24.75,10.55,10.55,0,100,,42,1.8,18.60,3.2,15,22,41,41,45,28,101,101,,,,,,,,0.34,2.89,0.06,6.26,3.97,53.94,0.31,,,,,,,
Mike Davis,,0,RB,4900,ATL,@ CAR,26,19.75,7.2,14.8,8.7,0,0,0,0,0,0.372,7.79,28.64,0.2,12.05,0.1297,4.26,3.38,22.03,0.09,0,0,0,0,0,0,10.19,10.19,0,0,24.59,10.19,10.19,0,100,,14,2.1,13.60,2.8,18,27,28,28,74,37,102,102,,,,,,,,7.87,28.93,0.2,3.04,2.41,15.27,0.06,,,,,,,
Emmanuel Sanders,!,0,WR,4900,BUF,@ TB,4,24.75,9.1,11.3,10.4,0,0,0,0,0,0,0,0,0,6.16,0.18,6.16,3.82,47.52,0.25,0,0,0,0,0,0,10.07,10.07,0,0,28.27,10.07,10.07,0,100,,27,2.1,3.50,0.7,69,31,42,42,146,37,103,103,0.02,0.02,0.58,,,0.02,10.19,0.1,1.19,0.01,6.99,4.33,56.78,0.3,,,,,,,
Cedrick Wilson,,0,WR,3500,DAL,@ WAS,28,27.00,8.4,4.2,9.6,0,0,0,0,0,0,0,0,0,5.19,0.1143,5.19,3.49,42.48,0.37,0,0,0,0,0,0,9.96,9.96,0,0,26.76,9.96,9.96,0,100,,0,2.8,3.80,1.1,67,45,43,43,144,51,104,104,0.17,0.17,3.7,,,0.03,20.84,0.2,0.23,,3.67,2.47,30.63,0.27,,,,,,,
Pat Freiermuth,,0,TE,4300,PIT,@ MIN,19,20.75,4.6,0,9.6,0,0,0,0,0,0,0,0,0,5.44,0.1448,5.44,3.91,37.41,0.37,0,0,0,0,0,0,9.87,9.87,0,2.97,19.07,9.87,9.87,0,100,,53,2.3,11.20,2.6,7,11,8,8,88,43,105,105,,,,,,,,,,,5.43,3.9,35.48,0.38,,,,,,,
Cowboys,,0,DST,3400,DAL,@ WAS,22,21,5.7,4.8,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,1.73,0.36,0,0.55,21,9.86,9.86,0,1.31,21.26,9.86,9.86,0,100,,11,2.9,22.00,6.5,2,6,1,1,25,52,106,106,,,,,,,,,,,,,,,2.25,0.7,0.54,0.14,0.01,21.73,349.94
Bryan Edwards,,0,WR,3300,LV,@ KC,6,19.50,4.9,4,7.1,0,0,0,0,0,0,0,0,0,5.41,0.1663,5.41,3.2,49.99,0.24,0,0,0,0,0,0,9.64,9.64,0,2.29,19.44,9.64,9.64,0,100,,11,2.9,4.40,1.3,64,47,44,44,139,53,107,107,,,,,,,,0.04,,,2.96,1.75,28.82,0.14,,,,,,,
Marvin Jones,,0,WR,4500,JAC,@ TEN,29,18.25,8.8,14.8,10.3,0,0,0,0,0,0,0,0,0,5.63,0.1566,5.63,3.42,44.86,0.28,0,0,0,0,0,0,9.59,9.59,0,0,27.19,9.59,9.59,0,100,,31,2.1,13.00,2.9,33,35,45,45,76,41,108,108,,,,,,,,0.07,0.33,,6.8,4.13,57.05,0.42,,,,,,,
Tyler Conklin,,0,TE,4100,MIN,vs PIT,6,23.75,4.9,5.6,9.3,0,0,0,0,0,0,0,0,0,5.94,0.1739,5.94,4.24,41.39,0.2,0,0,0,0,0,0,9.58,9.58,0,2.23,19.38,9.58,9.58,0,100,,26,2.3,4.00,1,26,12,9,9,142,45,109,109,,,,,,,,,,,4.13,2.95,28.69,0.13,,,,,,,
Noah Fant,,0,TE,4500,DEN,vs DET,17,27.00,6.2,10.7,9.9,0,0,0,0,0,0,0,0,0,5.65,0.1629,5.65,3.91,42.13,0.23,0,0,0,0,0,0,9.5,9.5,0,0.2,21.9,9.5,9.5,0,100,,31,2.1,9.10,2,12,10,10,10,104,41,110,110,,,,,,,,0.06,-0.24,,5.2,3.6,39.22,0.22,,,,,,,
Odell Beckham Jr.,,0,WR,5300,LAR,@ ARI,17,24.00,9.7,12.4,8.4,0,0,0,0,0,0,0,0,0,5.54,0.1723,5.54,3.27,42.81,0.3,0,0,0,0,0,0,9.35,9.35,0,0,28.75,9.35,9.35,0,100,,41,1.8,19.70,3.7,13,27,46,46,41,33,111,111,0.07,0.06,2.07,,0.01,0.02,18.96,0.18,1.52,0.01,8.85,5.22,71.66,0.52,,,,,,,
Devin Singletary,,0,RB,4700,BUF,@ TB,9,24.75,6.4,8.6,8.3,0,0,0,0,0,0.4016,9.16,42.17,0.22,11.87,0.0791,2.71,2.06,13.35,0.05,0,0,0,0,0,0,9.23,9.23,0,0,22.03,9.23,9.23,0,100,,43,2,14.90,3.2,14,29,29,29,66,39,112,112,,,,,,,,10.62,48.89,0.25,3.47,2.64,18,0.07,,,,,,,
Dan Arnold,,0,TE,3600,JAC,@ TEN,21,18.25,4.8,7,7.7,0,0,0,0,0,0,0,0,0,5.26,0.1463,5.26,3.49,43.48,0.23,0,0,0,0,0,0,9.22,9.22,0,2.02,18.82,9.22,9.22,0,100,,24,2.6,0.00,,40,16,11,11,175,50,113,113,,,,,,,,,,,3.41,2.26,29.67,0.18,,,,,,,
Nick Westbrook,,0,WR,4500,TEN,vs JAC,13,26.25,5.4,1.3,7.5,0,0,0,0,0,0,0,0,0,5.06,0.1595,5.06,3.28,41.11,0.3,0,0,0,0,0,0,9.19,9.19,0,1.09,19.99,9.19,9.19,0,100,,0,2,6.10,1.4,58,35,47,47,123,41,114,114,,,,,,,,,,,2.85,1.85,22.77,0.15,,,,,,,
Zach Ertz,,0,TE,5300,ARI,vs LAR,16,27.00,8.6,7,9.9,0,0,0,0,0,0,0,0,0,5.64,0.1679,5.64,3.83,38.68,0.24,0,0,0,0,0,0,9.14,9.14,0,0,26.34,9.14,9.14,0,100,,34,1.7,9.20,1.7,11,8,12,12,103,33,115,115,,,,,,,,0.01,0.04,,7.77,5.27,54.96,0.33,,,,,,,
Laviska Shenault Jr.,,0,WR,4300,JAC,@ TEN,29,18.25,5.3,11.2,8.1,0,0,0,0,0,0,0,0,0,5.89,0.1637,5.89,4,40.44,0.16,0,0,0,0,0,0,9,9,0,1.05,19.6,9,9,0,100,,44,2.1,7.40,1.7,53,37,48,48,116,43,116,116,,,,,,,,0.94,4.13,,5.66,3.84,40.91,0.19,,,,,,,
Julio Jones,,0,WR,5400,TEN,vs JAC,13,26.25,11.2,17.2,9.6,0,0,0,0,0,0,0,0,0,4.65,0.1464,4.65,3.05,46.14,0.21,0,0,0,0,0,0,8.92,8.92,0,0,31.32,8.92,8.92,0,100,,41,1.7,7.30,1.4,54,26,49,49,117,32,117,117,,,,,,,,0.08,0.52,,9.53,6.25,93.01,0.38,,,,,,,
Braxton Berrios,,0,WR,3000,NYJ,vs NO,24,19.00,6.3,6.1,4.9,0,0,0,0,0,0,0,0,0,5.84,0.1676,5.84,3.94,38.54,0.16,0,0,0,0,0,0,8.75,8.75,0,0,21.35,8.75,8.75,0,100,,7,2.9,11.20,3.7,39,50,50,50,88,56,118,118,0.03,0.03,0.05,,,0.03,3.13,0.34,2.34,0.05,3.71,2.5,25.87,0.13,,,,,,,
Kendall Blanton,,0,TE,2500,LAR,@ ARI,8,24.00,3.8,0,1.4,0,0,0,0,0,0,0,0,0,4.23,0.1315,4.23,3.45,37.09,0.25,0,0,0,0,0,0,8.66,8.66,0,2.96,16.26,8.66,8.66,0,100,,10,3.5,4.90,2,22,27,13,13,135,61,119,119,,,,,,,,,,,2,1.63,18.38,0.13,,,,,,,
A.J. Green,,0,WR,5000,ARI,vs LAR,27,27.00,10,7,10.1,0,0,0,0,0,0,0,0,0,5.17,0.1537,5.17,2.95,41.04,0.26,0,0,0,0,0,0,8.61,8.61,0,0,28.61,8.61,8.61,0,100,,25,1.7,20.20,4,12,30,51,51,39,36,120,120,,,,,,,,,,,7.64,4.36,62.55,0.39,,,,,,,
Russell Gage,,0,WR,5700,ATL,@ CAR,20,19.75,7.8,11.5,11.5,0,0,0,0,0,0,0,0,0,5.2,0.1581,5.2,3.57,38.04,0.19,0,0,0,0,0,0,8.51,8.51,0,0,24.11,8.51,8.51,0,100,,20,1.5,10.40,1.8,42,23,52,52,94,29,121,121,0.04,0.02,0.75,,,0.02,3.81,0.12,0.4,,6,4.12,42.63,0.19,,,,,,,
Ryan Griffin,,0,TE,2900,NYJ,vs NO,14,19.00,5.2,2.2,4.5,0,0,0,0,0,0,0,0,0,5.84,0.1676,5.84,3.67,35.66,0.19,0,0,0,0,0,0,8.38,8.38,0,0.58,18.78,8.38,8.38,0,100,,5,2.9,4.80,1.7,23,23,14,14,136,57,122,122,,,,,,,,,,,3.6,2.26,23.23,0.15,,,,,,,
Rondale Moore,,0,WR,4400,ARI,vs LAR,27,27.00,6.5,0,8.7,0,0,0,0,0,0,0,0,0,5.64,0.1679,5.64,4.55,33.97,0.07,0,0,0,0,0,0,8.37,8.37,0,0,21.37,8.37,8.37,0,100,,17,1.9,4.60,1,63,36,53,53,138,42,123,123,,,,,,,,1.19,4.5,,4.81,3.88,29.88,0.06,,,,,,,
Vikings,,0,DST,3000,MIN,vs PIT,19,20.75,5.9,3.6,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,0.88,0.44,0,0.26,20.75,8.37,8.37,0,0,20.17,8.37,8.37,0,100,,21,2.8,6.00,2,10,10,2,2,124,56,123,123,,,,,,,,,,,,,,,2.54,0.89,0.54,0.19,0.03,21.07,344.61
Dawson Knox,,0,TE,5000,BUF,@ TB,18,24.75,6.1,7,12.3,0,0,0,0,0,0,0,0,0,4.48,0.1311,4.48,2.86,32.18,0.38,0,0,0,0,0,0,8.36,8.36,0,0,20.56,8.36,8.36,0,100,,22,1.7,19.00,3.8,3,9,15,15,44,36,124,124,,,,,,,,0.02,0.25,,4.02,2.57,30.41,0.35,,,,,,,
Allen Lazard,,0,WR,3500,GB,vs CHI,11,27.00,7.1,10.8,6.6,0,0,0,0,0,0,0,0,0,3.93,0.1136,3.93,2.66,35.44,0.36,0,0,0,0,0,0,8.36,8.36,0,0,22.56,8.36,8.36,0,100,,28,2.4,20.90,6,9,45,54,54,34,51,124,124,,,,,,,,0.16,1.7,,4.43,3,41.41,0.39,,,,,,,
Jeremy McNichols,,0,RB,5200,TEN,vs JAC,24,26.25,3.7,2.8,6.6,0,0,0,0,0,0.1691,4.5,18.4,0.04,9.04,0.1432,4.54,3.3,24.71,0.08,0,0,0,0,0,0,8.33,8.33,0,2.78,15.73,8.33,8.33,0,100,,10,1.6,1.60,0.3,50,24,30,30,165,34,125,125,,,,,,,,3.07,12.55,0.03,1.9,1.38,10.17,0.03,,,,,,,
Alex Collins,,0,RB,5200,SEA,@ HOU,28,25.00,6.3,8.9,7,0,0,0,0,0,0.5561,13.33,55.1,0.47,13.33,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,20.93,8.33,8.33,0,100,,28,1.6,2.70,0.5,47,24,30,30,153,34,125,125,,,,,,,,9.96,41.17,0.35,1.73,1.27,10.23,0.02,,,,,,,
