,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Actual Data,,Position Rankings,,,,Overall Rankings,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Rondale Moore,,0,WR,4600,ARI,@ LAR,3,25.00,6.6,0,13.5,0,0,0,0,0,0,0,0,0,4.39,0.1411,4.39,3.59,27.76,0.06,0,0,0,0,0,0,6.73,6.73,0,0,19.93,6.73,6.73,0,100,,19,1.5,6.70,1.5,59,33,77,77,130,38,182,182,,,,,,,,1.2,5.07,,4.8,3.93,31.13,0.07,,,,,,,
Olamide Zaccheaus,,0,WR,4100,ATL,vs WAS,15,22.75,6,5.6,8.2,0,0,0,0,0,0,0,0,0,3.52,0.093,3.52,2.2,31.87,0.22,0,0,0,0,0,0,6.71,6.71,0,0,18.71,6.71,6.71,0,100,,6,1.6,2.50,0.6,80,38,78,78,165,43,183,183,,,,,,,,0.07,0.07,,3.31,2.07,29.83,0.21,,,,,,,
Cameron Batson,,0,WR,3000,TEN,@ NYJ,10,24.75,2.5,3.2,2.3,0,0,0,0,0,0,0,0,0,3.43,0.1149,3.43,2.6,25.38,0.26,0,0,0,0,0,0,6.7,6.7,0,2.95,11.7,6.7,6.7,0,100,,22,2.2,7.20,2.4,57,49,79,79,126,54,184,184,,,,,,,,0.39,2,,1.61,1.22,11.28,0.11,,,,,,,
Harrison Bryant,,0,TE,2500,CLE,@ MIN,30,26.25,4.2,4.9,3.9,0,0,0,0,0,0,0,0,0,3.7,0.1035,3.7,2.47,25.58,0.26,0,0,0,0,0,0,6.59,6.59,0,0.29,14.99,6.59,6.59,0,100,,14,2.6,1.30,0.5,45,26,25,25,177,59,185,185,,,,,,,,,,,2.68,1.79,19.07,0.21,,,,,,,
Bengals,,0,DST,3300,CIN,vs JAC,31,19.5,4.9,2.8,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0.97,0.41,0,0.03,19.5,6.46,6.46,0,0,16.26,6.46,6.46,0,100,,13,2,1.00,0.3,11,9,8,8,180,51,186,186,,,,,,,,,,,,,,,2.13,0.88,0.33,0.11,0.02,22.81,373.25
Chester Rogers,,0,WR,3300,TEN,@ NYJ,10,24.75,5.1,0,7.3,0,0,0,0,0,0,0,0,0,4,0.1342,4,2.67,29.82,0.13,0,0,0,0,0,0,6.43,6.43,0,0,16.63,6.43,6.43,0,100,,9,1.9,11.30,3.4,36,46,80,80,87,51,187,187,,,,,,,,0.1,0.49,,3.6,2.4,25.41,0.1,,,,,,,
Demarcus Robinson,,0,WR,3800,KC,@ PHI,23,30.50,5.7,6.9,6.4,0,0,0,0,0,0,0,0,0,3.68,0.0894,3.68,2.31,26.65,0.24,0,0,0,0,0,0,6.42,6.42,0,0,17.82,6.42,6.42,0,100,,2,1.7,0.00,,93,41,81,81,187,46,188,188,,,,,,,,,,,3.28,2.06,24.6,0.21,,,,,,,
Juwan Johnson,,0,TE,2800,NO,vs NYG,32,24.75,4.2,1.6,6.8,0,0,0,0,0,0,0,0,0,3.73,0.126,3.73,1.95,23.82,0.33,0,0,0,0,0,0,6.31,6.31,0,0.01,14.71,6.31,6.31,0,100,,0,2.3,10.00,3.6,14,23,26,26,100,56,189,189,,,,,,,,,,,2.32,1.21,14.79,0.21,,,,,,,
J.J. Taylor,,0,RB,4300,NE,vs TB,3,21.00,4.5,2.1,1.4,0,0,0,0,0,0.147,3.82,13.37,0.18,7.02,0.1209,3.2,2.67,6.44,0.09,0,0,0,0,0,0,6.27,6.27,0,0,15.27,6.27,6.27,0,100,,0,1.5,0.00,,63,33,48,48,187,41,190,190,,,,,,,,4.2,14.7,0.2,0.6,0.5,1.2,,,,,,,,
Cardinals,,0,DST,2800,ARI,@ LAR,13,29,6.4,6.5,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0.78,0.9,0.03,0.15,29,6.23,6.23,0,0,19.03,6.23,6.23,0,100,,7,2.2,5.00,1.8,7,14,9,9,141,56,191,191,,,,,,,,,,,,,,,2.53,0.75,0.65,0.15,0.04,23.12,350.63
Quez Watkins,,0,WR,3500,PHI,vs KC,12,23.50,4.8,5.9,9.5,0,0,0,0,0,0,0,0,0,3.28,0.084,3.28,2.11,33.71,0.12,0,0,0,0,0,0,6.2,6.2,0,0,15.8,6.2,6.2,0,100,,32,1.8,6.30,1.8,62,44,82,82,133,49,192,192,,,,,,,,0.04,0.13,,3.65,2.35,37.26,0.13,,,,,,,
Packers,,0,DST,3300,GB,vs PIT,27,19.5,5.2,5.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0.75,0.55,0.03,0.06,19.5,6.2,6.2,0,0,16.6,6.2,6.2,0,100,,17,1.9,7.00,2.1,5,9,10,10,127,51,192,192,,,,,,,,,,,,,,,2.5,0.85,0.46,0.08,0.01,22.15,349.86
Chiefs,,0,DST,3200,KC,@ PHI,21,23.5,7,6.6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,1.01,0.33,0.03,0.28,23.5,6.14,6.14,0,0,20.14,6.14,6.14,0,100,,15,1.9,2.00,0.6,10,10,11,11,170,52,193,193,,,,,,,,,,,,,,,2.32,1.02,0.57,0.29,0.02,21.26,367.33
Rams,,0,DST,3600,LAR,vs ARI,14,25,6.2,8.9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81,0.83,0.38,0.03,0.13,25,6.07,6.07,0,0,18.47,6.07,6.07,0,100,,24,1.7,-1.00,,13,6,12,12,192,48,194,194,,,,,,,,,,,,,,,2.74,0.93,0.58,0.2,0.06,21.38,343.39
Latavius Murray,,0,RB,4700,BAL,@ DEN,25,21.50,8.1,9.3,7.1,0,0,0,0,0,0.308,9.36,38.22,0.36,9.36,0,0,0,0,0,0,0,0,0,0,0,5.98,5.98,0,0,22.18,5.98,5.98,0,100,,23,1.3,11.90,2.5,22,29,49,49,84,37,195,195,,,,,,,,11.38,46.47,0.44,2.08,1.66,11.43,0.03,,,,,,,
Maxx Williams,,0,TE,3000,ARI,@ LAR,4,25.00,4.1,4,7.1,0,0,0,0,0,0,0,0,0,3.24,0.1042,3.24,2.59,24.53,0.15,0,0,0,0,0,0,5.94,5.94,0,0,14.14,5.94,5.94,0,100,,7,2,17.60,5.9,6,21,27,27,56,54,196,196,,,,,,,,0.09,0.26,,2.39,1.91,18.56,0.11,,,,,,,
Damien Williams,,0,RB,4200,CHI,vs DET,23,22.25,9,0,3.5,0,0,0,0,0,0,0,0,0,3.41,0.093,3.41,2.56,19.93,0.23,0,0,0,0,0,0,5.93,5.93,0,0,23.93,5.93,5.93,0,100,,0,1.4,15.00,3.6,17,34,50,50,68,42,197,197,,,,,,,,5.05,21.63,0.26,2.72,2.04,15.93,0.2,,,,,,,
David Njoku,,0,TE,3100,CLE,@ MIN,30,26.25,5.8,4.9,7.2,0,0,0,0,0,0,0,0,0,3.57,0.1,3.57,2.22,25.57,0.19,0,0,0,0,0,0,5.92,5.92,0,0,17.52,5.92,5.92,0,100,,15,1.9,3.70,1.2,32,20,28,28,152,53,198,198,,,,,,,,0.03,0.03,,3.94,2.45,29.05,0.23,,,,,,,
Anthony Firkser,,0,TE,3100,TEN,@ NYJ,31,24.75,4.8,5.8,4.9,0,0,0,0,0,0,0,0,0,3.11,0.1044,3.11,2.32,26.32,0.16,0,0,0,0,0,0,5.91,5.91,0,0,15.51,5.91,5.91,0,100,,8,1.9,5.30,1.7,27,20,29,29,139,53,199,199,,,,,,,,,,,2.83,2.11,22.68,0.13,,,,,,,
Steelers,,0,DST,3100,PIT,@ GB,12,25.5,6.1,8.4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,0.64,0.4,0.03,0.24,25.5,5.87,5.87,0,0,18.07,5.87,5.87,0,100,,25,1.9,5.00,1.6,7,11,13,13,141,53,200,200,,,,,,,,,,,,,,,3.06,0.93,0.63,0.15,0.04,20.85,337.43
Broncos,,0,DST,3700,DEN,vs BAL,7,21.5,6.1,4.8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1.04,0.38,0,0.03,21.5,5.82,5.82,0,0,18.02,5.82,5.82,0,100,,20,1.6,3.00,0.8,9,5,14,14,160,47,201,201,,,,,,,,,,,,,,,2.51,0.77,0.54,0.15,0.01,20.32,329.11
Browns,,0,DST,3000,CLE,@ MIN,4,25.25,4.9,6.1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,0.61,0.47,0.05,0.08,25.25,5.82,5.82,0,0,15.62,5.82,5.82,0,100,,8,1.9,8.00,2.7,4,12,14,14,118,54,201,201,,,,,,,,,,,,,,,2.15,0.76,0.49,0.09,0.03,25.07,366.54
Jalen Guyton,,0,WR,3000,LAC,vs LV,26,27.25,5.1,6.1,4.1,0,0,0,0,0,0,0,0,0,3.24,0.071,3.24,1.84,28.37,0.19,0,0,0,0,0,0,5.82,5.82,0,0,16.02,5.82,5.82,0,100,,14,1.9,3.90,1.3,71,49,83,83,151,54,201,201,,,,,,,,0.27,1.03,,3.15,1.79,29.06,0.18,,,,,,,
Albert Okwuegbunam,,0,TE,2600,DEN,vs BAL,15,22.50,4.2,7.3,5.9,0,0,0,0,0,0,0,0,0,3.18,0.0912,3.18,2.47,24.51,0.14,0,0,0,0,0,0,5.76,5.76,0,0,14.16,5.76,5.76,0,100,,30,2.2,2.10,0.8,38,25,30,30,169,58,202,202,,,,,,,,,,,3.32,2.58,25.47,0.16,,,,,,,
Pat Freiermuth,,0,TE,3100,PIT,@ GB,24,19.50,4.5,0,7.4,0,0,0,0,0,0,0,0,0,3.08,0.0872,3.08,2.22,20.08,0.23,0,0,0,0,0,0,5.61,5.61,0,0,14.61,5.61,5.61,0,100,,54,1.8,2.10,0.7,38,20,31,31,169,53,203,203,,,,,,,,,,,5.32,3.84,32.58,0.42,,,,,,,
Dyami Brown,!,0,WR,3400,WAS,@ ATL,21,24.75,2.7,0,2.3,0,0,0,0,0,0,0,0,0,4.03,0.1007,4.03,1.93,25.84,0.18,0,0,0,0,0,0,5.59,5.59,0,1.54,10.99,5.59,5.59,0,100,,13,1.6,2.90,0.9,77,45,84,84,161,50,204,204,,,,,,,,0.11,-0.44,,2.78,1.33,18.33,,,,,,,,
Cameron Brate,,0,TE,2700,TB,@ NE,10,28.00,5.4,6.3,4.7,0,0,0,0,0,0,0,0,0,3.12,0.0759,3.12,2.04,20.68,0.24,0,0,0,0,0,0,5.55,5.55,0,0,16.35,5.55,5.55,0,100,,23,2.1,4.90,1.8,28,24,32,32,142,57,205,205,,,,,,,,,,,3.81,2.49,26.56,0.31,,,,,,,
Jonnu Smith,,0,TE,3500,NE,vs TB,20,21.00,5.4,9.5,6,0,0,0,0,0,0,0,0,0,2.99,0.1129,2.99,1.96,21.84,0.23,0,0,0,0,0,0,5.52,5.52,0,0,16.32,5.52,5.52,0,100,,10,1.6,10.40,3,13,16,33,33,97,49,206,206,,,,,,,,0.2,1.63,0.01,3.13,2.05,22.73,0.24,,,,,,,
Sony Michel,,0,RB,5200,LAR,vs ARI,26,29.00,8.1,9.8,5.2,0,0,0,0,0,0.3183,9.39,39.49,0.26,9.39,0,0,0,0,0,0,0,0,0,0,0,5.51,5.51,0,0,21.71,5.51,5.51,0,100,,19,1.1,0.10,0,62,24,51,51,186,32,207,207,,,,,,,,13.52,56.86,0.38,1.3,0.84,6.28,0.03,,,,,,,
Titans,,0,DST,3900,TEN,@ NYJ,32,19.75,5.4,4.4,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.71,0.26,0,0.07,19.75,5.46,5.46,0,0,16.26,5.46,5.46,0,100,,16,1.4,3.00,0.8,9,3,15,15,160,45,208,208,,,,,,,,,,,,,,,2.4,0.8,0.45,0.14,0.01,22.39,359.94
Jaguars,,0,DST,2200,JAC,@ CIN,29,26.5,6.7,3.4,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0.56,0.16,0,0.44,26.5,5.35,5.35,0,0,18.75,5.35,5.35,0,100,,0,2.4,1.00,0.5,11,20,16,16,180,62,209,209,,,,,,,,,,,,,,,2.29,0.72,0.43,0.21,0.02,23.96,355.68
Marquise Goodwin,,0,WR,3100,CHI,vs DET,30,22.25,7.1,0,3.4,0,0,0,0,0,0,0,0,0,3.41,0.093,3.41,1.74,28.17,0.13,0,0,0,0,0,0,5.34,5.34,0,0,19.54,5.34,5.34,0,100,,0,1.7,0.10,0,92,48,85,85,186,53,210,210,,,,,,,,0.17,1.02,,4.27,2.18,35.35,0.17,,,,,,,
C.J. Uzomah,,0,TE,2600,CIN,vs JAC,29,26.50,5.4,11.4,2.6,0,0,0,0,0,0,0,0,0,3.16,0.0885,3.16,2.24,21.25,0.16,0,0,0,0,0,0,5.33,5.33,0,0,16.13,5.33,5.33,0,100,,14,2.1,26.50,10.2,1,25,34,34,16,58,211,211,,,,,,,,,,,3.64,2.58,25.17,0.2,,,,,,,
Randall Cobb,,0,WR,3300,GB,vs PIT,9,25.50,7.5,10,3.3,0,0,0,0,0,0,0,0,0,3.11,0.1005,3.11,2.1,23.09,0.15,0,0,0,0,0,0,5.31,5.31,0,0,20.31,5.31,5.31,0,100,,32,1.6,23.90,7.2,7,46,86,86,22,51,212,212,0.03,0.01,0.1,,,,1.56,0.43,1.42,,6,4.06,46.54,0.32,,,,,,,
Vikings,,0,DST,2500,MIN,vs CLE,11,26.25,5.9,3.6,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0.76,0.21,0.03,0.16,26.25,5.22,5.22,0,0,17.02,5.22,5.22,0,100,,22,2.1,4.00,1.6,8,17,17,17,150,59,213,213,,,,,,,,,,,,,,,2.57,0.89,0.53,0.19,0.03,21.01,344.07
Chargers,,0,DST,2500,LAC,vs LV,9,24.25,5.5,4.7,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0.85,0.7,0.03,0.06,24.25,5.16,5.16,0,0,16.16,5.16,5.16,0,100,,11,2.1,7.00,2.8,5,17,18,18,127,59,214,214,,,,,,,,,,,,,,,2.16,0.84,0.48,0.16,0.02,23.18,347.05
Giants,,0,DST,2900,NYG,@ NO,3,24.75,6,6.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0.52,0.69,0,0.07,24.75,5.12,5.12,0,0,17.12,5.12,5.12,0,100,,2,1.8,2.00,0.7,10,13,19,19,170,55,215,215,,,,,,,,,,,,,,,1.98,0.84,0.5,0.17,0.03,23.93,371.39
Will Dissly,,0,TE,2600,SEA,@ SF,2,25.00,5.9,3.9,5.8,0,0,0,0,0,0,0,0,0,2.31,0.0725,2.31,1.84,19.91,0.21,0,0,0,0,0,0,5.09,5.09,0,0,16.89,5.09,5.09,0,100,,5,2,2.50,1,36,25,35,35,165,58,216,216,,,,,,,,0.03,0.18,,2.64,2.1,24.21,0.26,,,,,,,
Jordan Akins,,0,TE,2900,HOU,@ BUF,8,15.00,4.1,6.4,3.3,0,0,0,0,0,0,0,0,0,3.38,0.1266,3.38,2.38,23.37,0.06,0,0,0,0,0,0,5.08,5.08,0,0,13.28,5.08,5.08,0,100,,13,1.8,0.70,0.2,46,22,36,36,181,55,217,217,,,,,,,,0.04,0.13,,3,2.11,23.05,0.05,,,,,,,
Ravens,,0,DST,3400,BAL,@ DEN,20,22.5,7,8.2,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.64,0.5,0.06,0.11,22.5,5.06,5.06,0,0,19.06,5.06,5.06,0,100,,10,1.5,11.00,3.2,2,8,20,20,92,50,218,218,,,,,,,,,,,,,,,2.26,0.79,0.51,0.24,0.03,20.09,330.41
Tyler Kroft,,0,TE,2700,NYJ,vs TEN,7,19.75,5.4,7,3.5,0,0,0,0,0,0,0,0,0,3.05,0.097,3.05,2.01,18.81,0.19,0,0,0,0,0,0,5.03,5.03,0,0,15.83,5.03,5.03,0,100,,0,1.9,0.00,,47,24,37,37,187,57,219,219,,,,,,,,,,,2.67,1.76,17.81,0.22,,,,,,,
Tyler Johnson,,0,WR,3200,TB,@ NE,2,28.00,3.4,3.8,3.6,0,0,0,0,0,0,0,0,0,3.42,0.0834,3.42,2.22,23.15,0.08,0,0,0,0,0,0,5.02,5.02,0,0,11.82,5.02,5.02,0,100,,23,1.6,0.00,,93,47,87,87,187,52,220,220,,,,,,,,,,,2.93,1.9,20.86,0.07,,,,,,,
David Johnson,,0,RB,4500,HOU,@ BUF,12,15.00,10.4,15.5,6.5,0,0,0,0,0,0.156,3.13,12.65,0.12,5.1,0.0739,1.97,1.36,12.25,0.07,0,0,0,0,0,0,4.99,4.99,0,0,25.79,4.99,4.99,0,100,,33,1.1,7.80,1.7,34,31,52,52,120,39,221,221,,,,,,,,11.65,47.07,0.45,4.72,3.27,32.61,0.2,,,,,,,
Panthers,,0,DST,3400,CAR,@ DAL,8,27.75,6.3,6.1,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0.7,0.46,0,0.09,27.75,4.97,4.97,0,0,17.57,4.97,4.97,0,100,,13,1.5,-4.00,,14,8,21,21,193,50,222,222,,,,,,,,,,,,,,,2.62,0.86,0.64,0.15,0.03,23.36,349.6
Commanders,,0,DST,3500,WAS,@ ATL,25,22.75,5.1,7.8,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.65,0.24,0.03,0.09,22.75,4.88,4.88,0,0,15.08,4.88,4.88,0,100,,23,1.4,6.00,1.7,6,7,22,22,135,49,223,223,,,,,,,,,,,,,,,2.56,0.81,0.56,0.13,0.03,23.38,363.32
Chris Hogan,,0,WR,3000,NO,vs NYG,14,24.75,7.9,5.2,3.5,0,0,0,0,0,0,0,0,0,2.72,0.092,2.72,1.64,23.19,0.15,0,0,0,0,0,0,4.86,4.86,0,0,20.66,4.86,4.86,0,100,,0,1.6,3.50,1.2,73,49,88,88,155,54,224,224,0.01,0.01,0.05,,,,1.08,0.1,0.44,,4.29,2.58,36.52,0.25,,,,,,,
Demetric Felton,,0,RB,4300,CLE,@ MIN,31,26.25,3.8,0,5.5,0,0,0,0,0,0,0,0,0,2.35,0.0657,2.35,1.94,18.25,0.18,0,0,0,0,0,0,4.85,4.85,0,0,12.45,4.85,4.85,0,100,,5,1.1,3.20,0.7,45,33,53,53,158,41,225,225,,,,,,,,0.62,1.54,,1.77,1.46,14.15,0.15,,,,,,,
Russell Gage,!,0,WR,4300,ATL,vs WAS,15,22.75,7.6,11.5,3.9,0,0,0,0,0,0,0,0,0,2.99,0.079,2.99,2.03,21.45,0.09,0,0,0,0,0,0,4.72,4.72,0,0,19.92,4.72,4.72,0,100,,21,1.1,0.00,,93,36,89,89,187,41,226,226,0.04,0.02,0.78,,,0.02,3.96,0.12,0.42,,5.9,4,42.12,0.18,,,,,,,
Chris Evans,,0,RB,4000,CIN,vs JAC,28,26.50,5.3,0,3.5,0,0,0,0,0,0,0,0,0,2.11,0.059,2.11,1.78,16.66,0.21,0,0,0,0,0,0,4.71,4.71,0,0,15.31,4.71,4.71,0,100,,0,1.2,0.00,,63,36,54,54,187,44,227,227,,,,,,,,1.58,7.5,,1.58,1.33,12.83,0.17,,,,,,,
Hunter Henry,,0,TE,3700,NE,vs TB,20,21.00,6.2,10.4,7,0,0,0,0,0,0,0,0,0,2.36,0.0892,2.36,1.6,19.23,0.19,0,0,0,0,0,0,4.66,4.66,0,0,17.06,4.66,4.66,0,100,,40,1.3,13.20,3.6,10,14,38,38,75,47,228,228,,,,,,,,,,,5.18,3.51,41.96,0.42,,,,,,,
Salvon Ahmed,,0,RB,4000,MIA,vs IND,11,22.00,6.3,12,3.3,0,0,0,0,0,0.157,3.97,14.4,0.09,5.94,0.0575,1.97,1.37,9.89,0.05,0,0,0,0,0,0,4.64,4.64,0,0,17.24,4.64,4.64,0,100,,3,1.2,3.30,0.8,44,36,55,55,157,44,229,229,,,,,,,,7.59,27.53,0.18,1.94,1.35,10.47,,,,,,,,
Kendrick Bourne,,0,WR,4000,NE,vs TB,22,21.00,6,8.6,9.6,0,0,0,0,0,0,0,0,0,2.36,0.0892,2.36,1.58,21.39,0.14,0,0,0,0,0,0,4.56,4.56,0,0,16.56,4.56,4.56,0,100,,24,1.1,10.80,2.7,39,39,90,90,94,44,230,230,0.01,0.01,0.32,,,0.01,2,0.16,1.76,,3.92,2.63,35.33,0.24,,,,,,,
Amon-Ra St. Brown,,0,WR,3200,DET,@ CHI,25,19.25,11.7,0,3.4,0,0,0,0,0,0,0,0,0,2.49,0.0772,2.49,1.86,19.02,0.13,0,0,0,0,0,0,4.54,4.54,0,0,27.94,4.54,4.54,0,100,,29,1.4,13.00,4.1,30,47,91,91,78,52,231,231,,,,,,,,0.5,7.17,0.06,7.94,5.94,60.67,0.44,,,,,,,
Jamison Crowder,,0,WR,4600,NYJ,vs TEN,32,19.75,7.6,15.1,0,0,0,0,0,0,0,0,0,0,2.88,0.0916,2.88,1.93,20,0.1,0,0,0,0,0,0,4.53,4.53,0,0,19.73,4.53,4.53,0,100,,32,1,19.10,4.2,16,33,92,92,46,38,232,232,0.03,0.01,0.43,,0.01,0.01,2.4,0.17,0.83,,6.28,4.2,47.14,0.28,,,,,,,
49ers,,0,DST,3100,SF,vs SEA,17,25,5.6,5.3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0.52,0.24,0,0.19,25,4.52,4.52,0,0,15.72,4.52,4.52,0,100,,5,1.5,2.00,0.6,10,11,23,23,170,53,233,233,,,,,,,,,,,,,,,2.31,0.61,0.55,0.11,0.02,23.67,343.04
Lions,,0,DST,2200,DET,@ CHI,19,22.25,5.3,2.2,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0.43,0.54,0.03,0.03,22.25,4.49,4.49,0,0,15.09,4.49,4.49,0,100,,0,2,3.00,1.4,9,20,24,24,160,62,234,234,,,,,,,,,,,,,,,1.99,0.59,0.48,0.15,0.05,25.09,371.78
Seahawks,,0,DST,2400,SEA,@ SF,10,27,5,6.2,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0.39,0.54,0.08,0,27,4.47,4.47,0,0,14.47,4.47,4.47,0,100,,32,1.9,6.00,2.5,6,18,25,25,135,60,235,235,,,,,,,,,,,,,,,2.38,0.76,0.61,0.15,0.06,20.89,352.66
Diontae Spencer,!,0,WR,3000,DEN,vs BAL,18,22.50,1.3,0.7,0.2,0,0,0,0,0,0,0,0,0,3.97,0.1139,3.97,2.22,11.96,0.17,0,0,0,0,0,0,4.44,4.44,0,2.49,7.04,4.44,4.44,0,100,,0,1.5,0.00,,93,49,93,93,187,54,236,236,,,,,,,,0.4,1.67,,1.2,0.67,3.6,,,,,,,,
Geoff Swaim,,0,TE,2600,TEN,@ NYJ,31,24.75,3.6,3.5,2.9,0,0,0,0,0,0,0,0,0,2.55,0.0854,2.55,2.01,16.53,0.13,0,0,0,0,0,0,4.44,4.44,0,0,11.64,4.44,4.44,0,100,,12,1.7,0.00,,47,25,39,39,187,58,236,236,,,,,,,,,,,2.49,1.96,15.28,0.11,,,,,,,
James Washington,,0,WR,4100,PIT,@ GB,13,19.50,5.8,6.6,2.7,0,0,0,0,0,0,0,0,0,2.65,0.075,2.65,1.42,21.62,0.14,0,0,0,0,0,0,4.42,4.42,0,0,16.02,4.42,4.42,0,100,,6,1.1,10.90,2.7,38,38,94,94,93,43,237,237,,,,,,,,0.03,0.22,,3.78,2.02,28.97,0.2,,,,,,,
Hayden Hurst,,0,TE,2600,ATL,vs WAS,6,22.75,4.8,9.3,2.8,0,0,0,0,0,0,0,0,0,2.46,0.065,2.46,1.7,17.48,0.16,0,0,0,0,0,0,4.41,4.41,0,0,14.01,4.41,4.41,0,100,,24,1.7,6.90,2.7,24,25,40,40,128,58,238,238,,,,,,,,0.02,,,3.54,2.44,25.04,0.23,,,,,,,
Patriots,,0,DST,2900,NE,vs TB,2,28,7.1,6.5,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,1.24,0.11,0,0.11,28,4.35,4.35,0,0,18.55,4.35,4.35,0,100,,17,1.5,2.00,0.7,10,13,26,26,170,55,239,239,,,,,,,,,,,,,,,2.34,1.02,0.48,0.17,0.06,18.21,336.3
Ryan Griffin,,0,TE,2500,NYJ,vs TEN,7,19.75,5.2,2.2,3.2,0,0,0,0,0,0,0,0,0,3.05,0.097,3.05,1.91,18.2,0.1,0,0,0,0,0,0,4.33,4.33,0,0,14.73,4.33,4.33,0,100,,5,1.7,1.80,0.7,41,26,41,41,172,59,240,240,,,,,,,,,,,3.6,2.26,23.23,0.15,,,,,,,
DeSean Jackson,,0,WR,3800,LAR,vs ARI,6,29.00,8.4,9,14.1,0,0,0,0,0,0,0,0,0,2.34,0.0666,2.34,1.34,22.15,0.12,0,0,0,0,0,0,4.28,4.28,0,0,21.08,4.28,4.28,0,100,,21,1.1,1.60,0.4,86,41,95,95,174,46,241,241,,,,,,,,0.15,1.14,0.01,5.34,3.05,52.97,0.27,,,,,,,
Tevin Coleman,,0,RB,4400,NYJ,vs TEN,22,19.75,7.8,2.1,2.4,0,0,0,0,0,0.247,6.91,29.48,0.22,6.91,0,0,0,0,0,0,0,0,0,0,0,4.27,4.27,0,0,19.87,4.27,4.27,0,100,,18,1,5.10,1.2,40,32,56,56,140,40,242,242,,,,,,,,9.11,38.87,0.29,2.1,1.48,14.63,0.14,,,,,,,
Trent Sherfield,,0,WR,3200,SF,vs SEA,1,27.00,3.7,1.1,6.1,0,0,0,0,0,0,0,0,0,3.17,0.0779,3.17,1.72,18.81,0.09,0,0,0,0,0,0,4.14,4.14,0,0,11.54,4.14,4.14,0,100,,0,1.3,0.00,,93,47,96,96,187,52,243,243,,,,,,,,,,,2.64,1.43,15.86,0.07,,,,,,,
Eagles,,0,DST,2100,PHI,vs KC,5,30.5,6.6,6.4,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0.22,0.45,0.03,0.23,30.5,4.14,4.14,0,0,17.34,4.14,4.14,0,100,,13,2,-1.00,,13,21,27,27,192,63,243,243,,,,,,,,,,,,,,,2.38,0.81,0.54,0.25,0.02,22.14,354.38
A.J. Dillon,,0,RB,4300,GB,vs PIT,6,25.50,7.9,4.5,3.9,0,0,0,0,0,0.244,6.49,28.57,0.21,6.49,0,0,0,0,0,0,0,0,0,0,0,4.12,4.12,0,0,19.92,4.12,4.12,0,100,,10,1,10.70,2.5,24,33,57,57,95,41,244,244,,,,,,,,8.94,39.35,0.29,1.58,1.39,12.87,0.06,,,,,,,
Jets,,0,DST,2000,NYJ,vs TEN,6,24.75,5.3,3.9,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.32,0.62,0.03,0.03,24.75,4.12,4.12,0,0,14.72,4.12,4.12,0,100,,2,2.1,7.00,3.5,5,22,28,28,127,64,244,244,,,,,,,,,,,,,,,2.03,0.7,0.51,0.13,0.03,24.77,362.73
Justin Jackson,,0,RB,4000,LAC,vs LV,32,27.25,6.8,8.2,1.9,0,0,0,0,0,0.1371,3.78,19.12,0.07,4.89,0.0244,1.11,0.91,6.66,0.03,0,0,0,0,0,0,4.09,4.09,0,0,17.69,4.09,4.09,0,100,,0,1,5.30,1.3,39,36,58,58,139,44,245,245,,,,,,,,5.59,28.27,0.11,2.22,1.81,14.03,,,,,,,,
