,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Actual Data,,Position Rankings,,,,Overall Rankings,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Tyler Lockett,,0,WR,6200,SEA,vs NO,29,18.25,10,16.3,15.6,0,0,0,0,0,0,0,0,0,7.47,0.2726,7.47,5.33,66.02,0.42,0,0,0,0,0,0,14.45,14.45,0,0,34.45,14.45,14.45,0,100,,24,2.3,3.20,0.5,60,13,22,22,143,20,59,59,,,,,,,,0.34,2.25,0.01,5.75,4.1,56.55,0.4,,,,,,,
Mark Andrews,,0,TE,6000,BAL,vs CIN,8,26.00,9.1,11.6,18.1,0,0,0,0,0,0,0,0,0,7.32,0.2679,7.32,4.91,60.18,0.56,0,0,0,0,0,0,14.29,14.29,0,0.64,32.49,14.29,14.29,0,100,,31,2.4,7.80,1.3,18,3,2,2,103,22,60,60,,,,,,,,0.03,0.04,,6.51,4.37,55.94,0.47,,,,,,,
Jakobi Meyers,,0,WR,5300,NE,vs NYJ,2,24.75,6.2,12.5,12.4,0,0,0,0,0,0,0,0,0,9.72,0.3028,9.72,6.58,72.54,0.06,0,0,0,0,0,0,14.19,14.19,0,4.89,26.59,14.19,14.19,0,100,,40,2.7,9.40,1.8,36,22,23,23,95,29,61,61,0.1,0.1,2.1,,,0.05,10.37,0.1,0.6,,6.57,4.45,51.07,0.05,,,,,,,
Miles Sanders,,0,RB,5100,PHI,@ LV,25,23.50,7.7,14.9,9.9,0,0,0,0,0,0.41,10.11,51.4,0.19,15.85,0.15,5.74,4.07,31.81,0.11,0,0,0,0,0,0,14.19,14.19,0,2.64,29.59,14.19,14.19,0,100,,41,2.8,3.70,0.7,44,23,16,16,137,31,61,61,,,,,,,,12.07,61.36,0.23,3.68,2.61,20.43,0.07,,,,,,,
Josh Jacobs,,0,RB,6200,LV,vs PHI,21,24.50,7.2,15.9,14.9,0,0,0,0,0,0.5713,15.55,66.18,0.56,18.28,0.075,2.73,2.16,14.78,0.07,0,0,0,0,0,0,14.04,14.04,0,3.24,28.44,14.04,14.04,0,100,,54,2.3,15.80,2.5,15,12,17,17,50,20,62,62,,,,,,,,16.83,71.63,0.61,3.11,2.46,17.91,,,,,,,,
Robert Woods,,0,WR,6400,LAR,vs DET,25,33.75,8.3,15.5,14.5,0,0,0,0,0,0,0,0,0,8.55,0.224,8.55,5.59,66.03,0.3,0,0,0,0,0,0,13.99,13.99,0,1.54,30.59,13.99,13.99,0,100,,40,2.2,15.00,2.3,19,11,24,24,55,18,63,63,,,,,,,,0.75,4.84,0.05,7.54,4.93,60.71,0.27,,,,,,,
Mike Davis,,0,RB,5200,ATL,@ MIA,19,24.25,7.2,14.8,11.6,0,0,0,0,0,0.534,13.53,49.74,0.34,18.42,0.123,4.89,3.88,24.84,0.1,0,0,0,0,0,0,13.98,13.98,0,3.18,28.38,13.98,13.98,0,100,,14,2.7,1.00,0.2,57,22,18,18,167,30,64,64,,,,,,,,7.87,28.93,0.2,3.04,2.41,15.27,0.06,,,,,,,
Devontae Booker,,0,RB,5500,NYG,vs CAR,10,20.00,5.4,5.7,7.7,0,0,0,0,0,0.8019,16.6,66.71,0.34,20.17,0.1161,3.57,2.76,20.22,0.03,0,0,0,0,0,0,13.67,13.67,0,5.57,24.47,13.67,13.67,0,100,,22,2.5,14.60,2.7,18,19,19,19,58,27,65,65,,,,,,,,6.43,25.84,0.13,2.56,1.98,14.93,0.02,,,,,,,
Darnell Mooney,,0,WR,4600,CHI,@ TB,22,17.50,7,9.5,10.9,0,0,0,0,0,0,0,0,0,9.25,0.299,9.25,5.48,64.14,0.28,0,0,0,0,0,0,13.57,13.57,0,3.07,27.57,13.57,13.57,0,100,,36,3,5.90,1.3,45,29,25,25,119,36,66,66,,,,,,,,0.29,1.49,0.03,6.94,4.11,48.29,0.23,,,,,,,
Tyler Boyd,,0,WR,4700,CIN,@ BAL,6,20.00,8.1,13.2,11,0,0,0,0,0,0,0,0,0,8.01,0.2513,8.01,5.45,60.12,0.32,0,0,0,0,0,0,13.38,13.38,0,1.23,29.58,13.38,13.38,0,100,,31,2.8,7.90,1.7,40,28,26,26,102,35,67,67,0.04,0.02,0.67,,,,3,0.19,1.7,,6.47,4.4,50.87,0.28,,,,,,,
Mike Gesicki,,0,TE,4700,MIA,vs ATL,11,23.25,7.1,10.8,12.2,0,0,0,0,0,0,0,0,0,8.31,0.249,8.31,5.25,59.21,0.36,0,0,0,0,0,0,13.33,13.33,0,2.68,27.53,13.33,13.33,0,100,,14,2.8,21.50,4.6,3,9,3,3,27,35,68,68,0.02,,,,,,0.63,,,,5.13,3.24,36.46,0.22,,,,,,,
Mecole Hardman,,0,WR,4300,KC,@ TEN,32,31.50,5.5,8.2,10.1,0,0,0,0,0,0,0,0,0,6.58,0.1649,6.58,4.53,60.12,0.46,0,0,0,0,0,0,13.3,13.3,0,5.05,24.3,13.3,13.3,0,100,,33,3.1,5.80,1.3,46,32,27,27,120,39,69,69,,,,,,,,0.45,3.33,0.02,3.76,2.59,35.66,0.26,,,,,,,
Case Keenum,,0,QB,5000,CLE,vs DEN,8,20.50,8.1,1.8,0.1,1,26.06,190.32,1.16,0.57,0.0861,2.47,7.01,0.1,2.47,0,0,0,0,0,0,0,0,0,0,0,12.98,12.98,0,0.83,29.18,12.98,12.98,0,100,,38,2.6,12.66,2.5,18,20,25,25,71,32,70,70,29.45,18.73,203.11,0.64,1.64,1.06,83.18,1.92,5.45,0.08,,,,,,,,,,,
Noah Fant,,0,TE,5000,DEN,@ CLE,10,19.50,6.3,10.7,12.6,0,0,0,0,0,0,0,0,0,7.91,0.2331,7.91,5.44,58.02,0.29,0,0,0,0,0,0,12.98,12.98,0,3.53,25.58,12.98,12.98,0,100,,30,2.6,8.90,1.8,17,7,4,4,98,32,70,70,,,,,,,,0.06,-0.25,,5.31,3.65,40.25,0.21,,,,,,,
Allen Robinson,,0,WR,5100,CHI,@ TB,22,17.50,9.2,16.8,8.4,0,0,0,0,0,0,0,0,0,7.94,0.2566,7.94,4.68,61.01,0.36,0,0,0,0,0,0,12.94,12.94,0,0,31.34,12.94,12.94,0,100,,37,2.5,3.60,0.7,58,24,28,28,139,31,71,71,,,,,,,,0.03,0.11,,8.45,4.98,65.15,0.43,,,,,,,
Marquise Brown,,0,WR,5800,BAL,vs CIN,11,26.00,7.9,12.3,19.5,0,0,0,0,0,0,0,0,0,7.32,0.2679,7.32,4.54,54.5,0.48,0,0,0,0,0,0,12.87,12.87,0,1.02,28.67,12.87,12.87,0,100,,39,2.2,19.00,3.3,11,17,29,29,35,24,72,72,,,,,,,,0.08,0.49,,7.04,4.37,54.78,0.43,,,,,,,
Corey Davis,,0,WR,5200,NYJ,@ NE,8,17.75,8.3,13.8,14.2,0,0,0,0,0,0,0,0,0,8.02,0.2445,8.02,4.84,62.67,0.28,0,0,0,0,0,0,12.79,12.79,0,0.34,29.39,12.79,12.79,0,100,,22,2.5,14.70,2.8,20,23,30,30,57,30,73,73,,,,,,,,0.08,0.76,,6.01,3.63,50.82,0.26,,,,,,,
Melvin Gordon,,0,RB,5200,DEN,@ CLE,5,19.50,9,13.9,12.2,0,0,0,0,0,0.4691,11.87,49.02,0.42,15.19,0.0979,3.32,2.48,18.88,0.11,0,0,0,0,0,0,12.45,12.45,0,0,30.45,12.45,12.45,0,100,,42,2.4,11.20,2.2,25,22,20,20,81,30,74,74,,,,,,,,14.82,61.2,0.53,3.78,2.82,22.21,0.14,,,,,,,
Christian Kirk,,0,WR,5300,ARI,vs HOU,18,33.75,7.7,10.7,14,0,0,0,0,0,0,0,0,0,6.88,0.1667,6.88,4.53,55.22,0.35,0,0,0,0,0,0,12.15,12.15,0,0.6,27.55,12.15,12.15,0,100,,36,2.3,15.00,2.8,19,22,31,31,55,29,75,75,0.02,0.02,0.56,,,,2.01,0.27,2.41,,6.54,4.31,53.36,0.32,,,,,,,
Davis Mills,,0,QB,4900,HOU,@ ARI,11,13.75,9,0,10.7,1,27.3,198.92,1.07,0.58,0.0522,1.1,2.19,0.04,1.1,0,0,0,0,0,0,0,0,0,0,0,12.12,12.12,0,0,30.12,12.12,12.12,0,100,,34,2.5,4.40,0.9,24,21,26,26,132,33,76,76,31.27,20.33,205.4,0.67,2.47,1.2,86.76,1.47,2.93,,,,,,,,,,,,
Kyle Pitts,,0,TE,5900,ATL,@ MIA,9,24.25,7.1,0,12.8,0,0,0,0,0,0,0,0,0,7.76,0.195,7.76,4.59,67.49,0.12,0,0,0,0,0,0,12.06,12.06,0,1.41,26.26,12.06,12.06,0,100,,30,2,26.30,4.5,1,4,5,5,14,23,77,77,,,,,,,,,,,6.25,3.7,53.75,0.1,,,,,,,
T.J. Hockenson,,0,TE,5100,DET,@ LAR,26,16.75,6.5,11,12.9,0,0,0,0,0,0,0,0,0,7.53,0.2308,7.53,4.88,50.56,0.34,0,0,0,0,0,0,11.98,11.98,0,2.23,24.98,11.98,11.98,0,100,,35,2.3,10.80,2.1,11,6,6,6,84,31,78,78,,,,,,,,0.02,,,6.14,3.98,41.36,0.29,,,,,,,
A.J. Green,,0,WR,5100,ARI,vs HOU,18,33.75,10,7,12.7,0,0,0,0,0,0,0,0,0,6.88,0.1667,6.88,3.94,55.6,0.36,0,0,0,0,0,0,11.66,11.66,0,0,31.66,11.66,11.66,0,100,,26,2.3,9.60,1.9,35,24,32,32,94,31,79,79,,,,,,,,,,,7.7,4.41,63.26,0.39,,,,,,,
Michael Carter,,0,RB,4800,NYJ,@ NE,28,17.75,7.5,0,8.8,0,0,0,0,0,0.603,13.08,57.59,0.32,16.01,0.0892,2.93,2.04,15.4,0.06,0,0,0,0,0,0,11.62,11.62,0,0.37,26.62,11.62,11.62,0,100,,35,2.4,17.40,3.6,10,26,21,21,41,34,80,80,,,,,,,,10.25,45.13,0.25,4.31,3,24.5,,,,,,,,
Javonte Williams,,0,RB,5100,DEN,@ CLE,5,19.50,6.9,0,9.7,0,0,0,0,0,0.4387,11.1,50.38,0.2,14.42,0.0979,3.32,2.64,18.21,0.14,0,0,0,0,0,0,11.54,11.54,0,1.19,25.34,11.54,11.54,0,100,,46,2.3,17.20,3.4,11,23,22,22,42,31,81,81,,,,,,,,11.84,53.74,0.21,3.63,2.89,20.58,0.16,,,,,,,
Alex Collins,!,0,RB,5300,SEA,vs NO,11,18.25,6.3,8.9,9.6,0,0,0,0,0,0.7594,15.83,65.43,0.56,17.07,0.0454,1.24,0.91,6.59,0.01,0,0,0,0,0,0,11.53,11.53,0,2.08,24.13,11.53,11.53,0,100,,28,2.2,5.40,1,38,21,23,23,124,29,82,82,,,,,,,,9.96,41.17,0.35,1.73,1.27,10.23,0.02,,,,,,,
Rashod Bateman,,0,WR,3400,BAL,vs CIN,11,26.00,6.5,0,6.9,0,0,0,0,0,0,0,0,0,6.64,0.2432,6.64,4.37,54.87,0.27,0,0,0,0,0,0,11.48,11.48,0,1.73,24.48,11.48,11.48,0,100,,37,3.4,11.00,3.2,32,41,33,33,83,48,83,83,,,,,,,,,,,5.64,3.71,48.71,0.21,,,,,,,
Tim Patrick,,0,WR,4900,DEN,@ CLE,13,19.50,6.2,11.3,12.9,0,0,0,0,0,0,0,0,0,6.69,0.197,6.69,4.05,55.07,0.31,0,0,0,0,0,0,11.42,11.42,0,2.12,23.82,11.42,11.42,0,100,,30,2.3,3.60,0.7,58,26,34,34,139,33,84,84,,,,,,,,0.06,0.35,,4.92,2.98,41.85,0.25,,,,,,,
Kalif Raymond,,0,WR,4700,DET,@ LAR,3,16.75,6.5,1.9,9.1,0,0,0,0,0,0,0,0,0,5.95,0.1826,5.95,3.85,55.89,0.32,0,0,0,0,0,0,11.36,11.36,0,1.61,24.36,11.36,11.36,0,100,,0,2.4,20.60,4.4,9,28,35,35,30,35,85,85,,,,,,,,0.19,0.51,,2.84,1.84,26.76,0.16,,,,,,,
J.D. McKissic,,0,RB,5000,WAS,@ GB,6,20.00,6.3,11.9,10.8,0,0,0,0,0,0.187,4.67,20.46,0.1,10.3,0.1628,5.63,4.29,32.07,0.17,0,0,0,0,0,0,11.16,11.16,0,1.71,23.76,11.16,11.16,0,100,,27,2.2,9.60,1.9,29,24,24,24,94,32,86,86,,,,,,,,3.63,15.9,0.08,4.29,3.27,25.16,0.13,,,,,,,
Foster Moreau,,0,TE,2500,LV,vs PHI,12,24.50,4.6,4.1,5.1,0,0,0,0,0,0,0,0,0,5.07,0.1393,5.07,3.64,40.16,0.54,0,0,0,0,0,0,10.9,10.9,0,4,20.1,10.9,10.9,0,100,,23,4.4,18.00,7.2,4,27,7,7,37,57,87,87,,,,,,,,,,,2.66,1.91,22.41,0.31,,,,,,,
Amon-Ra St. Brown,,0,WR,4100,DET,@ LAR,3,16.75,11.7,0,7.7,0,0,0,0,0,0,0,0,0,5.95,0.1826,5.95,4.45,45.32,0.31,0,0,0,0,0,0,10.84,10.84,0,0,34.24,10.84,10.84,0,100,,29,2.6,0.00,,75,34,36,36,175,41,88,88,,,,,,,,0.5,7.17,0.06,7.94,5.94,60.67,0.44,,,,,,,
Zach Ertz,,0,TE,3900,ARI,vs HOU,27,33.75,8.6,7,8.2,0,0,0,0,0,0,0,0,0,6.48,0.1569,6.48,4.39,45.22,0.28,0,0,0,0,0,0,10.59,10.59,0,0,27.79,10.59,10.59,0,100,,34,2.7,16.00,4.1,6,13,8,8,49,43,89,89,,,,,,,,0.01,0.04,,7.77,5.26,55.12,0.32,,,,,,,
Kenneth Gainwell,,0,RB,4200,PHI,@ LV,25,23.50,6.9,0,8.6,0,0,0,0,0,0.14,3.45,14.71,0.28,8.69,0.137,5.24,3.53,27.88,0.18,0,0,0,0,0,0,10.55,10.55,0,0.2,24.35,10.55,10.55,0,100,,16,2.5,15.10,3.6,17,32,25,25,54,40,90,90,,,,,,,,4,17.05,0.32,3.21,2.16,17.11,0.11,,,,,,,
Marquez Callaway,,0,WR,5200,NO,@ SEA,16,23.25,6.2,4.2,10.6,0,0,0,0,0,0,0,0,0,6.23,0.2154,6.23,3.69,51.08,0.29,0,0,0,0,0,0,10.54,10.54,0,1.24,22.94,10.54,10.54,0,100,,24,2,6.20,1.2,44,23,37,37,115,30,91,91,,,,,,,,,,,4.71,2.79,37.96,0.25,,,,,,,
James Conner,,0,RB,5600,ARI,vs HOU,32,33.75,10.9,13.8,10.9,0,0,0,0,0,0.4554,14.59,59.76,0.75,14.59,0,0,0,0,0,0,0,0,0,0,0,10.48,10.48,0,0,32.28,10.48,10.48,0,100,,22,1.9,12.40,2.2,23,18,26,26,73,26,92,92,,,,,,,,11.23,46,0.58,3.1,2.59,21.38,0.1,,,,,,,
Hunter Henry,,0,TE,4100,NE,vs NYJ,29,24.75,6.2,10.4,10.7,0,0,0,0,0,0,0,0,0,5.43,0.1693,5.43,3.68,42.23,0.41,0,0,0,0,0,0,10.36,10.36,0,1.06,22.76,10.36,10.36,0,100,,40,2.5,10.30,2.5,14,12,9,9,88,41,93,93,,,,,,,,,,,5.18,3.51,41.96,0.42,,,,,,,
Ross Dwelley,,0,TE,3000,SF,vs IND,28,22.25,3.9,4.1,6.8,0,0,0,0,0,0,0,0,0,4.83,0.1343,4.83,3.64,38.81,0.47,0,0,0,0,0,0,10.34,10.34,0,4.49,18.14,10.34,10.34,0,100,,24,3.4,1.50,0.5,39,22,10,10,163,52,94,94,,,,,,,,,,,2.43,1.83,19.57,0.22,,,,,,,
Robert Tonyan,,0,TE,3500,GB,vs WAS,6,28.00,6.7,11.7,4.4,0,0,0,0,0,0,0,0,0,4.43,0.1361,4.43,3.48,37.88,0.51,0,0,0,0,0,0,10.33,10.33,0,0.28,23.73,10.33,10.33,0,100,,9,3,16.30,4.7,5,17,11,11,48,47,95,95,,,,,,,,,,,3.02,2.37,26.73,0.39,,,,,,,
Bryan Edwards,,0,WR,4100,LV,vs PHI,4,24.50,4.9,4,7.6,0,0,0,0,0,0,0,0,0,5.76,0.1583,5.76,3.41,52.74,0.25,0,0,0,0,0,0,10.18,10.18,0,2.83,19.98,10.18,10.18,0,100,,11,2.5,13.30,3.2,22,34,38,38,64,41,96,96,,,,,,,,0.04,,,2.96,1.75,28.82,0.14,,,,,,,
Zach Pascal,,0,WR,4300,IND,@ SF,7,19.25,6.8,8.8,9.4,0,0,0,0,0,0,0,0,0,6,0.1853,6,3.5,41.53,0.37,0,0,0,0,0,0,9.87,9.87,0,0,23.47,9.87,9.87,0,100,,9,2.3,4.40,1,52,32,39,39,132,39,97,97,0.03,,,,,,0.67,0.11,0.98,,4.37,2.55,31.6,0.26,,,,,,,
Tee Higgins,,0,WR,4900,CIN,@ BAL,6,20.00,9.4,13.4,12.6,0,0,0,0,0,0,0,0,0,5.33,0.1672,5.33,3.44,47.26,0.28,0,0,0,0,0,0,9.85,9.85,0,0,28.65,9.85,9.85,0,100,,37,2,13.20,2.7,23,26,40,40,65,33,98,98,,,,,,,,0.14,0.8,,7.4,4.77,68.74,0.43,,,,,,,
Quez Watkins,,0,WR,3900,PHI,@ LV,12,23.50,4.8,5.9,8.7,0,0,0,0,0,0,0,0,0,5.24,0.137,5.24,3.37,53.4,0.19,0,0,0,0,0,0,9.85,9.85,0,2.65,19.45,9.85,9.85,0,100,,32,2.5,5.70,1.5,47,36,40,40,121,43,98,98,,,,,,,,0.04,0.13,,3.65,2.35,37.26,0.13,,,,,,,
Kenyan Drake,,0,RB,4900,LV,vs PHI,21,24.50,8.9,13.3,9,0,0,0,0,0,0.2552,6.95,30.69,0.26,10.66,0.102,3.71,2.73,19.86,0.08,0,0,0,0,0,0,9.83,9.83,0,0,27.63,9.83,9.83,0,100,,18,2,16.90,3.4,13,25,27,27,44,33,99,99,,,,,,,,8.91,39.34,0.33,3.13,2.3,17.82,0.08,,,,,,,
Tre'Quan Smith,!,0,WR,3800,NO,@ SEA,16,23.25,7.5,9,0,0,0,0,0,0,0,0,0,0,4.53,0.1567,4.53,3.01,41.79,0.43,0,0,0,0,0,0,9.77,9.77,0,0,24.77,9.77,9.77,0,100,,5,2.6,2.10,0.6,63,37,41,41,155,44,100,100,,,,,,,,0.04,0.16,,3.52,2.34,31.92,0.38,,,,,,,
Evan Engram,,0,TE,3600,NYG,vs CAR,20,20.00,6.4,9.1,6.4,0,0,0,0,0,0,0,0,0,6.74,0.2188,6.74,4.17,43.08,0.21,0,0,0,0,0,0,9.74,9.74,0,0.14,22.54,9.74,9.74,0,100,,37,2.7,10.40,2.9,13,16,12,12,87,46,101,101,,,,,,,,0.21,1.19,0.01,6.58,4.07,43.31,0.24,,,,,,,
Damien Williams,,0,RB,5500,CHI,@ TB,2,17.50,9,0,8.4,0,0,0,0,0,0.2968,6.68,28.61,0.34,9.44,0.0891,2.76,2.07,16.1,0.18,0,0,0,0,0,0,9.66,9.66,0,0,27.66,9.66,9.66,0,100,,0,1.8,1.80,0.3,52,19,28,28,159,27,102,102,,,,,,,,5.05,21.63,0.26,2.72,2.04,15.93,0.2,,,,,,,
Jalen Reagor,,0,WR,3800,PHI,@ LV,12,23.50,4.1,7.4,6.4,0,0,0,0,0,0,0,0,0,7.15,0.187,7.15,4.06,43.28,0.18,0,0,0,0,0,0,9.47,9.47,0,3.32,17.67,9.47,9.47,0,100,,24,2.5,10.50,2.8,33,37,42,42,86,44,103,103,,,,,,,,0.5,2.5,,3.87,2.2,23.47,0.1,,,,,,,
Rondale Moore,,0,WR,4400,ARI,vs HOU,18,33.75,6.6,0,11.3,0,0,0,0,0,0,0,0,0,6.07,0.147,6.07,4.97,38.73,0.09,0,0,0,0,0,0,9.38,9.38,0,0,22.58,9.38,9.38,0,100,,19,2.1,3.70,0.8,57,31,43,43,137,38,104,104,,,,,,,,1.2,5.07,,4.8,3.93,31.13,0.07,,,,,,,
Nyheim Hines,,0,RB,4200,IND,@ SF,16,19.25,6.1,12,7.2,0,0,0,0,0,0.174,4.61,19.85,0.14,9.01,0.1357,4.4,3.41,23.94,0.11,0,0,0,0,0,0,9.29,9.29,0,0.14,21.49,9.29,9.29,0,100,,32,2.2,2.20,0.5,49,32,29,29,154,40,105,105,,,,,,,,4.28,18.43,0.13,4.16,3.22,23.65,0.1,,,,,,,
Ty'Son Williams,,0,RB,4200,BAL,vs CIN,26,26.00,6.2,0,9,0,0,0,0,0,0.2892,9.77,51.64,0.27,11.33,0.0572,1.56,1.18,10.48,0.04,0,0,0,0,0,0,9.25,9.25,0,0,21.65,9.25,9.25,0,100,,0,2.2,5.40,1.3,38,32,30,30,124,40,106,106,,,,,,,,5,26.43,0.14,1.71,1.29,12,,,,,,,,
Jamaal Williams,,0,RB,4600,DET,@ LAR,9,16.75,7.4,8.9,10.6,0,0,0,0,0,0.424,9.03,35.7,0.19,11.81,0.0853,2.78,2.25,16.55,0.1,0,0,0,0,0,0,9.22,9.22,0,0,24.02,9.22,9.22,0,100,,19,2,5.70,1.2,36,28,31,31,121,36,107,107,,,,,,,,9.08,35.9,0.19,2.52,2.04,15.05,0.1,,,,,,,
Buccaneers,,0,DST,4000,TB,vs CHI,26,17.5,6.2,7.4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,1.34,0.38,0,0.38,17.5,9.02,9.02,0,0,21.42,9.02,9.02,0,100,,14,2.3,21.00,5.3,1,2,2,2,29,42,108,108,,,,,,,,,,,,,,,2.49,0.88,0.75,0.18,0.02,23.85,357.17
Nelson Agholor,,0,WR,3700,NE,vs NYJ,2,24.75,7.2,12.2,7.7,0,0,0,0,0,0,0,0,0,5.43,0.1693,5.43,3.27,39.42,0.28,0,0,0,0,0,0,8.89,8.89,0,0,23.29,8.89,8.89,0,100,,20,2.4,13.10,3.5,24,38,44,44,66,45,109,109,0.01,0.01,0.14,,,,1.36,0.17,1.03,,5.15,3.1,38.94,0.28,,,,,,,
Van Jefferson,,0,WR,3500,LAR,vs DET,25,33.75,5.7,4,9.2,0,0,0,0,0,0,0,0,0,5.08,0.133,5.08,2.97,39.63,0.27,0,0,0,0,0,0,8.55,8.55,0,0,19.95,8.55,8.55,0,100,,21,2.4,14.30,4.1,21,40,45,45,60,47,110,110,,,,,,,,0.11,0.97,,4.11,2.4,33.43,0.23,,,,,,,
Julio Jones,,0,WR,6100,TEN,vs KC,10,27.50,11.1,17.2,11.1,0,0,0,0,0,0,0,0,0,4.59,0.147,4.59,3.01,43.32,0.2,0,0,0,0,0,0,8.54,8.54,0,0,30.74,8.54,8.54,0,100,,42,1.4,5.80,1,46,14,46,46,120,21,111,111,,,,,,,,0.08,0.53,,9.61,6.3,93.85,0.38,,,,,,,
David Johnson,,0,RB,4300,HOU,@ ARI,7,13.75,10.4,15.5,6.6,0,0,0,0,0,0.1476,3.11,12.57,0.12,7.15,0.148,4.04,2.8,25.41,0.17,0,0,0,0,0,0,8.34,8.34,0,0,29.14,8.34,8.34,0,100,,33,1.9,10.20,2.4,26,31,32,32,89,39,112,112,,,,,,,,11.65,47.07,0.45,4.72,3.27,32.61,0.2,,,,,,,
Khalil Herbert,,0,RB,5200,CHI,@ TB,2,17.50,6.4,0,5.5,0,0,0,0,0,0.4047,9.1,40.48,0.24,10.88,0.0574,1.78,1.58,9.52,0.04,0,0,0,0,0,0,8.26,8.26,0,0,21.06,8.26,8.26,0,100,,0,1.6,21.30,4.1,6,22,33,33,28,30,113,113,,,,,,,,7.25,32.25,0.19,1.13,1,6.06,,,,,,,,
Jonnu Smith,,0,TE,2800,NE,vs NYJ,29,24.75,5.4,9.5,5.9,0,0,0,0,0,0,0,0,0,4.64,0.1446,4.64,3.04,32.35,0.33,0,0,0,0,0,0,8.26,8.26,0,0.16,19.06,8.26,8.26,0,100,,10,3,7.70,2.8,19,24,13,13,104,54,113,113,,,,,,,,0.2,1.63,0.01,3.13,2.05,22.73,0.24,,,,,,,
Dallas Goedert,,0,TE,4600,PHI,@ LV,21,23.50,6.8,10.9,9.7,0,0,0,0,0,0,0,0,0,4.36,0.114,4.36,3.08,37.3,0.24,0,0,0,0,0,0,8.25,8.25,0,0,21.85,8.25,8.25,0,100,,31,1.8,12.00,2.6,8,10,14,14,75,36,114,114,,,,,,,,,,,5.1,3.6,43.7,0.28,,,,,,,
Tyler Higbee,,0,TE,4500,LAR,vs DET,23,33.75,6.3,7.8,9,0,0,0,0,0,0,0,0,0,5.08,0.133,5.08,3.45,34.77,0.22,0,0,0,0,0,0,8.25,8.25,0,0,20.85,8.25,8.25,0,100,,13,1.8,9.60,2.1,15,11,14,14,94,37,114,114,,,,,,,,0.01,0.01,,4.2,2.85,29.97,0.19,,,,,,,
Rams,,0,DST,5000,LAR,vs DET,28,16.75,6.2,8.9,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,1.5,0.37,0,0,16.75,8.12,8.12,0,0,20.52,8.12,8.12,0,100,,24,1.6,7.00,1.4,8,1,3,3,109,32,115,115,,,,,,,,,,,,,,,2.74,0.93,0.58,0.2,0.06,21.38,343.39
Saints,,0,DST,3400,NO,@ SEA,17,18.25,6.1,7.2,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,1.88,0.21,0,0.21,18.25,8.11,8.11,0,0,20.31,8.11,8.11,0,100,,10,2.4,9.00,2.6,6,4,4,4,97,48,116,116,,,,,,,,,,,,,,,2.49,0.84,0.58,0.12,0.02,22.84,353.39
Kendrick Bourne,,0,WR,4400,NE,vs NYJ,2,24.75,6,8.6,10.2,0,0,0,0,0,0,0,0,0,4.28,0.1334,4.28,2.87,37.03,0.24,0,0,0,0,0,0,8.01,8.01,0,0,20.01,8.01,8.01,0,100,,24,1.8,15.80,3.6,16,31,47,47,50,38,117,117,0.01,0.01,0.32,,,0.01,2,0.16,1.76,,3.92,2.63,35.33,0.24,,,,,,,
Panthers,,0,DST,3500,CAR,@ NYG,31,20,6.3,6.1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0.77,0.38,0.19,0.19,20,7.87,7.87,0,0,20.47,7.87,7.87,0,100,,13,2.2,2.00,0.6,13,3,5,5,157,47,118,118,,,,,,,,,,,,,,,2.62,0.86,0.64,0.15,0.03,23.36,349.6
Mark Ingram,,0,RB,4400,HOU,@ ARI,7,13.75,9,5.3,6.5,0,0,0,0,0,0.5472,11.55,53.47,0.41,11.55,0,0,0,0,0,0,0,0,0,0,0,7.81,7.81,0,0,25.81,7.81,7.81,0,100,,32,1.8,5.70,1.3,36,30,34,34,121,38,119,119,,,,,,,,11.99,55.51,0.43,2.92,2.38,17.77,0.1,,,,,,,
Darius Slayton,,0,WR,4000,NYG,vs CAR,9,20.00,8.8,9.3,8.6,0,0,0,0,0,0,0,0,0,5.02,0.163,5.02,2.61,37.51,0.23,0,0,0,0,0,0,7.74,7.74,0,0,25.34,7.74,7.74,0,100,,4,1.9,11.30,2.8,30,35,48,48,80,42,120,120,,,,,,,,0.07,-0.33,,5.53,2.88,42.56,0.3,,,,,,,
Odell Beckham Jr.,,0,WR,5000,CLE,vs DEN,17,20.50,9.7,12.4,8.9,0,0,0,0,0,0,0,0,0,4.61,0.1769,4.61,2.72,35.36,0.23,0,0,0,0,0,0,7.64,7.64,0,0,27.04,7.64,7.64,0,100,,41,1.5,4.30,0.9,53,25,49,49,133,32,121,121,0.07,0.06,2.07,,0.01,0.02,18.96,0.18,1.52,0.01,8.85,5.22,71.66,0.52,,,,,,,
