"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"111","Jake Bobo",SEA,"at SF","3 out of 5 stars","F","1.7","-1.0","31% (5/16)","1%","Bad"
"112","K.J. Osborn",NE,"vs. LAR","3 out of 5 stars","F","1.7","-0.7","21% (3/14)","5%","Good"
"113","KhaDarel Hodge",ATL,"at DEN","3 out of 5 stars","F","1.5","-0.2","20% (3/15)","4%","Great"
"114","Jha'Quan Jackson",TEN,"vs. MIN","3 out of 5 stars","F","1.4","-0.9","0% (0/3)","2%","Bad"
"115","Johnny Wilson",PHI,"vs. WAS","4 out of 5 stars","F","1.4","-0.4","11% (1/9)","5%","Average"
"116","Kadarius Toney",CLE,"at NO","3 out of 5 stars","F","1.4","-0.4","28% (2/7)","0%","N/A"
"117","Tim Jones",JAC,"at DET","2 out of 5 stars","F","1.4","-0.9","11% (1/9)","0%","Bad"
"118","Jonathan Mingo",DAL,"vs. HOU","4 out of 5 stars","F","1.4","-2.9","12% (2/16)","0%","N/A"
"119","Tylan Wallace",BAL,"at PIT","3 out of 5 stars","F","1.3","-","-","1%","Great"
"120","Trenton Irwin",CIN,"at LAC","4 out of 5 stars","F","1.3","-1.9","14% (2/14)","13%","Bad"
"121","River Cracraft",MIA,"vs. LV","3 out of 5 stars","F","1.1","-1.2","14% (1/7)","0%","N/A"
"122","Derius Davis",LAC,"vs. CIN","3 out of 5 stars","F","1.1","-1.1","21% (3/14)","3%","Bad"
"123","Brandon Powell",MIN,"at TEN","2 out of 5 stars","F","1.1","-0.6","20% (3/15)","2%","Bad"
"124","Trent Sherfield Sr.",MIN,"at TEN","2 out of 5 stars","F","1.0","-0.1","40% (6/15)","1%","Great"
"125","Ainias Smith",PHI,"vs. WAS","4 out of 5 stars","F","1.0","+1.2","100% (1/1)","0%","Bad"
"126","Austin Trammell",JAC,"at DET","2 out of 5 stars","F","0.7","-0.8","0% (0/5)","6%","Bad"
"127","DeAndre Carter",CHI,"vs. GB","3 out of 5 stars","F","0.7","-0.1","25% (3/12)","5%","Bad"
"128","Ryan Flournoy",DAL,"vs. HOU","4 out of 5 stars","F","0.7","-0.6","0% (0/4)","0%","Bad"
"129","DJ Chark Jr.",LAC,"vs. CIN","3 out of 5 stars","F","0.6","+0.8","25% (2/8)","0%","N/A"
"130","Javon Baker",NE,"vs. LAR","3 out of 5 stars","F","0.5","-0.4","0% (0/4)","0%","N/A"
"131","Bryce Oliver",TEN,"vs. MIN","3 out of 5 stars","F","0.5","-","-","1%","Bad"
"132","Laviska Shenault Jr.",SEA,"at SF","3 out of 5 stars","F","0.5","-0.9","30% (3/10)","0%","N/A"
"133","Ronnie Bell",SF,"vs. SEA","3 out of 5 stars","F","0.5","-0.4","14% (2/14)","1%","Bad"
"134","Jalen Virgil",BUF,"vs. KC","4 out of 5 stars","F","0.5","-","-","0%","N/A"
"135","Cody White",SEA,"at SF","3 out of 5 stars","F","0.4","-","-","1%","Bad"
"136","Terrace Marshall Jr.",LV,"at MIA","3 out of 5 stars","F","0.3","-","-","0%","N/A"
"137","Jordan Whittington",LAR,"at NE","3 out of 5 stars","F","0.2","-0.6","42% (3/7)","2%","Bad"
"138","Irvin Charles",NYJ,"vs. IND","4 out of 5 stars","F","0.1","-","-","0%","N/A"
"139","Allen Robinson II",DET,"vs. JAC","3 out of 5 stars","F","0.1","-0.2","36% (4/11)","0%","Bad"
"140","Jamari Thrash",CLE,"at NO","3 out of 5 stars","F","0.1","-0.9","0% (0/2)","0%","N/A"
"141","Devin Duvernay",JAC,"at DET","2 out of 5 stars","F","0.1","-0.6","0% (0/9)","2%","Bad"
"142","Jacob Cowing",SF,"vs. SEA","3 out of 5 stars","F","0.1","-2.2","0% (0/4)","14%","Bad"
"143","Jaelon Darden",CLE,"at NO","3 out of 5 stars","F","0.1","-","-","0%","N/A"
"144","Velus Jones Jr.",JAC,"at DET","2 out of 5 stars","F","0.1","0.0","50% (3/6)","0%","N/A"
"145","Tyler Scott",CHI,"vs. GB","3 out of 5 stars","F","0.0","-1.3","12% (1/8)","0%","N/A"
"146","Ben Skowronek",PIT,"vs. BAL","3 out of 5 stars","F","0.0","-0.5","33% (2/6)","0%","N/A"
"147","Malik Heath",GB,"at CHI","2 out of 5 stars","F","0.0","+0.1","35% (5/14)","0%","Bad"
"148","Tyrell Shavers",BUF,"vs. KC","4 out of 5 stars","F","0.0","-1.4","0% (0/1)","0%","N/A"
"149","Justin Shorter",LV,"at MIA","3 out of 5 stars","F","0.0","-","-","0%","N/A"
"150","Casey Washington",ATL,"at DEN","3 out of 5 stars","F","0.0","-0.4","0% (0/3)","0%","N/A"
