player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Kenneth Murray Jr.,58099,LB,TEN,1,1,0,25.0,0,0,31,0,0,91.6,91.1,75.7,61.5,61.5,81.1,1,0,0,1,11,0.0,0,1,0,0.0,1,0,0,52,0,35,56,3,0,0,3,0,0,53,7,14,1,3,7,2,4,1,0,11,14,11.0
Vi Jones,58233,LB,TB,1,0,0,,0,0,30,0,0,63.8,64.5,69.5,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,5,0,9,10,2,0,0,2,0,3,8,1,0,0,0,0,0,0,0,0,0,0,
Joe Tryon-Shoyinka,58272,ED,TB,1,0,0,,0,0,30,0,0,61.1,66.7,72.4,59.1,64.8,69.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,2,8,8,0,0,8,0,0,0,1,5,0,1,1,0,0,0,0,0,0,
Grant Delpit,60685,S,CLV,1,2,0,100.0,0,0,8,0,0,66.7,71.8,0.0,66.8,74.6,46.0,0,0,0,0,46,23.1,3,1,1,118.8,3,0,0,36,4,35,69,4,0,0,4,0,13,65,1,33,12,6,8,1,3,0,0,61,24,20.3
Malcolm Rodriguez,60731,LB,DET,1,1,0,100.0,0,0,11,0,0,61.1,73.3,78.7,53.4,85.2,79.9,0,0,0,0,7,0.0,0,0,0,95.8,1,0,0,20,1,27,49,13,0,0,13,0,0,36,5,17,15,4,6,0,1,0,0,7,11,7.0
Isaiah Pola-Mao,60781,S,LV,1,1,0,66.7,0,0,23,0,0,63.4,67.9,77.4,,69.6,87.2,0,0,0,0,23,0.0,0,1,0,100.7,2,0,0,6,0,46,68,0,0,0,0,0,60,68,0,22,2,1,6,0,3,0,0,31,9,15.5
Keion White,60998,ED,NE,1,2,0,100.0,0,0,19,0,0,65.3,72.7,77.4,63.4,70.2,72.8,0,2,0,0,7,0.0,0,0,0,95.8,1,0,0,4,0,3,42,38,0,2,25,11,0,4,25,14,0,1,2,0,1,2,0,7,9,7.0
Noah Igbinoghene,61155,CB,WAS,1,0,0,100.0,0,0,32,0,0,46.6,47.0,75.4,,52.1,43.5,0,0,0,0,11,20.0,1,0,2,99.0,4,0,0,10,1,38,64,0,0,0,0,0,0,64,0,26,53,0,4,0,4,0,0,31,42,7.8
Daiyan Henley,61500,LB,LAC,1,5,0,100.0,0,0,27,0,0,62.9,57.6,75.7,52.5,56.1,64.3,0,0,0,0,22,8.3,1,0,0,118.1,3,0,0,53,0,22,65,4,0,0,4,0,0,61,4,39,8,2,6,1,3,0,0,37,26,12.3
Tariq Woolen,61790,CB,SEA,1,0,0,80.0,0,0,29,0,0,47.7,52.2,76.1,,71.3,44.8,0,0,0,0,30,20.0,1,0,0,118.8,4,0,0,12,39,43,57,4,0,0,4,0,0,53,0,14,2,1,4,0,5,0,0,77,29,19.3
Caleb Farley,61803,CB,CAR,1,0,0,,0,0,5,0,0,64.3,64.5,69.6,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,
Christian Elliss,61853,LB,NE,1,1,0,66.7,0,0,19,0,0,73.4,78.4,75.1,70.1,67.1,47.0,0,1,0,0,15,20.0,1,1,0,88.2,2,0,0,27,2,24,37,1,0,0,1,0,0,36,2,11,7,1,3,0,3,1,0,22,3,11.0
Joey Blount,62771,S,ARZ,1,0,0,,0,0,1,0,0,61.7,64.8,71.8,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,3,5,0,0,0,0,0,2,5,0,2,3,0,0,0,0,0,0,0,0,
Charles Snowden,62775,ED,LV,1,0,1,100.0,0,0,23,0,0,64.0,64.8,74.6,60.8,60.0,70.5,0,0,0,0,3,0.0,0,0,0,79.2,1,0,0,0,0,4,12,12,0,0,12,0,0,0,7,1,0,1,1,0,1,0,0,3,2,3.0
Winston Reid,63354,LB,CLV,1,1,0,0.0,0,0,8,1,0,76.3,77.5,67.1,,63.9,71.7,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,10,0,5,13,0,0,0,0,0,0,13,0,8,3,0,0,0,1,0,0,0,0,
Samuel Womack III,65771,CB,IND,1,2,0,66.7,0,0,14,0,0,50.0,50.5,75.9,,55.1,57.0,0,0,0,0,15,12.5,1,1,0,92.4,2,0,0,3,41,27,44,0,0,0,0,0,0,44,0,17,0,1,5,0,3,0,0,25,4,12.5
Zyon McCollum,66769,CB,TB,1,1,0,87.5,0,0,30,0,0,61.9,58.1,77.0,,38.8,57.0,0,0,0,0,21,12.5,1,0,0,100.0,7,0,0,3,53,43,59,0,0,0,0,0,0,59,0,16,3,3,6,0,8,0,0,64,18,9.1
Tristin McCollum,66771,S,PHI,1,0,0,100.0,0,0,24,0,0,45.2,40.7,69.7,,60.0,,0,0,0,0,11,,0,0,0,112.5,1,0,0,2,0,7,8,0,0,0,0,0,6,8,0,1,0,0,0,0,1,0,0,11,0,11.0
