player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Zach Ertz,7816,TE,WAS,1,7.6,0,60.0,,0,0,0,25.0,1,2,32,0,36.8,65.8,57.5,66.3,57.9,51.5,17,1,25,3.0,1,33,1,3,87.9,29,45.5,15,81.3,5,1,3.0,1,35,18,6.0,11.7,1.21
Darius Slayton,25578,WR,NYG,1,19.6,0,40.0,,0,0,0,33.3,1,0,21,0,30.0,64.0,44.7,,45.0,0.0,0,0,5,0.0,0,33,0,2,90.9,30,24.2,8,47.9,5,0,75.8,25,8,1,0.5,4.0,0.27
Theo Johnson,129787,TE,NYG,1,5.0,3,100.0,,0,0,0,0.0,0,2,21,0,73.4,68.0,66.5,18.9,75.9,20.9,9,0,15,11.6,5,43,1,5,83.7,36,67.4,29,111.7,5,0,9.3,4,54,29,5.8,10.8,1.5
Michael Woods II,84117,WR,CLV,1,9.6,1,60.0,0.0,0,1,0,0.0,0,3,8,0,70.5,65.8,61.8,66.2,61.8,9.8,5,0,16,2.0,1,51,0,3,94.1,48,15.7,8,87.9,5,0,74.5,38,43,19,6.3,14.3,0.9
Luke Schoonmaker,84005,TE,DAL,1,4.6,1,100.0,100.0,1,1,0,0.0,0,2,9,0,73.4,68.0,51.0,,62.2,43.3,13,0,10,0.0,0,30,1,5,90.0,27,53.3,16,94.2,5,0,3.3,1,33,10,2.0,6.6,1.22
Troy Franklin,146567,WR,DEN,1,20.2,1,40.0,0.0,0,2,0,0.0,0,1,10,0,68.3,64.0,60.1,,59.7,0.0,0,1,23,0.0,0,21,0,2,95.2,20,38.1,8,19.2,5,0,61.9,13,28,26,13.0,14.0,1.4
Dyami Brown,77986,WR,WAS,1,6.6,0,80.0,0.0,0,1,0,0.0,0,2,32,0,72.1,68.3,64.2,,67.1,0.0,0,0,13,0.0,0,19,0,4,89.5,17,36.8,7,95.8,5,0,63.2,12,35,43,10.8,8.8,2.06
Jauan Jennings,48027,WR,SF,1,12.8,0,60.0,50.0,1,2,0,0.0,0,3,28,0,70.5,65.8,77.0,,77.3,0.0,0,0,26,0.0,0,23,0,3,95.7,22,34.8,8,98.8,5,0,65.2,15,56,21,7.0,18.7,2.55
Calvin Ridley,48262,WR,TEN,1,22.4,0,40.0,,0,0,0,33.3,1,2,31,0,29.9,64.0,58.4,,58.5,0.0,0,0,30,0.0,0,43,0,2,90.7,39,18.6,8,72.9,5,0,81.4,35,45,3,1.5,22.5,1.15
KaVontae Turpin,47658,WR,DAL,1,0.8,1,80.0,,0,0,0,0.0,0,2,9,0,72.1,20.6,72.5,,75.1,0.0,0,0,30,0.0,0,10,0,4,100.0,10,90.0,9,110.8,5,0,0.0,0,53,63,15.8,13.3,5.3
Tyler Conklin,47124,TE,NYJ,1,6.0,0,80.0,100.0,1,1,0,0.0,0,2,22,0,72.1,67.0,52.5,66.4,54.5,28.2,11,0,14,2.6,1,39,0,4,94.9,37,61.5,24,93.3,5,0,10.3,4,32,22,5.5,8.0,0.86
Joe Mixon,11803,HB,HST,1,1.2,0,80.0,,0,0,0,20.0,1,0,13,0,41.6,77.7,66.1,70.1,51.8,0.0,0,0,9,8.0,2,25,0,4,88.0,22,4.0,1,81.7,5,0,0.0,0,18,18,4.5,4.5,0.82
Mike Gesicki,47153,TE,CIN,1,6.2,0,100.0,,0,0,0,0.0,0,3,7,0,73.4,68.0,69.0,52.7,66.1,0.0,0,0,20,4.0,1,25,0,5,96.0,24,68.0,17,110.8,5,0,32.0,8,53,22,4.4,10.6,2.21
