player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Tucker Kraft,104034,TE,GB,1,2,0,12,0.0,2,100.0,,0,0,0.0,0,1,0,64.7,72.6,0,11,0.0,0,6,1,83.3,5,152.1,1,20.0,1,11,11,11.0,11.0,2.2,0,0.0,1,100.0,,0,0,0.0,0,1,0,64.7,59.7,0,15,0.0,0,17,1,100.0,17,118.8,1,5.9,0,15,15,15.0,15.0,0.88
JuJu Smith-Schuster,11817,WR,KC,1,2,0,16,7.0,0,0.0,,0,0,,0,0,0,,53.5,0,0,0.0,0,11,0,81.8,9,39.6,1,11.1,0,0,0,,,0.0,0,-3.0,0,100.0,,0,0,0.0,0,0,0,68.3,64.0,0,6,0.0,0,14,1,85.7,12,91.7,1,8.3,0,6,9,9.0,6.0,0.5
Adam Trautman,109795,TE,DEN,1,2,0,10,2.0,0,0.0,,0,0,,0,0,0,,54.1,0,0,60.0,6,10,0,30.0,3,39.6,1,33.3,0,0,0,,,0.0,0,1.0,0,100.0,,0,0,0.0,0,0,0,64.7,53.1,0,3,20.0,2,10,1,80.0,8,79.2,1,12.5,0,3,2,2.0,3.0,0.38
Michael Mayer,122906,TE,LV,1,2,0,23,,0,,,0,0,,0,0,0,,53.0,0,0,28.6,2,7,0,71.4,5,0.0,0,0.0,0,0,0,,,0.0,0,5.5,0,100.0,,0,0,0.0,0,0,0,68.3,67.1,0,9,14.3,2,14,2,85.7,12,89.6,2,16.7,0,11,0,0.0,5.5,0.92
Adonai Mitchell,146712,WR,IND,1,2,0,14,3.5,0,50.0,,0,0,0.0,0,1,0,64.7,71.9,0,10,0.0,0,4,1,100.0,4,64.6,2,50.0,0,10,6,6.0,10.0,2.5,0,,0,,,0,0,,0,0,0,,57.7,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Ja'Lynn Polk,123153,WR,NE,1,2,0,19,8.0,0,0.0,0.0,0,1,,0,0,0,,55.5,0,0,0.0,0,5,0,100.0,5,39.6,1,20.0,0,0,0,,,0.0,0,-2.0,1,100.0,,0,0,0.0,0,0,0,64.7,55.8,0,7,0.0,0,10,1,100.0,10,95.8,1,10.0,0,7,9,9.0,7.0,0.7
Malik Heath,124173,WR,GB,1,2,0,12,7.0,0,100.0,100.0,1,1,0.0,0,2,0,68.3,92.3,0,12,0.0,0,3,2,100.0,3,137.5,2,66.7,1,15,6,3.0,7.5,5.0,0,,0,,,0,0,,0,0,0,,60.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Colby Parkinson,52266,TE,LA,1,2,0,26,,0,,,0,0,,0,0,0,,50.5,0,0,28.6,2,7,0,57.1,4,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,53.3,0,0,20.0,1,5,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0
Brian Robinson,57120,HB,WAS,1,2,0,32,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,0.0,0,50.0,,0,0,50.0,1,1,0,28.8,34.1,1,11,20.0,1,5,1,80.0,4,27.1,2,50.0,0,11,6,6.0,11.0,2.75
Najee Harris,57121,HB,PIT,1,2,0,25,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,,0,0,0,,,,0,-2.0,0,100.0,,0,0,0.0,0,1,0,68.3,71.3,0,10,0.0,0,9,2,100.0,9,93.8,2,22.2,0,13,17,8.5,6.5,1.44
Jalen McMillan,131905,WR,TB,1,2,0,30,20.0,0,0.0,,0,0,,0,0,0,,54.5,0,0,0.0,0,8,0,75.0,6,39.6,1,16.7,0,0,0,,,0.0,0,6.0,0,100.0,,0,0,0.0,0,1,0,64.7,61.2,0,11,0.0,0,14,1,100.0,14,112.5,1,7.1,0,11,5,5.0,11.0,0.79
Roschon Johnson,99467,HB,CHI,1,1,0,6,,0,,,0,0,,0,0,0,,57.3,0,0,72.7,8,11,0,27.3,3,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,53.6,0,0,30.8,4,13,0,69.2,9,0.0,0,0.0,0,0,0,,,0.0
Davis Allen,99697,TE,LA,1,1,0,26,-2.0,0,0.0,,0,0,,0,0,0,,50.7,0,0,25.0,2,8,0,62.5,5,39.6,1,20.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,51.0,0,0,0.0,0,11,0,100.0,11,0.0,0,0.0,0,0,0,,,0.0
Raheem Mostert,9783,HB,MIA,1,1,0,17,,0,,,0,0,,0,0,0,,52.9,0,0,11.1,1,9,0,77.8,7,0.0,0,0.0,0,0,0,,,0.0,0,-5.0,0,100.0,,0,0,0.0,0,0,0,64.7,58.3,0,-3,0.0,0,8,1,100.0,8,79.2,1,12.5,0,-3,2,2.0,-3.0,-0.38
Tyler Johnson,48054,WR,LA,1,1,0,26,,0,,,0,0,,0,0,0,,56.5,0,0,0.0,0,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,10.0,0,100.0,,0,0,0.0,0,1,0,64.7,72.5,0,11,0.0,0,4,1,100.0,4,112.5,1,25.0,0,11,1,1.0,11.0,2.75
Johnny Mundt,12206,TE,MIN,1,1,0,18,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,,0,0,0,,,,0,2.0,0,100.0,,0,0,0.0,0,0,0,64.7,52.9,0,7,22.2,2,9,1,66.7,6,95.8,1,16.7,0,7,5,5.0,7.0,1.17
Blake Whiteheart,77881,TE,CLV,1,1,0,8,,0,,,0,0,,0,0,0,,59.9,0,0,0.0,0,1,0,0.0,0,0.0,0,,0,0,0,,,,0,26.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,94.2,0,29,0.0,0,2,1,100.0,2,118.8,1,50.0,0,29,3,3.0,29.0,14.5
Johnny Wilson,76366,WR,PHI,1,1,0,24,,0,,,0,0,,0,0,0,,56.8,0,0,0.0,0,4,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,51.6,0,0,0.0,0,15,0,93.3,14,0.0,0,0.0,0,0,0,,,0.0
