CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,TE,Tyler Mabry (20380200),Tyler Mabry,20380200,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,WR,Cody Thompson (20380201),Cody Thompson,20380201,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,TE,Ryan Izzo (20380202),Ryan Izzo,20380202,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,WR,Dee Eskridge (20380203),Dee Eskridge,20380203,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,SEA,1.47
,,,,,,,RB,Josh Johnson (20380204),Josh Johnson,20380204,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,RB,B.J. Emmons (20380205),B.J. Emmons,20380205,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,RB,Wendell Smallwood (20380241),Wendell Smallwood,20380241,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,WR,Penny Hart (20380251),Penny Hart,20380251,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,SEA,0.78
,,,,,,,TE,Tyrone Swoopes (20380248),Tyrone Swoopes,20380248,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,RB,Nick Bellore (20380254),Nick Bellore,20380254,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,RB,Chris Carson (20380256),Chris Carson,20380256,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,SEA,12.28
,,,,,,,WR,Dax Milne (20380240),Dax Milne,20380240,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,WAS,1.46
,,,,,,,TE,Colby Parkinson (20380236),Colby Parkinson,20380236,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,SEA,0.39
,,,,,,,WR,Dyami Brown (20380255),Dyami Brown,20380255,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,WAS,1.96
,,,,,,,RB,Derrius Guice (20380249),Derrius Guice,20380249,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,RB,Travis Homer (20380238),Travis Homer,20380238,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,SEA,3.64
,,,,,,,WR,Aaron Fuller (20380247),Aaron Fuller,20380247,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,WR,Marken Michel (20380253),Marken Michel,20380253,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,TE,Temarrick Hemingway (20380250),Temarrick Hemingway,20380250,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,WR,John Ursua (20380239),John Ursua,20380239,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,TE,Dylan Cantrell (20380252),Dylan Cantrell,20380252,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,TE,Sammis Reyes (20380242),Sammis Reyes,20380242,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,WR,Kelvin Harmon (20380245),Kelvin Harmon,20380245,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,TE,Tyler Ott (20380244),Tyler Ott,20380244,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,WR,Phillip Dorsett II (20380246),Phillip Dorsett II,20380246,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,SEA,0.43
,,,,,,,WR,Antonio Gandy-Golden (20380257),Antonio Gandy-Golden,20380257,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,TE,Tyler Mabry (20380243),Tyler Mabry,20380243,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,WR,Cody Thompson (20380258),Cody Thompson,20380258,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,TE,Ryan Izzo (20380237),Ryan Izzo,20380237,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,WR,Dee Eskridge (20380259),Dee Eskridge,20380259,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,SEA,1.47
,,,,,,,RB,Josh Johnson (20380261),Josh Johnson,20380261,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,RB,B.J. Emmons (20380260),B.J. Emmons,20380260,FLEX,200,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
