QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,RB,Scottie Phillips (20285875),Scottie Phillips,20285875,RB/FLEX,4000,NYJ@HOU 11/28/2021 01:00PM ET,HOU,1.4
,,,,,,,,,,RB,Jaylen Samuels (20285877),Jaylen Samuels,20285877,RB/FLEX,4000,NYJ@HOU 11/28/2021 01:00PM ET,HOU,0
,,,,,,,,,,QB,Kyle Trask (20285630),Kyle Trask,20285630,QB,4000,TB@IND 11/28/2021 01:00PM ET,TB,0
,,,,,,,,,,QB,Ryan Griffin (20285631),Ryan Griffin,20285631,QB,4000,TB@IND 11/28/2021 01:00PM ET,TB,0
,,,,,,,,,,QB,Brett Hundley (20285632),Brett Hundley,20285632,QB,4000,TB@IND 11/28/2021 01:00PM ET,IND,0
,,,,,,,,,,QB,Sam Ehlinger (20285636),Sam Ehlinger,20285636,QB,4000,TB@IND 11/28/2021 01:00PM ET,IND,0.5
,,,,,,,,,,RB,Ke'Shawn Vaughn (20285855),Ke'Shawn Vaughn,20285855,RB/FLEX,4000,TB@IND 11/28/2021 01:00PM ET,TB,0.52
,,,,,,,,,,RB,Darwin Thompson (20285857),Darwin Thompson,20285857,RB/FLEX,4000,TB@IND 11/28/2021 01:00PM ET,TB,0
,,,,,,,,,,RB,Nyheim Hines (20285859),Nyheim Hines,20285859,RB/FLEX,4000,TB@IND 11/28/2021 01:00PM ET,IND,7.34
,,,,,,,,,,RB,Marlon Mack (20285861),Marlon Mack,20285861,RB/FLEX,4000,TB@IND 11/28/2021 01:00PM ET,IND,2.15
