,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Matt Ryan,,0,QB,5200,IND,vs PHI,5,19.75,8.3,14.8,17.1,1,29.85,230.99,1.2,0.58,0.056,1.31,4.12,0.04,1.31,0,0,0,0,0,0,0,0,0,0,0,14.11,14.11,0,1.66,30.71,14.11,14.11,22,0,100,,86,57,2.7,8.62,1.7,19,25,25,36,61,61,36.72,24.63,281.91,0.71,2.39,1.65,97.1,2.16,6.8,0.07,,,,,,,,,,,
Melvin Gordon,,0,RB,5700,DEN,vs LV,27,21.75,9,12.9,8.6,0,0,0,0,0,0.3407,9.91,40.52,0.36,14.84,0.1569,4.93,3.67,30.2,0.2,0,0,0,0,0,0,14.1,14.1,0,0.6,32.1,14.1,14.1,20,0,100,,64,40,2.5,12.00,2.1,21,19,19,31,62,62,,,,,,,,14.42,58.96,0.52,3.75,2.79,22.29,0.13,,,,,,,
Allen Lazard,,0,WR,6100,GB,vs TEN,29,21.75,7,9.6,14.2,0,0,0,0,0,0,0,0,0,7.11,0.2306,7.11,4.66,61.34,0.54,0,0,0,0,0,0,14.03,14.03,0,3.53,28.03,14.03,14.03,31,0,100,,73,31,2.3,10.70,1.8,18,16,16,27,63,63,,,,,,,,0.14,1.53,,4.76,3.12,43.27,0.41,,,,,,,
Mike Williams,!,0,WR,6600,LAC,vs KC,25,23.75,9.3,16.2,16.2,0,0,0,0,0,0,0,0,0,7.68,0.2058,7.68,4.46,67.92,0.45,0,0,0,0,0,0,13.95,13.95,0,0,32.55,13.95,13.95,65,0,100,,139,20,2.1,2.50,0.4,13,17,17,22,64,64,,,,,,,,0.1,0.36,0.01,5.96,3.46,54,0.36,,,,,,,
Garrett Wilson,,0,WR,4900,NYJ,@ NE,15,17.75,9.2,0,12.5,0,0,0,0,0,0,0,0,0,9.37,0.2881,9.37,5.79,67.02,0.22,0,0,0,0,0,0,13.81,13.81,0,0.01,32.21,13.81,13.81,60,0,100,,133,26,2.8,3.20,0.7,30,18,18,39,65,65,,,,,,,,0.22,0.56,,7.56,4.67,57.89,0.22,,,,,,,
Keenan Allen,,0,WR,6400,LAC,vs KC,25,23.75,9.4,16.9,6.9,0,0,0,0,0,0,0,0,0,7.97,0.2134,7.97,5.48,62.44,0.34,0,0,0,0,0,0,13.76,13.76,0,0,32.56,13.76,13.76,20,0,100,,56,47,2.2,13.40,2.1,15,19,19,24,66,66,0.02,,,,0.01,,0.87,0.16,1.09,,9.54,6.56,76.57,0.41,,,,,,,
Kadarius Toney,!,0,WR,5400,KC,@ LAC,12,28.75,8.6,9.5,6.6,0,0,0,0,0,0.0682,1.74,15.37,0.05,9.33,0.1738,7.59,5.34,57.46,0.14,0,0,0,0,0,0,13.76,13.76,0,0.86,30.96,13.76,13.76,76,0,100,,163,0,2.5,0.00,,25,19,19,34,66,66,0.23,0.08,1.46,,0.08,,15.23,0.54,4.77,,5.15,3.62,37.62,0.08,,,,,,,
Ryan Tannehill,,0,QB,5300,TEN,@ GB,6,18.75,7.4,16.9,13.2,1,21.41,166.17,1.12,0.52,0.1134,3.51,15.34,0.26,3.51,0,0,0,0,0,0,0,0,0,0,0,13.7,13.7,0,2.6,28.5,13.7,13.7,9,0,100,,21,58,2.6,23.02,4.3,18,26,26,35,67,67,29,18.96,220.87,0.7,2.38,1.55,97.11,2.94,12.85,0.22,,,,,,,,,,,
D'Andre Swift,,0,RB,6100,DET,@ NYG,9,20.75,7.7,16.6,14.1,0,0,0,0,0,0.2778,8.02,36.58,0.4,12.71,0.1378,4.69,3.69,28.86,0.16,0,0,0,0,0,0,13.59,13.59,0,2.04,28.99,13.59,13.59,19,0,100,,63,50,2.2,12.20,2,17,20,20,27,68,68,0.03,,,,,,1.24,9.53,43.47,0.47,4.97,3.91,29.97,0.19,,,,,,,
Adam Thielen,,0,WR,5500,MIN,vs DAL,17,23.25,10.1,15.6,11.5,0,0,0,0,0,0,0,0,0,7.11,0.2175,7.11,4.89,59.24,0.46,0,0,0,0,0,0,13.57,13.57,0,0,33.77,13.57,13.57,54,0,100,,120,29,2.5,4.50,0.8,24,20,20,33,69,69,0.01,,,0.01,,,-3.77,0.19,1.55,0.01,6.9,4.75,59.96,0.45,,,,,,,
Rondale Moore,,0,WR,5300,ARI,vs SF,11,17.00,6.9,8.1,12.6,0,0,0,0,0,0,0,0,0,8.93,0.2551,8.93,6.98,58.19,0.12,0,0,0,0,0,0,13.52,13.52,0,3.17,27.32,13.52,13.52,78,0,100,,165,27,2.6,-0.60,,26,21,21,35,70,70,,,,,,,,1.05,3.5,,5.82,4.55,40.05,0.09,,,,,,,
Drake London,,0,WR,5100,ATL,vs CHI,5,25.25,6.5,0,9.8,0,0,0,0,0,0,0,0,0,8.49,0.2802,8.49,5.2,54.25,0.43,0,0,0,0,0,0,13.21,13.21,0,3.46,26.21,13.21,13.21,41,0,100,,97,34,2.6,7.20,1.4,28,22,22,37,71,71,,,,,,,,,,,6.2,3.8,40.7,0.3,,,,,,,
Diontae Johnson,,0,WR,5800,PIT,vs CIN,14,18.25,7.8,17,10.5,0,0,0,0,0,0,0,0,0,9.53,0.3099,9.53,5.9,58.52,0.24,0,0,0,0,0,0,13.19,13.19,0,1.49,28.79,13.19,13.19,45,0,100,,105,44,2.3,6.20,1.1,21,23,23,30,72,72,,,,,,,,0.31,2.32,,8.71,5.39,57.36,0.36,,,,,,,
Darnell Mooney,,0,WR,5400,CHI,@ ATL,32,23.25,6.6,13.6,8.9,0,0,0,0,0,0,0,0,0,8.67,0.2751,8.67,5.25,62.43,0.27,0,0,0,0,0,0,13.11,13.11,0,3.21,26.31,13.11,13.11,24,0,100,,60,40,2.4,12.90,2.4,25,24,24,34,73,73,,,,,,,,0.26,1.26,0.02,6.84,4.14,50,0.21,,,,,,,
Tony Pollard,,0,RB,6500,DAL,@ MIN,18,25.25,8.2,10.6,15.1,0,0,0,0,0,0.3703,11.26,59.59,0.37,14.63,0.09,3.37,2.51,19.74,0.07,0,0,0,0,0,0,13.08,13.08,0,0.78,29.48,13.08,13.08,1,0,100,,1,14,2,39.90,6.1,14,21,21,23,74,74,,,,,,,,7.71,40.8,0.25,2.42,1.8,14.22,0.04,,,,,,,
Antonio Gibson,,0,RB,5600,WAS,@ HOU,31,22.25,7.5,14.9,12.7,0,0,0,0,0,0.3248,10.16,41.67,0.39,14.29,0.123,4.13,3.37,23.31,0.13,0,0,0,0,0,0,12.99,12.99,0,1.74,27.99,12.99,12.99,17,0,100,,57,47,2.3,13.30,2.4,22,22,22,32,75,75,,,,,,,,13.29,54.51,0.51,3.41,2.78,19.46,0.12,,,,,,,
Ezekiel Elliott,,0,RB,6000,DAL,@ MIN,18,25.25,8.9,14.6,11.1,0,0,0,0,0,0.5092,15.48,68.92,0.52,17.4,0.0512,1.92,1.44,11.05,0.07,0,0,0,0,0,0,12.98,12.98,0,0,30.78,12.98,12.98,9,0,100,,35,53,2.2,17.70,3,18,23,23,28,76,76,0.02,0.01,0.04,0.01,,,-3.28,18.25,81.25,0.61,4.04,3.03,23.31,0.12,,,,,,,
Amari Cooper,,0,WR,6400,CLE,@ BUF,19,21.25,10.8,14.2,15.4,0,0,0,0,0,0,0,0,0,7.72,0.243,7.72,4.81,59.5,0.36,0,0,0,0,0,0,12.92,12.92,0,0,34.52,12.92,12.92,2,0,100,,4,26,2,34.30,5.4,15,25,25,24,77,77,0.01,,,0.01,,,,0.12,0.33,,7.61,4.74,64.5,0.44,,,,,,,
Jakobi Meyers,,0,WR,5500,NE,vs NYJ,1,20.75,6.5,11.6,15.2,0,0,0,0,0,0,0,0,0,8.01,0.2877,8.01,5.56,65.01,0.14,0,0,0,0,0,0,12.9,12.9,0,3.15,25.9,12.9,12.9,38,0,100,,82,41,2.3,9.20,1.7,24,26,26,33,78,78,0.09,0.09,1.87,,,0.04,9.26,0.11,0.57,,6.55,4.55,52.17,0.11,,,,,,,
Chris Olave,,0,WR,6800,NO,vs LAR,10,20.75,5.8,0,14.5,0,0,0,0,0,0,0,0,0,8.14,0.2697,8.14,4.86,67.37,0.2,0,0,0,0,0,0,12.8,12.8,0,4.1,24.4,12.8,12.8,6,0,100,,18,60,1.9,24.20,3.6,12,27,27,20,79,79,,,,,,,,,,,8.56,5.11,73.11,0.22,,,,,,,
Kyle Pitts,!,0,TE,4400,ATL,vs CHI,9,25.25,6.8,10.8,7.6,0,0,0,0,0,0,0,0,0,8.49,0.2802,8.49,4.77,66.01,0.21,0,0,0,0,0,0,12.63,12.63,0,2.43,26.23,12.63,12.63,12,0,100,,96,30,2.9,7.30,1.7,9,6,6,44,80,80,,,,,,,,,,,6.26,3.52,50,0.15,,,,,,,
Mac Jones,,0,QB,5100,NE,vs NYJ,1,20.75,6.3,14.4,11.7,1,27.85,194.53,1.04,0.86,0.1499,3.98,11.89,0.05,3.98,0,0,0,0,0,0,0,0,0,0,0,12.57,12.57,0,3.12,25.17,12.57,12.57,16,0,100,,43,54,2.5,16.14,3.2,20,27,27,37,81,81,29.72,19.96,211.44,0.92,1.96,1.16,87.21,3.04,9.08,0.04,,,,,,,,,,,
Brandon Aiyuk,,0,WR,6500,SF,@ ARI,9,26.00,7.2,9.8,13.8,0,0,0,0,0,0,0,0,0,6.65,0.2075,6.65,4.36,58.5,0.38,0,0,0,0,0,0,12.49,12.49,0,1.69,26.89,12.49,12.49,13,0,100,,44,44,1.9,16.00,2.5,14,28,28,23,82,82,,,,,,,,0.3,2.53,0.05,6.45,4.23,56.9,0.35,,,,,,,
Allen Robinson,,0,WR,5600,LAR,@ NO,13,18.75,9.1,7.3,7.8,0,0,0,0,0,0,0,0,0,7.31,0.2326,7.31,4.31,57.49,0.37,0,0,0,0,0,0,12.28,12.28,0,0,30.48,12.28,12.28,16,0,100,,49,35,2.2,14.70,2.6,23,29,29,32,83,83,,,,,,,,0.03,0.1,,8.26,4.87,62.88,0.41,,,,,,,
Baker Mayfield,,0,QB,5000,CAR,@ BAL,16,14.25,6.6,14.5,12.3,1,28.35,207.22,1.11,0.8,0.0261,0.58,2.01,0.02,0.58,0,0,0,0,0,0,0,0,0,0,0,12.25,12.25,0,2.35,25.45,12.25,12.25,26,0,100,,99,60,2.5,7.04,1.4,21,28,28,38,84,84,31.88,19.51,231.01,0.9,2.21,1.5,88.59,2.65,9.19,0.09,,,,,,,,,,,
Curtis Samuel,,0,WR,5300,WAS,@ HOU,8,22.25,6.8,2,12.6,0,0,0,0,0,0.0598,1.87,11.93,0.1,8.55,0.1987,6.68,4.25,45.84,0.26,0,0,0,0,0,0,12.19,12.19,0,1.99,25.79,12.19,12.19,34,0,100,,78,36,2.3,9.80,1.8,26,30,30,35,85,85,,,,,,,,1.48,9.44,0.08,5.67,3.61,39.35,0.26,,,,,,,
Mack Hollins,,0,WR,4500,LV,@ DEN,7,19.75,5.9,4,9.6,0,0,0,0,0,0,0,0,0,7.53,0.2068,7.53,4.38,58.15,0.33,0,0,0,0,0,0,12.18,12.18,0,3.33,23.98,12.18,12.18,29,0,100,,70,0,2.7,11.20,2.5,34,31,31,43,86,86,0.02,0.02,0.08,,,,1.6,0.02,,,2.87,1.67,22.6,0.15,,,,,,,
Marquez Valdes-Scantling,,0,WR,4700,KC,@ LAC,12,28.75,7.7,8.2,8.8,0,0,0,0,0,0,0,0,0,6.67,0.1526,6.67,3.46,62.36,0.38,0,0,0,0,0,0,11.98,11.98,0,0.43,27.38,11.98,11.98,62,0,100,,136,6,2.5,2.80,0.6,32,32,32,41,87,87,,,,,,,,0.13,0.72,,4.55,2.36,41.04,0.22,,,,,,,
Pat Freiermuth,,0,TE,4200,PIT,vs CIN,1,18.25,4.5,9.4,10.3,0,0,0,0,0,0,0,0,0,7.7,0.2503,7.7,5.54,47.78,0.27,0,0,0,0,0,0,11.94,11.94,0,5.19,20.94,11.94,11.94,4,0,100,,45,54,2.8,15.90,3.8,11,7,7,46,88,88,,,,,,,,,,,5.56,4,37,0.32,,,,,,,
Tyler Boyd,,0,WR,6500,CIN,@ PIT,31,21.25,8.2,11,13.7,0,0,0,0,0,0,0,0,0,6.64,0.2083,6.64,4.55,54.45,0.3,0,0,0,0,0,0,11.8,11.8,0,0,28.2,11.8,11.8,45,0,100,,105,31,1.8,6.20,1,14,33,33,23,89,89,0.05,0.03,0.85,,0.01,,3.98,0.18,1.58,,6.42,4.4,52.18,0.29,,,,,,,
David Montgomery,,0,RB,6100,CHI,@ ATL,25,23.25,8.1,15.6,9.7,0,0,0,0,0,0.3575,12.35,48.08,0.34,15.56,0.102,3.21,2.54,19.71,0.06,0,0,0,0,0,0,11.72,11.72,0,0,27.92,11.72,11.72,7,0,100,,26,41,1.9,21.10,3.5,17,24,24,27,90,90,0.02,,,0.02,,,,15.57,60.61,0.43,3.19,2.52,19.89,0.06,,,,,,,
Dalton Schultz,,0,TE,4300,DAL,@ MIN,26,25.25,6.6,12.5,8.1,0,0,0,0,0,0,0,0,0,6.36,0.1698,6.36,4.62,46.78,0.36,0,0,0,0,0,0,11.46,11.46,0,1.56,24.66,11.46,11.46,17,0,100,,115,27,2.7,5.20,1.2,10,8,8,45,91,91,,,,,,,,,,,5.08,3.69,37.47,0.25,,,,,,,
Darius Slayton,,0,WR,5000,NYG,vs DET,20,23.75,8.5,5.4,10.6,0,0,0,0,0,0,0,0,0,7.12,0.2351,7.12,3.83,53.89,0.36,0,0,0,0,0,0,11.38,11.38,0,0,28.38,11.38,11.38,18,0,100,,54,9,2.3,13.60,2.7,29,34,34,38,92,92,,,,,,,,0.06,-0.29,,5.43,2.92,44.02,0.31,,,,,,,
Najee Harris,,0,RB,5500,PIT,vs CIN,16,18.25,7.9,16.8,10.9,0,0,0,0,0,0.5237,13.94,52.56,0.25,17.24,0.1073,3.3,2.65,14.29,0.08,0,0,0,0,0,0,11.32,11.32,0,0,27.12,11.32,11.32,3,0,100,,11,47,2.1,27.60,5,23,25,25,33,93,93,0.04,0.04,0.14,,,,2.98,16.14,60.86,0.29,4.5,3.61,20.89,0.18,,,,,,,
Michael Gallup,,0,WR,5100,DAL,@ MIN,28,25.25,7.8,10.5,6.5,0,0,0,0,0,0,0,0,0,6.74,0.1798,6.74,3.72,54.87,0.34,0,0,0,0,0,0,11.25,11.25,0,0,26.85,11.25,11.25,42,0,100,,98,27,2.2,7.10,1.4,28,35,35,37,94,94,,,,,,,,,,,6.34,3.5,51.76,0.27,,,,,,,
Hayden Hurst,,0,TE,3500,CIN,@ PIT,7,21.25,4.8,5.4,8.9,0,0,0,0,0,0,0,0,0,6.2,0.1944,6.2,4.41,44.21,0.39,0,0,0,0,0,0,11.17,11.17,0,3.97,20.77,11.17,11.17,18,0,100,,118,27,3.2,4.80,1.4,18,9,9,53,95,95,,,,,,,,0.02,,,3.67,2.61,25.94,0.23,,,,,,,
Jerick McKinnon,,0,RB,5100,KC,@ LAC,28,28.75,7.2,7.3,7.2,0,0,0,0,0,0.0839,2.13,8.31,0.05,8.4,0.1434,6.27,4.7,38.17,0.25,0,0,0,0,0,0,11.15,11.15,0,0.35,25.55,11.15,11.15,47,0,100,,140,17,2.2,2.40,0.5,27,26,26,37,96,96,0.01,,,,,,0.48,6.49,25.33,0.16,3.35,2.51,19.68,0.11,,,,,,,
Van Jefferson,,0,WR,4500,LAR,@ NO,13,18.75,5.7,9,5.9,0,0,0,0,0,0,0,0,0,6.4,0.2036,6.4,3.66,52.03,0.38,0,0,0,0,0,0,11.14,11.14,0,2.59,22.54,11.14,11.14,42,0,100,,98,20,2.5,7.10,1.6,34,36,36,43,97,97,,,,,,,,0.11,0.92,,4.11,2.35,32.35,0.24,,,,,,,
T.J. Hockenson,,0,TE,5300,MIN,vs DAL,6,23.25,7.8,12.1,12.9,0,0,0,0,0,0,0,0,0,6.75,0.2065,6.75,4.46,46.21,0.34,0,0,0,0,0,0,11.12,11.12,0,0,26.72,11.12,11.12,10,0,100,,89,26,2.1,8.40,1.6,5,10,10,35,98,98,,,,,,,,0.02,,,6.24,4.12,44.55,0.31,,,,,,,
DeVonta Smith,,0,WR,6200,PHI,@ IND,2,25.75,8.2,11.4,12.7,0,0,0,0,0,0,0,0,0,6.56,0.2045,6.56,4.25,52.94,0.25,0,0,0,0,0,0,11.04,11.04,0,0,27.44,11.04,11.04,17,0,100,,52,31,1.8,13.80,2.2,17,37,37,26,99,99,,,,,,,,,,,6.52,4.22,53.96,0.3,,,,,,,
Devin Duvernay,,0,WR,5000,BAL,vs CAR,18,27.25,4.9,4.8,10.9,0,0,0,0,0,0,0,0,0,6.25,0.1834,6.25,4.59,45.54,0.3,0,0,0,0,0,0,10.94,10.94,0,3.59,20.74,10.94,10.94,70,0,100,,147,18,2.2,1.70,0.3,29,38,38,38,100,100,,,,,,,,0.47,4.61,0.03,2.79,2.05,20.82,0.13,,,,,,,
Cole Kmet,,0,TE,4100,CHI,@ ATL,14,23.25,5.5,7.1,8.1,0,0,0,0,0,0,0,0,0,6.89,0.2187,6.89,4.52,44.71,0.28,0,0,0,0,0,0,10.67,10.67,0,2.42,21.67,10.67,10.67,15,0,100,,102,17,2.6,6.50,1.6,12,11,11,47,101,101,,,,,,,,0.1,0.15,,4.24,2.78,27.93,0.17,,,,,,,
Donovan Peoples-Jones,,0,WR,4600,CLE,@ BUF,19,21.25,6.5,8.7,9.5,0,0,0,0,0,0,0,0,0,6.01,0.189,6.01,3.75,58.16,0.18,0,0,0,0,0,0,10.65,10.65,0,0.9,23.65,10.65,10.65,12,0,100,,39,24,2.3,17.10,3.7,33,39,39,42,102,102,,,,,,,,0.03,0.06,,4.39,2.74,46.71,0.16,,,,,,,
Patriots,,0,DST,3700,NE,vs NYJ,11,17.75,7.2,8.5,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,1.26,0.69,0,0.34,17.75,10.61,10.61,0,0,25.01,10.61,10.61,2,0,100,,41,18,2.9,17.00,4.6,4,1,1,51,103,103,,,,,,,,,,,,,,,2.41,1.05,0.5,0.19,0.05,18.24,336.46
Jamaal Williams,,0,RB,6000,DET,@ NYG,9,20.75,7.7,9.2,14.8,0,0,0,0,0,0.6444,18.6,74.72,0.5,18.6,0,0,0,0,0,0,0,0,0,0,0,10.47,10.47,0,0,25.87,10.47,10.47,5,0,100,,17,20,1.7,24.40,4.1,18,27,27,28,104,104,,,,,,,,9.74,39.13,0.26,2.42,1.95,14.37,0.1,,,,,,,
George Kittle,,0,TE,5400,SF,@ ARI,20,26.00,9.4,13.3,10.6,0,0,0,0,0,0,0,0,0,5.44,0.1698,5.44,3.89,50.87,0.24,0,0,0,0,0,0,10.42,10.42,0,0,29.22,10.42,10.42,2,0,100,,17,29,1.9,24.40,4.5,4,12,12,34,105,105,,,,,,,,0.13,0.84,,6.62,4.73,62.07,0.28,,,,,,,
D.J. Chark,,0,WR,4200,DET,@ NYG,16,20.75,9.3,11.5,7.6,0,0,0,0,0,0,0,0,0,6.13,0.1802,6.13,3.34,48.24,0.32,0,0,0,0,0,0,10.08,10.08,0,0,28.68,10.08,10.08,76,0,100,,163,15,2.4,0.00,,37,40,40,46,106,106,,,,,,,,0.04,0.44,,6.36,3.47,49.04,0.38,,,,,,,
Cordarrelle Patterson,,0,RB,6200,ATL,vs CHI,32,25.25,7,15,14.4,0,0,0,0,0,0.3279,9.98,46.83,0.41,11.74,0.058,1.76,1.31,11.81,0.07,0,0,0,0,0,0,10.05,10.05,0,0,24.05,10.05,10.05,18,0,100,,60,4,1.6,12.90,2.1,16,28,28,26,107,107,0.01,,,,,,0.38,3.67,17.22,0.15,2.61,1.94,17.99,0.1,,,,,,,
Josh Palmer,,0,WR,5900,LAC,vs KC,25,23.75,6,6.2,10.7,0,0,0,0,0,0,0,0,0,6.22,0.1666,6.22,4.07,42.18,0.29,0,0,0,0,0,0,10.03,10.03,0,1.03,22.03,10.03,10.03,3,0,100,,5,23,1.7,33.60,5.7,20,41,41,29,108,108,,,,,,,,0.09,0.43,,4.65,3.04,32.3,0.22,,,,,,,
Damien Harris,,0,RB,5800,NE,vs NYJ,23,20.75,7.1,14.5,9.1,0,0,0,0,0,0.35,9.29,43.13,0.44,11.19,0.0682,1.9,1.58,10.93,0.05,0,0,0,0,0,0,9.93,9.93,0,0,24.13,9.93,9.93,21,0,100,,69,39,1.7,11.30,1.9,20,29,29,30,109,109,,,,,,,,12.44,57.76,0.59,1.24,1.03,7,,,,,,,,
Christian Watson,,0,WR,4900,GB,vs TEN,29,21.75,11.2,0,8.9,0,0,0,0,0,0,0,0,0,4.51,0.1462,4.51,2.87,37.99,0.54,0,0,0,0,0,0,9.91,9.91,0,0,32.31,9.91,9.91,9,0,100,,26,0,2,21.10,4.3,30,42,42,39,110,110,,,,,,,,0.43,2.71,0.14,3.14,2,27.86,0.43,,,,,,,
Ravens,,0,DST,4000,BAL,vs CAR,24,14.25,6.8,4.7,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,1.27,0.85,0,0.14,14.25,9.88,9.88,0,0,23.48,9.88,9.88,2,0,100,,41,13,2.5,17.00,4.3,1,2,2,48,111,111,,,,,,,,,,,,,,,2.32,0.79,0.52,0.22,0.02,20.13,329.75
Demarcus Robinson,,0,WR,4000,BAL,vs CAR,18,27.25,5.6,4.8,4.7,0,0,0,0,0,0,0,0,0,5.81,0.1705,5.81,3.62,41.51,0.34,0,0,0,0,0,0,9.81,9.81,0,1.41,21.01,9.81,9.81,5,0,100,,16,2,2.5,24.80,6.2,39,43,43,48,112,112,,,,,,,,,,,3.32,2.07,24.29,0.19,,,,,,,
Parris Campbell,,0,WR,4300,IND,vs PHI,4,19.75,6.3,5.4,9.7,0,0,0,0,0,0,0,0,0,5.73,0.1921,5.73,3.91,38.94,0.31,0,0,0,0,0,0,9.66,9.66,0,0.21,22.26,9.66,9.66,27,0,100,,67,14,2.2,11.70,2.7,36,44,44,45,113,113,,,,,,,,0.32,3.16,,4.28,2.92,29.32,0.2,,,,,,,
Eagles,,0,DST,3900,PHI,@ IND,30,19.75,6.5,6.3,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,1.49,0.81,0,0.11,19.75,9.59,9.59,0,0,22.59,9.59,9.59,9,0,100,,100,16,2.5,7.00,1.8,2,3,3,49,114,114,,,,,,,,,,,,,,,2.45,0.84,0.56,0.23,0.02,21.91,351.17
Tyler Conklin,,0,TE,3400,NYJ,@ NE,27,17.75,5.6,8.1,9.2,0,0,0,0,0,0,0,0,0,6.25,0.1921,6.25,4.36,39.84,0.19,0,0,0,0,0,0,9.48,9.48,0,1.08,20.68,9.48,9.48,26,0,100,,130,16,2.8,3.50,1,19,13,13,54,115,115,,,,,,,,0.02,0.02,,4.14,2.89,28.25,0.16,,,,,,,
Jaylen Warren,!,0,RB,4900,PIT,vs CIN,16,18.25,4,0,5.2,0,0,0,0,0,0.3267,8.7,43.52,0.24,10.86,0.0702,2.16,1.91,15.15,0.04,0,0,0,0,0,0,9.46,9.46,0,3.46,17.46,9.46,9.46,48,0,100,,145,23,1.9,1.90,0.4,29,30,30,39,116,116,,,,,,,,4.22,21.11,,1.89,1.67,14.22,,,,,,,,
Corey Davis,!,0,WR,4200,NYJ,@ NE,15,17.75,8.3,12.1,9.4,0,0,0,0,0,0,0,0,0,5.85,0.18,5.85,3.5,46.31,0.21,0,0,0,0,0,0,9.39,9.39,0,0,25.99,9.39,9.39,76,0,100,,163,20,2.2,0.00,,37,45,45,46,117,117,,,,,,,,0.08,0.71,,5.9,3.53,50,0.26,,,,,,,
A.J. Dillon,,0,RB,5700,GB,vs TEN,1,21.75,7.2,10.8,7.7,0,0,0,0,0,0.4565,11.61,50.58,0.29,13.17,0.0505,1.56,1.27,10.15,0.04,0,0,0,0,0,0,9.32,9.32,0,0,23.72,9.32,9.32,44,0,100,,132,13,1.6,3.30,0.6,21,31,31,31,118,118,,,,,,,,9.23,40.21,0.23,1.67,1.36,11.44,0.05,,,,,,,
David Njoku,,0,TE,3900,CLE,@ BUF,3,21.25,6.1,7.4,11.5,0,0,0,0,0,0,0,0,0,5.71,0.1797,5.71,3.71,40.39,0.25,0,0,0,0,0,0,9.25,9.25,0,0.1,21.45,9.25,9.25,24,0,100,,128,18,2.4,3.70,0.9,14,14,14,49,119,119,,,,,,,,0.04,-0.06,,4.17,2.71,32.43,0.23,,,,,,,
Noah Brown,,0,WR,3700,DAL,@ MIN,28,25.25,4.2,3.8,8.2,0,0,0,0,0,0,0,0,0,6.73,0.1797,6.73,4.03,47.12,0.08,0,0,0,0,0,0,9.22,9.22,0,2.92,17.62,9.22,9.22,45,0,100,,105,0,2.5,6.20,1.7,42,46,46,51,120,120,,,,,,,,0.03,0.1,,2.87,1.72,20.15,0.03,,,,,,,
Wan'Dale Robinson,!,0,WR,4600,NYG,vs DET,20,23.75,4.5,0,6.4,0,0,0,0,0,0,0,0,0,5.26,0.1736,5.26,4.09,34.65,0.26,0,0,0,0,0,0,9.12,9.12,0,2.37,18.12,9.12,9.12,7,0,100,,22,30,2,22.40,4.9,33,47,47,42,121,121,,,,,,,,0.2,-1,,3.6,2.8,25.4,0.2,,,,,,,
Kareem Hunt,,0,RB,5100,CLE,@ BUF,11,21.25,9.5,13.8,9.8,0,0,0,0,0,0.2342,5.71,25.83,0.23,8.56,0.0895,2.85,2.29,18.08,0.15,0,0,0,0,0,0,8.96,8.96,0,0,27.96,8.96,8.96,28,0,100,,95,39,1.8,7.40,1.5,27,32,32,37,122,122,,,,,,,,12.41,56.13,0.49,3.52,2.83,24.55,0.24,,,,,,,
Nico Collins,,0,WR,4100,HOU,vs WAS,30,19.25,4,6,9.2,0,0,0,0,0,0,0,0,0,6.25,0.187,6.25,3.47,47.54,0.12,0,0,0,0,0,0,8.94,8.94,0,2.94,16.94,8.94,8.94,34,0,100,,78,43,2.2,9.80,2.4,38,48,48,47,123,123,,,,,,,,,,,4.81,2.67,38.1,0.1,,,,,,,
Jahan Dotson,,0,WR,4400,WAS,@ HOU,8,22.25,6.9,0,10.9,0,0,0,0,0,0,0,0,0,4.13,0.123,4.13,2.33,29.48,0.6,0,0,0,0,0,0,8.88,8.88,0,0,22.68,8.88,8.88,64,0,100,,138,37,2,2.60,0.6,35,49,49,44,124,124,,,,,,,,0.2,-2,,4.6,2.6,33.2,0.8,,,,,,,
Chase Claypool,,0,WR,4800,CHI,@ ATL,32,23.25,8.5,10.9,8.4,0,0,0,0,0,0,0,0,0,5.46,0.1732,5.46,3.13,40.42,0.27,0,0,0,0,0,0,8.79,8.79,0,0,25.79,8.79,8.79,61,0,100,,134,27,1.8,3.10,0.6,31,50,50,40,125,125,0.02,0.02,0.02,,,0.02,2.76,0.77,3.98,0.05,6.65,3.81,49.98,0.33,,,,,,,
Rex Burkhead,,0,RB,4400,HOU,vs WAS,2,19.25,7.3,7.2,6.4,0,0,0,0,0,0.102,2.57,10.18,0.1,6.98,0.132,4.41,3.4,27.43,0.16,0,0,0,0,0,0,8.72,8.72,0,0,23.32,8.72,8.72,61,0,100,,163,6,2,0.00,,34,33,33,44,126,126,0.02,,,,,,0.86,5.52,21.86,0.21,2.63,2.03,17.04,0.1,,,,,,,
