,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Cowboys,,0,DST,3400,DAL,@ TB,17,21.75,6,10.3,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0.91,0.97,0,0.18,21.75,7.93,7.93,0,0,19.93,7.93,7.93,0,100,,12,2.3,3,3,3,43,69,69,,,,,,,,,,,,,,,2.32,0.72,0.61,0.15,0.01,21.71,348.67
Isaiah McKenzie,!,0,WR,3400,BUF,vs MIA,2,28.25,6,4.1,8,0,0,0,0,0,0,0,0,0,4.69,0.1358,4.69,3.24,29.38,0.24,0,0,0,0,0,0,7.62,7.62,0,0,19.62,7.62,7.62,0,100,,0,2.2,29,31,31,43,70,70,0.01,0.01,0.17,,,0.01,2.2,0.77,3.99,0.06,3.1,2.14,20.14,0.17,,,,,,,
Noah Brown,,0,WR,3100,DAL,@ TB,16,23.75,5,3.8,7.7,0,0,0,0,0,0,0,0,0,5.23,0.1515,5.23,3.08,36.03,0.13,0,0,0,0,0,0,7.46,7.46,0,0,17.46,7.46,7.46,0,100,,0,2.4,32,32,32,46,71,71,,,,,,,,0.02,0.09,,3.11,1.83,21.72,0.07,,,,,,,
Bengals,,0,DST,3500,CIN,vs BAL,29,15.75,5,6.6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0.94,0.8,0,0.07,15.75,7.08,7.08,0,0,17.08,7.08,7.08,0,100,,14,2,2,4,4,42,72,72,,,,,,,,,,,,,,,2.12,0.88,0.37,0.1,0.01,22.51,369.83
Isaiah Likely,,0,TE,3300,BAL,@ CIN,9,15.75,6.4,0,6.7,0,0,0,0,0,0,0,0,0,5.14,0.1913,5.14,3.08,27.98,0.16,0,0,0,0,0,0,6.84,6.84,0,0,19.64,6.84,6.84,0,100,,4,2.1,8,10,10,44,73,73,,,,,,,,,,,4.29,2.57,26.64,0.21,,,,,,,
DeAndre Carter,,0,WR,3600,LAC,@ JAC,15,24.75,4.9,5.1,6.7,0,0,0,0,0,0,0,0,0,3.96,0.0909,3.96,2.75,30.55,0.16,0,0,0,0,0,0,6.77,6.77,0,0,16.57,6.77,6.77,0,100,,17,1.9,27,33,33,41,74,74,,,,,,,,0.29,1.75,,3.27,2.27,26.23,0.13,,,,,,,
Jauan Jennings,,0,WR,3300,SF,vs SEA,4,25.50,5.5,5.8,5.2,0,0,0,0,0,0,0,0,0,3.67,0.1174,3.67,2.29,25.54,0.27,0,0,0,0,0,0,6.46,6.46,0,0,17.46,6.46,6.46,0,100,,0,2,30,34,34,44,75,75,,,,,,,,,,,3.25,2.03,23.16,0.19,,,,,,,
JaMycal Hasty,,0,RB,4600,JAC,vs LAC,23,22.75,4.8,3.7,5,0,0,0,0,0,0.1688,4.85,19.68,0.19,7.34,0.0652,2.49,1.93,11.63,0.04,0,0,0,0,0,0,6.44,6.44,0,0,16.04,6.44,6.44,0,100,,2,1.4,21,16,16,31,76,76,,,,,,,,3.26,13.23,0.13,2.13,1.65,10.39,0.03,,,,,,,
Noah Fant,,0,TE,3100,SEA,@ SF,13,16.50,5.9,9.9,7.2,0,0,0,0,0,0,0,0,0,3.82,0.1364,3.82,2.69,27.45,0.16,0,0,0,0,0,0,6.4,6.4,0,0,18.2,6.4,6.4,0,100,,32,2.1,10,11,11,46,77,77,,,,,,,,0.05,-0.19,,4.95,3.49,37.95,0.22,,,,,,,
Jaguars,,0,DST,2700,JAC,vs LAC,14,24.75,6.6,3.5,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0.78,0.67,0,0.23,24.75,6.23,6.23,0,0,19.43,6.23,6.23,0,100,,0,2.3,8,5,5,49,78,78,,,,,,,,,,,,,,,2.25,0.71,0.47,0.22,0.02,23.68,356.15
Seahawks,,0,DST,2400,SEA,@ SF,1,25.5,5,5.4,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0.81,0.59,0,0.12,25.5,6.15,6.15,0,0,16.15,6.15,6.15,0,100,,32,2.6,11,6,6,52,79,79,,,,,,,,,,,,,,,2.43,0.78,0.6,0.14,0.05,21.21,353.04
Kenyan Drake,,0,RB,4300,BAL,@ CIN,4,15.75,8.9,8.5,8.9,0,0,0,0,0,0.2031,5.5,24.52,0.21,7.33,0.0681,1.83,1.33,8.77,0.03,0,0,0,0,0,0,6.1,6.1,0,0,23.9,6.1,6.1,0,100,,17,1.4,24,17,17,34,80,80,,,,,,,,8.94,39.86,0.34,3.06,2.23,16.74,0.08,,,,,,,
DeeJay Dallas,!,0,RB,4300,SEA,@ SF,1,16.50,5.2,3.5,3.1,0,0,0,0,0,0.1885,4.3,18.21,0.16,6.46,0.0771,2.16,1.91,12.06,0.03,0,0,0,0,0,0,6.08,6.08,0,0,16.48,6.08,6.08,0,100,,5,1.4,24,18,18,34,81,81,0.03,,,0.03,,,,3.4,14.4,0.13,2.07,1.83,12.33,0.03,,,,,,,
Sammy Watkins,,0,WR,3300,BAL,@ CIN,30,15.75,9.4,6.5,5.3,0,0,0,0,0,0,0,0,0,3.71,0.1382,3.71,2.26,29.88,0.13,0,0,0,0,0,0,6.03,6.03,0,0,24.83,6.03,6.03,0,100,,13,1.8,30,35,35,44,82,82,0.01,,,0.01,0.01,,,0.12,0.84,,5.6,3.41,51.46,0.31,,,,,,,
Rachaad White,,0,RB,5100,TB,vs DAL,17,21.75,5.8,0,9.1,0,0,0,0,0,0.3789,7.64,28.49,0.06,9.44,0.0407,1.8,1.55,8.69,0.06,0,0,0,0,0,0,5.99,5.99,0,0,17.59,5.99,5.99,0,100,,36,1.2,16,19,19,26,83,83,,,,,,,,8.06,30.06,0.06,3.63,3.13,18.13,0.13,,,,,,,
Vikings,,0,DST,3200,MIN,vs NYG,19,22.75,5.9,7.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0.86,0.58,0,0.12,22.75,5.79,5.79,0,0,17.59,5.79,5.79,0,100,,19,1.8,5,7,7,45,84,84,,,,,,,,,,,,,,,2.51,0.89,0.54,0.19,0.03,21.61,348.68
Eli Mitchell,,0,RB,4700,SF,vs SEA,30,25.50,7.1,15.4,8.7,0,0,0,0,0,0.2713,9.24,42.46,0.24,9.24,0,0,0,0,0,0,0,0,0,0,0,5.69,5.69,0,0,19.89,5.69,5.69,0,100,,48,1.2,20,20,20,30,85,85,,,,,,,,16.16,74.26,0.42,1.74,1.53,10.58,0.05,,,,,,,
Chargers,,0,DST,3100,LAC,@ JAC,6,22.75,5.5,4.5,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.84,0.54,0.06,0.06,22.75,5.64,5.64,0,0,16.64,5.64,5.64,0,100,,11,1.8,6,8,8,46,86,86,,,,,,,,,,,,,,,2.17,0.82,0.5,0.15,0.02,23.11,347.35
Ravens,,0,DST,2500,BAL,@ CIN,2,24.75,6.7,4.7,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0.76,0.55,0,0.06,24.75,5.61,5.61,0,0,19.01,5.61,5.61,0,100,,14,2.2,10,9,9,51,87,87,,,,,,,,,,,,,,,2.34,0.78,0.52,0.21,0.02,19.81,327.65
T.Y. Hilton,,0,WR,3200,DAL,@ TB,16,23.75,9.2,7.4,6.4,0,0,0,0,0,0,0,0,0,3.14,0.0909,3.14,1.82,27.63,0.16,0,0,0,0,0,0,5.54,5.54,0,0,23.94,5.54,5.54,0,100,,31,1.7,31,36,36,45,88,88,,,,,,,,,,,7.29,4.22,65.05,0.34,,,,,,,
Giants,,0,DST,3000,NYG,@ MIN,12,25.75,5.9,5,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0.34,0.75,0,0.12,25.75,5.26,5.26,0,0,17.06,5.26,5.26,0,100,,3,1.8,7,10,10,47,89,89,,,,,,,,,,,,,,,2.05,0.79,0.52,0.17,0.03,23.75,370.5
Buccaneers,,0,DST,2600,TB,vs DAL,3,23.75,6,8.1,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,0.55,0.55,0,0.06,23.75,5.04,5.04,0,0,17.04,5.04,5.04,0,100,,13,1.9,9,11,11,50,90,90,,,,,,,,,,,,,,,2.47,0.82,0.73,0.16,0.01,23.76,354.23
Cade Otton,,0,TE,2800,TB,vs DAL,8,21.75,4.8,0,6.7,0,0,0,0,0,0,0,0,0,3.46,0.0782,3.46,2.24,20.14,0.11,0,0,0,0,0,0,4.91,4.91,0,0,14.51,4.91,4.91,0,100,,28,1.8,12,12,12,48,91,91,,,,,,,,,,,4.64,3,27.93,0.14,,,,,,,
Irv Smith Jr.,,0,TE,2500,MIN,vs NYG,15,25.75,6,0,6.9,0,0,0,0,0,0,0,0,0,2.6,0.0628,2.6,1.81,17.49,0.22,0,0,0,0,0,0,4.88,4.88,0,0,16.88,4.88,4.88,0,100,,22,2,14,13,13,51,92,92,,,,,,,,,,,3.95,2.75,27.35,0.35,,,,,,,
Alexander Mattison,,0,RB,5200,MIN,vs NYG,22,25.75,7.1,8.3,5.2,0,0,0,0,0,0.1935,5.14,21.23,0.14,6.18,0.0252,1.04,0.86,6.3,0.04,0,0,0,0,0,0,4.69,4.69,0,0,18.89,4.69,4.69,0,100,,0,0.9,15,21,21,25,93,93,,,,,,,,6.72,27.75,0.18,1.41,1.16,8.79,0.05,,,,,,,
Trent Sherfield,,0,WR,3000,MIA,@ BUF,29,15.25,4.2,1.7,5.2,0,0,0,0,0,0,0,0,0,3.67,0.1213,3.67,2.02,20.59,0.08,0,0,0,0,0,0,4.56,4.56,0,0,12.96,4.56,4.56,0,100,,0,1.5,33,37,37,47,94,94,,,,,,,,,,,2.9,1.6,20.1,0.1,,,,,,,
Colby Parkinson,,0,TE,2500,SEA,@ SF,13,16.50,3.7,1.7,4.9,0,0,0,0,0,0,0,0,0,2.54,0.0909,2.54,1.85,20.07,0.11,0,0,0,0,0,0,4.52,4.52,0,0,11.92,4.52,4.52,0,100,,10,1.8,14,14,14,51,95,95,,,,,,,,,,,2.2,1.6,18.55,0.1,,,,,,,
Mike Gesicki,,0,TE,3200,MIA,@ BUF,2,15.25,7,9.9,5.8,0,0,0,0,0,0,0,0,0,3.31,0.1094,3.31,2.07,18.96,0.09,0,0,0,0,0,0,4.51,4.51,0,0,18.51,4.51,4.51,0,100,,10,1.4,9,15,15,45,96,96,0.01,,,,,,0.51,,,,4.74,2.96,33.55,0.23,,,,,,,
Trenton Irwin,,0,WR,3200,CIN,vs BAL,9,24.75,5.8,1.1,7,0,0,0,0,0,0,0,0,0,2,0.0566,2,1.2,17.2,0.24,0,0,0,0,0,0,4.36,4.36,0,0,15.96,4.36,4.36,0,100,,0,1.4,31,38,38,45,97,97,,,,,,,,0.08,0.92,,2.5,1.5,22.5,0.33,,,,,,,
Laquon Treadwell,,0,WR,3100,SEA,@ SF,25,16.50,3.9,6.9,3.4,0,0,0,0,0,0,0,0,0,2.86,0.1023,2.86,1.79,18.69,0.08,0,0,0,0,0,0,4.14,4.14,0,0,11.94,4.14,4.14,0,100,,13,1.3,32,39,39,46,98,98,,,,,,,,,,,2.98,1.86,20.78,0.08,,,,,,,
Dolphins,,0,DST,2300,MIA,@ BUF,8,28.25,6.8,8.9,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0.43,0.32,0.06,0.17,28.25,3.8,3.8,0,0,17.4,3.8,3.8,0,100,,0,1.7,12,12,12,53,99,99,,,,,,,,,,,,,,,2.11,0.87,0.43,0.22,0.03,24.34,370.33
Gus Edwards,!,0,RB,4600,BAL,@ CIN,4,15.75,5.6,0,6.7,0,0,0,0,0,0.1894,5.13,26.22,0.12,5.13,0,0,0,0,0,0,0,0,0,0,0,3.34,3.34,0,0,14.54,3.34,3.34,0,100,,22,0.7,21,22,22,31,100,100,,,,,,,,9.46,48.36,0.23,0.46,0.32,3.46,,,,,,,,
Samaje Perine,,0,RB,4900,CIN,vs BAL,2,24.75,7.1,5.2,9.1,0,0,0,0,0,0.2212,5.88,23.27,0.1,5.88,0,0,0,0,0,0,0,0,0,0,0,2.93,2.93,0,0,17.13,2.93,2.93,0,100,,0,0.6,18,23,23,28,101,101,,,,,,,,6.33,25.05,0.11,2.05,1.67,12.43,0.11,,,,,,,
Joshua Kelley,,0,RB,5000,LAC,@ JAC,12,24.75,3.9,2.3,5.4,0,0,0,0,0,0.2171,5.46,19.06,0.1,5.46,0,0,0,0,0,0,0,0,0,0,0,2.51,2.51,0,0,10.31,2.51,2.51,0,100,,22,0.5,17,24,24,27,102,102,,,,,,,,6.45,22.52,0.12,1.64,1.27,8.7,,,,,,,,
Matt Breida,,0,RB,4900,NYG,@ MIN,24,22.75,6.8,6.2,3.5,0,0,0,0,0,0.1064,3.43,16.35,0.05,3.43,0,0,0,0,0,0,0,0,0,0,0,1.94,1.94,0,0,15.54,1.94,1.94,0,100,,0,0.4,18,25,25,28,103,103,,,,,,,,6.78,32.31,0.1,1.71,1.32,10.86,0.08,,,,,,,
Larry Rountree III,,0,RB,4000,LAC,@ JAC,12,24.75,2,1.7,2.7,0,0,0,0,0,0.1515,3.81,8.24,0.08,3.81,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,0,0,5.3,1.3,1.3,0,100,,5,0.3,26,26,26,37,104,104,,,,,,,,4.9,10.6,0.1,0.4,0.3,1.3,,,,,,,,
Lamar Jackson,!,0,QB,6800,BAL,@ CIN,12,15.75,11.2,22.3,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,47,0,3,13,13,10,105,105,24.19,15.29,177.25,0.59,2.05,1.41,91.1,10.41,64.28,0.33,,,,,,,,,,,
Tua Tagovailoa,!,0,QB,6300,MIA,@ BUF,19,15.25,8.8,15,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,47,0,5,13,13,14,105,105,29.94,19.67,222.64,0.64,1.69,1.44,93.05,2.83,8.53,0.17,,,,,,,,,,,
Teddy Bridgewater,!,0,QB,5100,MIA,@ BUF,19,15.25,8.5,15.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,35,0,12,13,13,26,105,105,25.98,17.38,189.95,0.54,2,0.94,81.91,2.69,9.8,0.15,,,,,,,,,,,
Anthony Brown,,0,QB,5000,BAL,@ CIN,12,15.75,4.2,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,13,13,13,27,105,105,24.5,11,151,1,,,,1.5,-2.5,,,,,,,,,,,,
Case Keenum,,0,QB,4900,BUF,vs MIA,21,28.25,8.2,6.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,36,0,14,13,13,28,105,105,29.08,18.48,200.11,0.63,1.62,1.05,82.64,1.92,5.34,0.08,,,,,,,,,,,
Blaine Gabbert,,0,QB,4900,TB,vs DAL,29,21.75,8.1,0.3,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,13,0,14,13,13,28,105,105,19.71,11.76,129.13,0.61,1.71,0.74,67.83,3.13,11.82,0.08,,,,,,,,,,,
Chase Daniel,,0,QB,4900,LAC,@ JAC,27,24.75,6.1,-0.2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,14,13,13,28,105,105,9.9,6.9,64.3,0.3,1,0.4,57.6,1.55,1.05,,,,,,,,,,,,
Tyrod Taylor,,0,QB,4900,NYG,@ MIN,30,22.75,8.2,14.5,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,47,0,14,13,13,28,105,105,25.05,15.34,173.05,0.4,2.53,0.97,87.2,5.58,31.65,0.29,,,,,,,,,,,
Brandon Allen,,0,QB,4800,CIN,vs BAL,8,24.75,7.7,2.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,15,13,13,29,105,105,18.79,10.64,115.07,0.43,1.5,0.71,74.05,2.36,4.57,,,,,,,,,,,,
Davis Webb,,0,QB,4800,NYG,@ MIN,30,22.75,10.6,-0.3,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,15,13,13,29,105,105,20,11.5,84,,,0.5,37.9,4,19,0.5,,,,,,,,,,,
Cooper Rush,,0,QB,4800,DAL,@ TB,32,23.75,7.1,7.3,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,15,13,13,29,105,105,15.14,8.93,105.36,0.29,0.71,0.57,82.49,1.43,0.79,,,,,,,,,,,,
Josh Johnson,,0,QB,4700,SF,vs SEA,7,25.50,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,16,13,13,30,105,105,,,,,,,,,,,,,,,,,,,,,
C.J. Beathard,,0,QB,4700,JAC,vs LAC,6,22.75,8.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,18,0,16,13,13,30,105,105,22.17,13.04,153.78,0.61,2.04,0.78,72.45,2.43,10.04,0.17,,,,,,,,,,,
Nick Mullens,,0,QB,4700,MIN,vs NYG,10,25.75,7.8,9.9,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,38,0,16,13,13,30,105,105,27.29,17.83,211.88,0.96,1.5,1.13,86.66,1.42,-0.13,,,,,,,,,,,,
Drew Lock,,0,QB,4600,SEA,@ SF,18,16.50,8.6,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,39,0,17,13,13,31,105,105,29.58,17.54,197.5,0.83,1.38,1.04,78.59,3,11.88,0.21,,,,,,,,,,,
Nyheim Hines,,0,RB,4500,BUF,vs MIA,7,28.25,6.1,6.7,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,26,0,22,27,27,32,105,105,,,,,,,,3.84,15.87,0.12,3.82,2.95,21.78,0.1,,,,,,,
Chris Evans,,0,RB,4400,CIN,vs BAL,2,24.75,4.8,4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,23,27,27,33,105,105,,,,,,,,1.19,5.63,,1.44,1.19,12,0.19,,,,,,,
Isaiah Spiller,,0,RB,4400,LAC,@ JAC,12,24.75,1.7,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,23,27,27,33,105,105,,,,,,,,3.6,8.2,,0.6,0.6,2.6,,,,,,,,
Jordan Mason,,0,RB,4300,SF,vs SEA,30,25.50,2.3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,43,0,24,27,27,34,105,105,,,,,,,,5.38,32.25,0.13,,,,,,,,,,,
Gary Brightwell,,0,RB,4200,NYG,@ MIN,24,22.75,3,0.3,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,3,0,25,27,27,35,105,105,,,,,,,,3.2,14.5,0.1,0.9,0.6,4.5,,,,,,,,
Malik Davis,,0,RB,4200,DAL,@ TB,13,23.75,2.4,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,58,0,25,27,27,35,105,105,,,,,,,,6.33,26.83,0.17,1.17,1,10.5,,,,,,,,
Jimmy Garoppolo,!,0,QB,4000,SF,vs SEA,7,25.50,8.3,15.8,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,40,0,18,13,13,37,105,105,25.1,16.82,206.45,0.66,1.73,1.23,89.94,2.29,3.04,0.1,,,,,,,,,,,
Trey Lance,!,0,QB,4000,SF,vs SEA,7,25.50,7.4,11.2,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,26,0,18,13,13,37,105,105,12.75,7,99.63,0.38,0.75,0.63,71.03,6.75,29.38,0.13,,,,,,,,,,,
Tyrion Davis-Price,,0,RB,4000,SF,vs SEA,30,25.50,1.3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,35,0,26,27,27,37,105,105,,,,,,,,6.8,19.8,,0.4,,,,,,,,,,
Kyle Juszczyk,,0,RB,4000,SF,vs SEA,30,25.50,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,,,,,,,,,,,,,,
Tevin Coleman,,0,RB,4000,SF,vs SEA,30,25.50,7.9,4.7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,18,0,26,27,27,37,105,105,,,,,,,,9.04,38.33,0.29,2.08,1.48,14.78,0.15,,,,,,,
E.J. Perry,,0,QB,4000,JAC,vs LAC,6,22.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,18,13,13,37,105,105,,,,,,,,,,,,,,,,,,,,,
Snoop Conner,,0,RB,4000,JAC,vs LAC,23,22.75,2.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,2.4,8.4,0.2,,,,,,,,,,,
Mekhi Sargent,,0,RB,4000,JAC,vs LAC,23,22.75,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,67,0,26,27,27,37,105,105,,,,,,,,1.25,2.75,,0.25,,,,,,,,,,
Matt Barkley,,0,QB,4000,BUF,vs MIA,21,28.25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,22,0,18,13,13,37,105,105,24.08,14,184.54,1.38,0.69,0.85,72.02,1.38,-0.77,,,,,,,,,,,,
Taiwan Jones,,0,RB,4000,BUF,vs MIA,7,28.25,1.9,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,5,0,26,27,27,37,105,105,,,,,,,,0.91,2.91,,1.18,0.73,10.09,,,,,,,,
Duke Johnson,,0,RB,4000,BUF,vs MIA,7,28.25,6.3,13,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,37,0,26,27,27,37,105,105,0.01,,,,,,0.4,5.42,23.45,0.11,4.2,3.22,29.53,0.12,,,,,,,
Reggie Gilliam,,0,RB,4000,BUF,vs MIA,7,28.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,,,,,,,,,,,,,,
Josh Rosen,,0,QB,4000,MIN,vs NYG,10,25.75,5.4,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,23,0,18,13,13,37,105,105,23.32,12.59,130.18,0.95,2.77,0.55,47.8,1.18,6.86,,,,,,,,,,,,
Kene Nwangwu,,0,RB,4000,MIN,vs NYG,22,25.75,2.1,2.6,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,42,0,26,27,27,37,105,105,,,,,,,,2.75,9.38,,0.88,0.75,3.75,,,,,,,,
Ty Chandler,,0,RB,4000,MIN,vs NYG,22,25.75,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,6,20,,,,,,,,,,,,
C.J. Ham,,0,RB,4000,MIN,vs NYG,22,25.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,,,,,,,,,,,,,,
Bryant Koback,,0,RB,4000,MIN,vs NYG,22,25.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,,,,,,,,,,,,,,
Jake Browning,,0,QB,4000,CIN,vs BAL,8,24.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,18,13,13,37,105,105,,,,,,,,,,,,,,,,,,,,,
Trayveon Williams,,0,RB,4000,CIN,vs BAL,2,24.75,2.9,1.6,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,6,0,26,27,27,37,105,105,,,,,,,,3.92,19.83,,0.83,0.67,5.33,,,,,,,,
Elijah Holyfield,!,0,RB,4000,CIN,vs BAL,2,24.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,,,,,,,,,,,,,,
Kyle Trask,,0,QB,4000,TB,vs DAL,29,21.75,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,18,13,13,37,105,105,9,3,23,,,,42.4,,,,,,,,,,,,,,
Ke'Shawn Vaughn,,0,RB,4000,TB,vs DAL,17,21.75,4.6,7.3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,5.32,21.89,0.16,1.32,0.74,4.63,0.05,,,,,,,
Giovani Bernard,,0,RB,4000,TB,vs DAL,17,21.75,6.9,6.5,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,21,0,26,27,27,37,105,105,,,,,,,,6.12,24.55,0.13,3.66,2.72,21.46,0.09,,,,,,,
Patrick Laird,,0,RB,4000,TB,vs DAL,17,21.75,4.5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,6,0,26,27,27,37,105,105,,,,,,,,3.8,12.2,0.05,2.25,1.8,14.45,,,,,,,,
