,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Colt McCoy,,0,QB,4900,ARI,@ LAR,11,17.75,7.5,6.6,0,1,33.81,237.25,1.2,0.8,0.1031,2.58,6.89,0.1,2.58,0,0,0,0,0,0,0,0,0,0,0,14.78,14.78,0,3.53,29.78,14.78,14.78,23,0,100,,63,0,3,13.92,2.8,22,24,24,40,62,62,16.06,10.81,108.56,0.38,1.5,0.5,72.17,2.88,7.69,,,,,,,,,,,,
Donovan Peoples-Jones,,0,WR,4300,CLE,@ MIA,24,23.25,6.5,8.7,8.9,0,0,0,0,0,0,0,0,0,8.33,0.2401,8.33,5.26,80.06,0.25,0,0,0,0,0,0,14.77,14.77,0,5.02,27.77,14.77,14.77,22,0,100,,57,22,3.4,14.90,3.5,37,21,21,46,63,63,,,,,,,,0.03,0.07,,4.23,2.67,44.97,0.17,,,,,,,
Tyler Lockett,,0,WR,6300,SEA,@ TB,19,21.25,9.9,16,15.4,0,0,0,0,0,0,0,0,0,7.21,0.2577,7.21,5.17,67.13,0.46,0,0,0,0,0,0,14.64,14.64,0,0,34.44,14.64,14.64,28,0,100,,68,25,2.3,13.20,2.1,17,22,22,26,64,64,,,,,,,,0.32,2.12,0.01,5.83,4.18,57.09,0.41,,,,,,,
John Wolford,,0,QB,4900,LAR,vs ARI,21,20.75,6,-0.5,0,1,30.97,205.63,1.52,1.29,0.0714,1.65,10.45,0.06,1.65,0,0,0,0,0,0,0,0,0,0,0,14.42,14.42,0,5.42,26.42,14.42,14.42,25,0,100,,79,0,2.9,10.78,2.2,22,25,25,40,65,65,12,6.5,66.25,0.5,1,,46.2,2.25,14.25,,,,,,,,,,,,
Raheem Mostert,,0,RB,6100,MIA,vs CLE,30,26.25,9.7,2,10.2,0,0,0,0,0,0.4271,12.66,68.64,0.51,15.39,0.0765,2.73,1.94,16.53,0.14,0,0,0,0,0,0,14.36,14.36,0,0,33.76,14.36,14.36,9,0,100,,39,7,2.4,18.70,3.1,19,19,19,28,66,66,,,,,,,,9.72,52.7,0.39,1.59,1.13,10.13,0.09,,,,,,,
Jeff Wilson,,0,RB,5500,MIA,vs CLE,30,26.25,8.6,7.8,10.6,0,0,0,0,0,0.442,13.1,58.69,0.5,16.46,0.0942,3.36,2.27,18.73,0.21,0,0,0,0,0,0,14.27,14.27,0,1.37,31.47,14.27,14.27,4,0,100,,14,11,2.6,25.30,4.6,25,20,20,34,67,67,,,,,,,,9.73,43.59,0.37,1.78,1.2,10.44,0.12,,,,,,,
Robert Tonyan,,0,TE,3700,GB,vs DAL,7,20.75,6.5,6.3,8.4,0,0,0,0,0,0,0,0,0,6.79,0.2056,6.79,5.41,51.96,0.61,0,0,0,0,0,0,14.27,14.27,0,4.52,27.27,14.27,14.27,31,0,100,,145,16,3.9,1.80,0.5,12,2,2,52,67,67,,,,,,,,,,,3.4,2.71,28.42,0.35,,,,,,,
Najee Harris,,0,RB,5500,PIT,vs NO,21,20.25,8,16.8,11.1,0,0,0,0,0,0.7096,18.5,68.73,0.35,22.27,0.1154,3.77,3.05,16.32,0.1,0,0,0,0,0,0,14.26,14.26,0,2.26,30.26,14.26,14.26,25,0,100,,87,47,2.6,9.90,1.8,25,21,21,34,68,68,0.04,0.04,0.15,,,,3.09,16,59.44,0.3,4.63,3.74,21.67,0.19,,,,,,,
Taylor Heinicke,,0,QB,5300,WAS,@ PHI,8,15.75,8.2,15.2,17.7,1,27.11,185.4,1.4,0.88,0.1227,3.06,15.54,0.08,3.06,0,0,0,0,0,0,0,0,0,0,0,14.17,14.17,0,1.87,30.57,14.17,14.17,27,0,100,,103,34,2.7,7.44,1.4,18,26,26,36,69,69,25.76,16.6,175.12,0.84,1.88,1.04,87.08,3.12,15.84,0.08,,,,,,,,,,,
DK Metcalf,,0,WR,6500,SEA,@ TB,19,21.25,8.7,14.5,13.1,0,0,0,0,0,0,0,0,0,7.52,0.2685,7.52,4.57,63.36,0.54,0,0,0,0,0,0,14.15,14.15,0,1.1,31.55,14.15,14.15,29,0,100,,69,42,2.2,13.10,2,15,23,23,24,70,70,,,,,,,,0.05,0.28,,7.39,4.49,65.49,0.59,,,,,,,
Brandin Cooks,,0,WR,5300,HOU,@ NYG,22,18.25,9.1,15.2,10.5,0,0,0,0,0,0,0,0,0,7.95,0.2303,7.95,5.14,68.43,0.36,0,0,0,0,0,0,14.14,14.14,0,0.49,32.34,14.14,14.14,46,0,100,,98,38,2.7,8.20,1.5,27,24,24,36,71,71,,,,,,,,0.36,1.96,0.01,7.49,4.84,68.07,0.37,,,,,,,
Chris Olave,,0,WR,6800,NO,@ PIT,31,19.25,5.5,0,15.5,0,0,0,0,0,0,0,0,0,8.92,0.2811,8.92,5.33,73.92,0.23,0,0,0,0,0,0,14.1,14.1,0,5.85,25.1,14.1,14.1,52,0,100,,108,65,2.1,7.00,1,13,25,25,21,72,72,,,,,,,,,,,9,5.38,77.25,0.25,,,,,,,
Adam Thielen,,0,WR,5400,MIN,@ BUF,17,20.25,10.2,15.6,11.7,0,0,0,0,0,0,0,0,0,7.29,0.2197,7.29,5.01,60.65,0.48,0,0,0,0,0,0,13.96,13.96,0,0,34.36,13.96,13.96,40,0,100,,87,29,2.6,9.90,1.8,26,26,26,35,73,73,0.01,,,0.01,,,-3.8,0.19,1.57,0.01,6.9,4.74,60.06,0.46,,,,,,,
Tony Pollard,,0,RB,6500,DAL,@ GB,22,23.75,8,10.6,13.8,0,0,0,0,0,0.4675,13.38,70.91,0.43,16.19,0.0788,2.81,2.13,16.89,0.06,0,0,0,0,0,0,13.85,13.85,0,1.85,29.85,13.85,13.85,5,0,100,,16,13,2.1,24.80,3.8,15,22,22,24,74,74,,,,,,,,7.44,39.43,0.24,2.35,1.78,14.24,0.04,,,,,,,
Kareem Hunt,,0,RB,5300,CLE,@ MIA,19,23.25,9.4,13.8,10.7,0,0,0,0,0,0.2864,8.07,36.67,0.32,12.66,0.1321,4.59,3.69,28.85,0.24,0,0,0,0,0,0,13.6,13.6,0,0,32.4,13.6,13.6,44,0,100,,136,41,2.6,2.90,0.5,27,23,23,36,75,75,,,,,,,,12.5,56.8,0.5,3.56,2.86,24.76,0.24,,,,,,,
Terry McLaurin,,0,WR,5900,WAS,@ PHI,8,15.75,8.1,13.3,13.1,0,0,0,0,0,0,0,0,0,7.93,0.2925,7.93,4.95,69.81,0.27,0,0,0,0,0,0,13.55,13.55,0,1.4,29.75,13.55,13.55,9,0,100,,17,43,2.3,23.80,4,21,27,27,30,76,76,,,,,,,,0.13,0.95,,7.61,4.75,67.39,0.32,,,,,,,
Diontae Johnson,,0,WR,5800,PIT,vs NO,15,20.25,7.8,17,10.6,0,0,0,0,0,0,0,0,0,9.8,0.3001,9.8,6.04,59.14,0.25,0,0,0,0,0,0,13.45,13.45,0,1.75,29.05,13.45,13.45,37,0,100,,84,44,2.3,10.30,1.8,22,28,28,31,77,77,,,,,,,,0.31,2.36,,8.78,5.41,57.26,0.36,,,,,,,
David Montgomery,,0,RB,6000,CHI,vs DET,28,25.75,8,15.6,10.3,0,0,0,0,0,0.4,14.56,56.63,0.4,18.08,0.106,3.52,2.78,21.56,0.07,0,0,0,0,0,0,13.42,13.42,0,1.42,29.42,13.42,13.42,37,0,100,,119,43,2.2,5.40,0.9,20,24,24,29,78,78,0.02,,,0.02,,,,15.7,61.06,0.43,3.23,2.55,20.13,0.06,,,,,,,
Courtland Sutton,,0,WR,5600,DEN,@ TEN,29,18.75,7,9.2,11.4,0,0,0,0,0,0,0,0,0,8.17,0.2888,8.17,4.61,66.24,0.36,0,0,0,0,0,0,13.39,13.39,0,2.89,27.39,13.39,13.39,30,0,100,,71,35,2.4,12.60,2.3,24,29,29,33,79,79,0.03,0.03,0.92,,,,6.15,0.08,0.36,,6.44,3.63,53.59,0.22,,,,,,,
Darnell Mooney,,0,WR,5500,CHI,vs DET,23,25.75,6.7,13.6,8.8,0,0,0,0,0,0,0,0,0,8.96,0.2699,8.96,5.38,63.58,0.27,0,0,0,0,0,0,13.36,13.36,0,3.31,26.76,13.36,13.36,41,0,100,,89,39,2.4,9.70,1.8,25,30,30,34,80,80,,,,,,,,0.26,1.29,0.02,6.9,4.14,49.83,0.21,,,,,,,
Kenny Pickett,,0,QB,5100,PIT,vs NO,6,20.25,3.1,0,12.5,1,32.65,207.05,0.93,1.58,0.0944,2.46,12.69,0.26,2.46,0,0,0,0,0,0,0,0,0,0,0,13.25,13.25,0,8.6,19.45,13.25,13.25,13,0,100,,35,75,2.6,19.06,3.7,20,27,27,38,81,81,33,22.4,192.4,1.6,,0.4,,3.8,19.6,0.4,,,,,,,,,,,
Greg Dulcich,,0,TE,3400,DEN,@ TEN,31,18.75,0.7,0,12.1,0,0,0,0,0,0,0,0,0,5.79,0.2047,5.79,4.08,60.36,0.44,0,0,0,0,0,0,12.76,12.76,0,11.71,14.16,12.76,12.76,30,0,100,,142,94,3.8,2.10,0.6,15,3,3,55,82,82,,,,,,,,,,,5.67,4,60.67,0.33,,,,,,,
D'Onta Foreman,,0,RB,5800,CAR,vs ATL,23,19.75,8.3,11.1,7.8,0,0,0,0,0,0.6405,14.15,63.18,0.4,16.26,0.0629,2.11,1.59,18.74,0.06,0,0,0,0,0,0,12.54,12.54,0,0.09,29.14,12.54,12.54,8,0,100,,23,0,2.2,22.00,3.8,22,25,25,31,83,83,,,,,,,,9.29,41.48,0.26,0.9,0.68,8.35,0.03,,,,,,,
Gabriel Davis,,0,WR,6400,BUF,vs MIN,21,26.25,10.3,11.5,12.9,0,0,0,0,0,0,0,0,0,5.69,0.1798,5.69,3.1,56.6,0.62,0,0,0,0,0,0,12.48,12.48,0,0,33.08,12.48,12.48,10,0,100,,24,0,2,21.30,3.3,16,31,31,25,84,84,,,,,,,,0.02,,,4.35,2.37,44.79,0.51,,,,,,,
Gerald Everett,!,0,TE,5000,LAC,@ SF,16,18.75,5.2,8,9.8,0,0,0,0,0,0,0,0,0,7.77,0.2082,7.77,4.94,54.75,0.34,0,0,0,0,0,0,12.46,12.46,0,4.66,22.86,12.46,12.46,23,0,100,,126,17,2.5,4.30,0.9,6,4,4,39,85,85,,,,,,,,0.11,0.61,0.01,3.93,2.5,26.93,0.17,,,,,,,
Robert Woods,,0,WR,4900,TEN,vs DEN,1,20.75,8.3,15.6,6.6,0,0,0,0,0,0,0,0,0,7.3,0.2758,7.3,4.76,58.08,0.28,0,0,0,0,0,0,12.25,12.25,0,0,28.85,12.25,12.25,66,0,100,,135,38,2.5,3.00,0.6,31,32,32,40,86,86,,,,,,,,0.71,4.58,0.05,7.39,4.82,59.24,0.27,,,,,,,
Marquez Valdes-Scantling,,0,WR,4100,KC,vs JAC,27,30.25,7.7,8.2,8,0,0,0,0,0,0,0,0,0,7.06,0.165,7.06,3.64,63.93,0.37,0,0,0,0,0,0,12.25,12.25,0,0.7,27.65,12.25,12.25,21,0,100,,56,5,3,15.00,3.7,39,32,32,48,86,86,,,,,,,,0.14,0.73,,4.56,2.35,40.76,0.21,,,,,,,
Dallas Goedert,,0,TE,5500,PHI,vs WAS,1,26.75,6.9,11.6,13.4,0,0,0,0,0,0,0,0,0,6.61,0.2299,6.61,4.75,53.76,0.32,0,0,0,0,0,0,12.05,12.05,0,1.7,25.85,12.05,12.05,9,0,100,,84,32,2.2,10.30,1.9,3,5,5,34,87,87,,,,,,,,,,,5.23,3.76,45.47,0.29,,,,,,,
Devin Singletary,,0,RB,5600,BUF,vs MIN,11,26.25,6.3,12.6,10.9,0,0,0,0,0,0.413,10.4,48.07,0.23,14.67,0.1348,4.27,3.24,21.28,0.08,0,0,0,0,0,0,12.04,12.04,0,2.59,24.64,12.04,12.04,11,0,100,,47,44,2.2,16.70,3,24,26,26,33,88,88,,,,,,,,10.66,49.27,0.24,3.47,2.63,17.9,0.07,,,,,,,
Pat Freiermuth,,0,TE,4200,PIT,vs NO,5,20.25,4.6,9.4,10.7,0,0,0,0,0,0,0,0,0,7.54,0.2308,7.54,5.48,46.99,0.29,0,0,0,0,0,0,11.92,11.92,0,5.02,21.12,11.92,11.92,15,0,100,,101,53,2.8,7.60,1.8,9,6,6,47,89,89,,,,,,,,,,,5.5,4,37.04,0.33,,,,,,,
Brandon Aiyuk,,0,WR,6400,SF,vs LAC,20,26.75,7.3,9.8,13.9,0,0,0,0,0,0,0,0,0,6.33,0.2075,6.33,4.11,55.09,0.37,0,0,0,0,0,0,11.84,11.84,0,0.89,26.44,11.84,11.84,27,0,100,,66,43,1.9,13.40,2.1,16,33,33,25,90,90,,,,,,,,0.31,2.59,0.05,6.44,4.18,56.21,0.36,,,,,,,
Antonio Gibson,,0,RB,5200,WAS,@ PHI,16,15.75,7.5,14.9,12.4,0,0,0,0,0,0.3585,8.93,36.84,0.34,12.76,0.1413,3.83,3.1,21.76,0.12,0,0,0,0,0,0,11.72,11.72,0,0.47,26.72,11.72,11.72,13,0,100,,59,47,2.3,14.80,2.8,28,27,27,37,91,91,,,,,,,,13.28,54.78,0.5,3.43,2.78,19.6,0.13,,,,,,,
Kalif Raymond,,0,WR,4400,DET,@ CHI,5,22.75,6.3,8.7,5.9,0,0,0,0,0,0,0,0,0,6.18,0.1698,6.18,4.15,59.58,0.24,0,0,0,0,0,0,11.55,11.55,0,2.1,24.15,11.55,11.55,48,0,100,,100,0,2.6,7.70,1.8,36,34,34,45,92,92,,,,,,,,0.23,0.98,,3.05,2.05,28.95,0.14,,,,,,,
Khalil Herbert,!,0,RB,5900,CHI,vs DET,28,25.75,8.3,5.1,11.5,0,0,0,0,0,0.3051,11.11,56.38,0.33,13.27,0.065,2.16,1.88,14.58,0.09,0,0,0,0,0,0,11.5,11.5,0,0,28.1,11.5,11.5,36,0,100,,118,0,1.9,5.70,1,21,28,28,30,93,93,,,,,,,,8.74,44.35,0.26,1,0.87,6.87,0.04,,,,,,,
T.J. Hockenson,,0,TE,5300,MIN,@ BUF,2,20.25,7.9,12.1,13.1,0,0,0,0,0,0,0,0,0,6.93,0.2088,6.93,4.56,47.82,0.34,0,0,0,0,0,0,11.38,11.38,0,0,27.18,11.38,11.38,7,0,100,,77,25,2.1,11.50,2.2,4,7,7,36,94,94,,,,,,,,0.02,,,6.17,4.06,44.54,0.31,,,,,,,
Phillip Walker,,0,QB,5200,CAR,vs ATL,31,19.75,6.3,3.6,7.9,1,33.56,224.31,0.94,1.75,0.0402,0.89,2.14,0.03,0.89,0,0,0,0,0,0,0,0,0,0,0,11.38,11.38,0,1.93,23.98,11.38,11.38,28,0,100,,117,0,2.2,5.72,1.1,19,28,28,37,94,94,15.14,8.64,96.64,0.79,1.21,0.36,59.74,1.07,2.57,,,,,,,,,,,,
Curtis Samuel,,0,WR,5100,WAS,@ PHI,8,15.75,6.9,2,13.3,0,0,0,0,0,0.066,1.64,10.63,0.09,7.83,0.2283,6.19,3.95,42.74,0.23,0,0,0,0,0,0,11.21,11.21,0,0.86,25.01,11.21,11.21,57,0,100,,116,36,2.2,6.00,1.2,29,35,35,38,95,95,,,,,,,,1.45,9.4,0.08,5.69,3.63,39.52,0.26,,,,,,,
Mack Hollins,,0,WR,4200,LV,vs IND,3,22.75,6,4,10.4,0,0,0,0,0,0,0,0,0,6.66,0.2171,6.66,3.97,52.79,0.32,0,0,0,0,0,0,11.17,11.17,0,2.17,23.17,11.17,11.17,63,0,100,,129,0,2.7,3.80,0.9,38,36,36,47,96,96,0.02,0.02,0.08,,,,1.63,,,,2.8,1.67,22.69,0.16,,,,,,,
Michael Gallup,,0,WR,4900,DAL,@ GB,2,23.75,7.9,10.5,6.3,0,0,0,0,0,0,0,0,0,6.67,0.1868,6.67,3.68,54.37,0.34,0,0,0,0,0,0,11.16,11.16,0,0,26.96,11.16,11.16,49,0,100,,102,27,2.3,7.50,1.5,31,37,37,40,97,97,,,,,,,,,,,6.33,3.49,52.03,0.28,,,,,,,
Jerry Jeudy,!,0,WR,5700,DEN,@ TEN,29,18.75,7,8.5,12,0,0,0,0,0,0,0,0,0,7.14,0.2526,7.14,3.84,55.27,0.26,0,0,0,0,0,0,10.93,10.93,0,0.43,24.93,10.93,10.93,81,0,100,,164,31,1.9,0.00,,23,38,38,32,98,98,,,,,,,,0.09,0.12,,6.56,3.53,52.12,0.18,,,,,,,
DeVonta Smith,,0,WR,6100,PHI,vs WAS,30,26.75,8.3,11.4,12.4,0,0,0,0,0,0,0,0,0,6.61,0.2299,6.61,4.25,52.21,0.24,0,0,0,0,0,0,10.91,10.91,0,0,27.51,10.91,10.91,22,0,100,,57,29,1.8,14.90,2.4,19,39,39,28,99,99,,,,,,,,,,,6.46,4.15,54.54,0.27,,,,,,,
A.J. Dillon,,0,RB,6700,GB,vs DAL,12,20.75,7.3,10.8,7.9,0,0,0,0,0,0.4388,10.71,46.39,0.28,13.55,0.0859,2.84,2.31,17.85,0.07,0,0,0,0,0,0,10.83,10.83,0,0,25.43,10.83,10.83,34,0,100,,111,12,1.6,6.50,1,14,29,29,22,100,100,,,,,,,,9.13,39.55,0.24,1.71,1.39,11.74,0.05,,,,,,,
Dalton Schultz,,0,TE,3800,DAL,@ GB,11,23.75,6.6,12.5,6.6,0,0,0,0,0,0,0,0,0,5.97,0.1672,5.97,4.33,43.81,0.33,0,0,0,0,0,0,10.69,10.69,0,0.79,23.89,10.69,10.69,3,0,100,,45,25,2.8,17.40,4.6,11,8,8,51,101,101,,,,,,,,,,,5.02,3.64,37.14,0.24,,,,,,,
Eagles,,0,DST,3700,PHI,vs WAS,26,15.75,6.6,6.3,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,1.69,0.85,0,0.15,15.75,10.64,10.64,0,0.74,23.84,10.64,10.64,7,0,100,,116,14,2.9,6.00,1.6,4,1,1,52,102,102,,,,,,,,,,,,,,,2.45,0.83,0.56,0.24,0.02,21.83,351.34
Zach Ertz,!,0,TE,5200,ARI,@ LAR,12,17.75,8.4,10.3,12.6,0,0,0,0,0,0,0,0,0,6.65,0.1966,6.65,4.5,45.05,0.25,0,0,0,0,0,0,10.51,10.51,0,0,27.31,10.51,10.51,29,0,100,,141,35,2,2.20,0.4,5,9,9,37,103,103,,,,,,,,0.01,0.03,,7.75,5.25,54.43,0.33,,,,,,,
George Kittle,,0,TE,5900,SF,vs LAC,6,26.75,9.4,13.3,11.8,0,0,0,0,0,0,0,0,0,5.47,0.1792,5.47,3.91,51.09,0.24,0,0,0,0,0,0,10.46,10.46,0,0,29.26,10.46,10.46,27,0,100,,134,29,1.8,3.10,0.5,2,10,10,30,104,104,,,,,,,,0.14,0.85,,6.68,4.78,62.58,0.28,,,,,,,
Rondale Moore,,0,WR,5200,ARI,@ LAR,14,17.75,6.8,8.1,11.7,0,0,0,0,0,0,0,0,0,6.65,0.1966,6.65,5.25,43.87,0.11,0,0,0,0,0,0,10.3,10.3,0,0.1,23.9,10.3,10.3,16,0,100,,41,25,2,18.40,3.5,28,40,40,37,105,105,,,,,,,,1.1,3.67,,5.48,4.33,37.48,0.1,,,,,,,
Jamaal Williams,,0,RB,5900,DET,@ CHI,32,22.75,7.7,9.2,15.2,0,0,0,0,0,0.5274,15.52,62.48,0.4,16.54,0.0281,1.02,0.82,6.14,0.03,0,0,0,0,0,0,10.26,10.26,0,0,25.66,10.26,10.26,19,0,100,,74,20,1.7,11.90,2,21,30,30,30,106,106,,,,,,,,9.66,38.89,0.25,2.45,1.98,14.54,0.1,,,,,,,
Kyle Pitts,,0,TE,4600,ATL,@ CAR,22,21.75,6.8,10.8,7.9,0,0,0,0,0,0,0,0,0,6.62,0.2491,6.62,3.83,53.79,0.17,0,0,0,0,0,0,10.23,10.23,0,0.03,23.83,10.23,10.23,21,0,100,,123,31,2.2,4.80,1,8,11,11,43,107,107,,,,,,,,,,,6.19,3.58,50.85,0.15,,,,,,,
Cowboys,,0,DST,4000,DAL,@ GB,25,20.75,6,10.3,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0.91,0.78,0,0.26,20.75,10.22,10.22,0,1.22,22.22,10.22,10.22,8,0,100,,122,10,2.6,5.00,1.3,1,2,2,49,108,108,,,,,,,,,,,,,,,2.32,0.7,0.57,0.15,0.01,21.6,348.94
Drake London,,0,WR,5000,ATL,@ CAR,7,21.75,6.6,0,9.2,0,0,0,0,0,0,0,0,0,6.85,0.2578,6.85,4.04,44.66,0.25,0,0,0,0,0,0,10.01,10.01,0,0.11,23.21,10.01,10.01,23,0,100,,59,28,2,14.80,3,30,41,41,39,109,109,,,,,,,,,,,6.22,3.67,41,0.22,,,,,,,
Darrell Henderson,,0,RB,5100,LAR,vs ARI,26,20.75,6.9,13.2,7.8,0,0,0,0,0,0.4946,11.46,50.26,0.35,13.47,0.0649,2.01,1.42,9.08,0.07,0,0,0,0,0,0,9.87,9.87,0,0,23.67,9.87,9.87,24,0,100,,85,24,1.9,10.20,2,29,31,31,38,110,110,,,,,,,,9.12,40,0.28,2.23,1.58,11.77,0.09,,,,,,,
Clyde Edwards-Helaire,,0,RB,5800,KC,vs JAC,18,30.25,6.4,11.5,12.2,0,0,0,0,0,0.215,5.47,24.2,0.17,9.28,0.089,3.81,2.72,21.67,0.25,0,0,0,0,0,0,9.83,9.83,0,0.23,22.63,9.83,9.83,60,0,100,,164,49,1.7,0.00,,22,32,32,31,111,111,,,,,,,,11.41,50.47,0.35,3.09,2.21,17.35,0.18,,,,,,,
Marvin Jones,,0,WR,4300,JAC,@ KC,18,21.25,8.8,10.8,8.4,0,0,0,0,0,0,0,0,0,5.84,0.1635,5.84,3.55,46.22,0.26,0,0,0,0,0,0,9.73,9.73,0,0,27.33,9.73,9.73,61,0,100,,126,30,2.3,4.30,1,37,42,42,46,112,112,,,,,,,,0.07,0.32,,6.8,4.13,56.88,0.4,,,,,,,
Darius Slayton,,0,WR,4600,NYG,vs HOU,4,23.25,8.5,5.4,9,0,0,0,0,0,0,0,0,0,6.22,0.1922,6.22,3.33,46.38,0.29,0,0,0,0,0,0,9.71,9.71,0,0,26.71,9.71,9.71,15,0,100,,40,7,2.1,18.50,4,34,43,43,43,113,113,,,,,,,,0.06,-0.29,,5.46,2.92,42.96,0.29,,,,,,,
Zay Jones,,0,WR,4400,JAC,@ KC,18,21.25,6.2,7.9,10.3,0,0,0,0,0,0,0,0,0,7.31,0.2044,7.31,4.19,42.3,0.19,0,0,0,0,0,0,9.56,9.56,0,0.26,21.96,9.56,9.56,23,0,100,,59,7,2.2,14.80,3.4,36,44,44,45,114,114,0.03,0.01,0.36,,,,1.51,0.09,0.34,,4.73,2.71,28.93,0.16,,,,,,,
Alec Pierce,,0,WR,4100,IND,@ LV,28,18.75,5,0,8.8,0,0,0,0,0,0,0,0,0,5.61,0.1917,5.61,3.51,49.34,0.18,0,0,0,0,0,0,9.52,9.52,0,2.02,19.52,9.52,9.52,81,0,100,,164,43,2.3,0.00,,39,45,45,48,115,115,,,,,,,,,,,5,3.13,49.5,0.13,,,,,,,
Jerick McKinnon,,0,RB,4800,KC,vs JAC,18,30.25,7.3,7.3,6.6,0,0,0,0,0,0.257,6.54,25.54,0.16,10.35,0.089,3.81,2.85,22.49,0.15,0,0,0,0,0,0,9.51,9.51,0,0,24.11,9.51,9.51,20,0,100,,75,15,2,11.80,2.5,32,33,33,41,116,116,0.01,,,,,,0.49,6.56,25.62,0.16,3.3,2.47,19.23,0.11,,,,,,,
Cardinals,,0,DST,2700,ARI,@ LAR,29,20.75,6.3,6.8,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,0.72,0.72,0,0.6,20.75,9.39,9.39,0,0,21.99,9.39,9.39,5,0,100,,99,10,3.5,8.00,3,14,3,3,62,117,117,,,,,,,,,,,,,,,2.51,0.75,0.65,0.18,0.04,23.22,351.06
Noah Brown,,0,WR,4100,DAL,@ GB,2,23.75,4.3,3.8,9.1,0,0,0,0,0,0,0,0,0,6.67,0.1868,6.67,4.04,47.5,0.08,0,0,0,0,0,0,9.27,9.27,0,2.82,17.87,9.27,9.27,78,0,100,,149,0,2.3,1.30,0.3,39,46,46,48,118,118,,,,,,,,0.03,0.11,,2.87,1.74,20.61,0.03,,,,,,,
Chase Claypool,,0,WR,4800,CHI,vs DET,23,25.75,8.5,10.9,9.1,0,0,0,0,0,0,0,0,0,5.76,0.1736,5.76,3.31,42.68,0.28,0,0,0,0,0,0,9.26,9.26,0,0,26.26,9.26,9.26,74,0,100,,145,29,1.9,1.80,0.4,32,47,47,41,119,119,0.02,0.02,0.02,,,0.02,2.83,0.79,4.07,0.05,6.76,3.88,50.98,0.33,,,,,,,
Sammy Watkins,,0,WR,4000,GB,vs DAL,10,20.75,9.5,6.5,5.2,0,0,0,0,0,0,0,0,0,5.33,0.1614,5.33,3.24,44.11,0.26,0,0,0,0,0,0,9.21,9.21,0,0,28.21,9.21,9.21,48,0,100,,100,14,2.3,7.70,1.9,40,48,48,49,120,120,0.01,,,0.01,0.01,,,0.12,0.88,,5.74,3.49,51.9,0.32,,,,,,,
Terrace Marshall Jr.,,0,WR,4500,CAR,vs ATL,32,19.75,4.2,2.7,7.8,0,0,0,0,0,0,0,0,0,7.07,0.2106,7.07,3.99,43.24,0.12,0,0,0,0,0,0,9.03,9.03,0,2.73,17.43,9.03,9.03,59,0,100,,120,0,2,5.30,1.2,35,49,49,44,121,121,,,,,,,,,,,3.12,1.76,19.94,0.06,,,,,,,
Melvin Gordon,,0,RB,5700,DEN,@ TEN,1,18.75,9,12.9,8.3,0,0,0,0,0,0.3274,7.4,30.27,0.27,10.12,0.0962,2.72,2.03,15.68,0.12,0,0,0,0,0,0,8.97,8.97,0,0,26.97,8.97,8.97,21,0,100,,78,40,1.6,11.00,1.9,23,34,34,32,122,122,,,,,,,,14.49,59.28,0.52,3.73,2.78,22.07,0.13,,,,,,,
Rex Burkhead,,0,RB,4400,HOU,@ NYG,10,18.25,7.3,7.2,6.5,0,0,0,0,0,0.1122,2.85,11.3,0.11,7.34,0.1301,4.49,3.45,27.26,0.16,0,0,0,0,0,0,8.93,8.93,0,0,23.53,8.93,8.93,38,0,100,,122,6,2,5.00,1.1,36,35,35,45,123,123,0.02,,,,,,0.87,5.57,22.08,0.21,2.64,2.03,16.92,0.1,,,,,,,
Wan'Dale Robinson,,0,WR,4700,NYG,vs HOU,4,23.25,4.8,0,7.2,0,0,0,0,0,0,0,0,0,5.19,0.1604,5.19,3.89,32.9,0.28,0,0,0,0,0,0,8.86,8.86,0,1.66,18.46,8.86,8.86,64,0,100,,130,33,1.9,3.50,0.7,33,50,50,42,124,124,,,,,,,,,,,4,3,26.75,0.25,,,,,,,
DeAndre Carter,,0,WR,4700,LAC,@ SF,16,18.75,4.4,5.1,7.1,0,0,0,0,0,0,0,0,0,5.19,0.139,5.19,3.59,42.49,0.16,0,0,0,0,0,0,8.8,8.8,0,2.2,17.6,8.8,8.8,17,0,100,,49,21,1.9,16.40,3.5,33,51,51,42,125,125,,,,,,,,0.33,2.35,,3.15,2.18,25.08,0.1,,,,,,,
Tom Kennedy,,0,WR,3200,DET,@ CHI,5,22.75,3.4,3.1,3.6,0,0,0,0,0,0,0,0,0,6.18,0.1697,6.18,3.22,37.66,0.26,0,0,0,0,0,0,8.55,8.55,0,3.45,15.35,8.55,8.55,58,0,100,,119,0,2.7,5.40,1.7,48,52,52,57,126,126,0.1,0.1,7.5,,,0.1,15.83,,,,2.3,1.2,13.8,,,,,,,,
