"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","season_year","week"
"270","Tyreik McAllister","LVR","WR","16856","weighted",NA,NA,NA,NA,NA,NA,1.25225806451613,0.360624458405139,0.00494623655913979,0.00707106781186548,0,0,NA,NA,NA,NA,NA,NA,0,0,1.01978494623656,0.0282842712474619,9.78967741935484,3.98808224589213,0.0296774193548387,0.0424264068711928,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Shoulder",2024,5
"271","Kayshon Boutte","NE","WR","16193","weighted",NA,NA,NA,NA,NA,NA,0.0868657060518732,0.0957677826726423,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.488536023054755,0.354652897474298,5.7530144092219,4.30309834697583,0.0113371757925072,0.0213699580842658,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Odell Beckham","MIA","WR","11679","weighted",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.67439182915506,0.277527746930165,8.41519034354689,3.79276126032073,0.0149489322191272,0.02816563939951,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Knee",2024,5
"273","Brandon Powell","MIN","WR","13910","weighted",NA,NA,NA,NA,NA,NA,0.891614558281225,0.667017111406698,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1.04331409331409,0.243159403067802,9.84534391534391,1.59799408222234,0.059018759018759,0.0464132752218605,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Chest",2024,5
"274","DeAndre Carter","CHI","WR","12394","weighted",NA,NA,NA,NA,NA,NA,1.39867061973986,1.35010006347133,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.489479724560061,0.415513217933974,4.85088370313696,4.59500779952785,0.00842812019689758,0.0069243752461734,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Ribs",2024,5
"275","Jake Bobo","SEA","WR","16393","weighted",NA,NA,NA,NA,NA,NA,0.0732126801152738,0.0738309759368835,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.833446685878962,0.402619393331706,8.19519884726225,3.09113073664116,0.0454466858789625,0.0502314777342239,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Chris Moore","ARI","WR","12773","weighted",NA,NA,NA,NA,NA,NA,0.0303963414634146,0.183847763108502,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.389359756097561,0.29698484809835,6.61667682926829,6.18011326757043,0.010030487804878,0.014142135623731,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Braxton Berrios","MIA","WR","13638","weighted",NA,NA,NA,NA,NA,NA,0.965488201790073,1.58317963259012,0.0184567398969352,0.0363927239764682,0,0,NA,NA,NA,NA,0.06,0,0,0,0.791985353946298,0.391459034065265,7.23686795303964,2.28755352600088,0.0259275834011391,0.0385491342367646,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Ankle",2024,5
"278","Laviska Shenault","SEA","WR","14838","weighted",NA,NA,NA,NA,NA,NA,1.80568876080692,0.782143197670939,0.00672747048433578,0.0082913036990114,0,0,NA,NA,NA,NA,NA,NA,0,0,0.655458213256484,0.337994567620114,5.8865590778098,3.02845241720767,0.0140604176730911,0.0300039382899007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Parker Washington","JAC","WR","16192","weighted",NA,NA,NA,NA,NA,NA,0.12870733072188,0.103789255636298,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.767386681589256,0.320178744355452,7.26274314493565,2.97910848986413,0.0164913262451035,0.0296760097910217,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Ashton Dulin","IND","WR","14315","weighted",NA,NA,NA,NA,NA,NA,0.116447262247839,0.147438283414,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.495567723342939,0.330385815977901,6.55499135446686,3.03864328925921,0.109412103746398,0.110088769210358,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
