rank,id,player,team,pos,game.week,opp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_draftkings
127,21071,Greg Dortch,ARI,WR,5,SF,0.0,0.0,0.0,0.9,0.0,3.6,35.6,0.2,,,0.0,0.0,8.4
128,21735,Gabe Davis,JAX,WR,5,IND,0.0,0.0,0.0,0.1,0.0,3.1,35.5,0.3,,,0.0,0.0,8.4
129,21807,Colby Parkinson,LAR,TE,5,GB,0.0,0.0,0.0,0.0,0.0,3.1,34.3,0.3,,,0.0,0.0,8.3
130,24423,Jake Moody,SF,K,5,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,8.3
131,19073,Harrison Butker,KC,K,5,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,8.1
132,23173,Zach Charbonnet,SEA,RB,5,NYG,0.0,0.0,0.0,23.2,0.2,2.3,17.1,0.1,,,0.0,0.0,8.0
133,24309,Emanuel Wilson,GB,RB,5,LAR,0.0,0.0,0.0,34.9,0.3,1.2,8.9,0.1,,,0.0,0.0,8.0
134,24119,Andrei Iosivas,CIN,WR,5,BAL,0.0,0.0,0.0,0.3,0.0,2.8,32.8,0.3,,,0.0,0.0,7.9
135,23482,Bo Melton,GB,WR,5,LAR,0.0,0.0,0.0,0.6,0.0,2.5,34.5,0.3,,,0.0,0.0,7.8
136,22108,Tyler Bass,BUF,K,5,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.8
137,22507,Pat Freiermuth,PIT,TE,5,DAL,0.0,0.0,0.0,0.0,0.0,3.3,33.1,0.2,,,0.0,0.0,7.7
138,24934,Braelon Allen,NYJ,RB,5,MIN,0.0,0.0,0.0,32.3,0.2,1.5,11.8,0.1,,,0.0,0.0,7.7
139,18912,Evan Engram,JAX,TE,5,IND,0.0,0.0,0.0,0.0,0.0,3.4,31.9,0.2,,,0.0,0.0,7.7
140,18993,Samaje Perine,KC,RB,5,NO,0.0,0.0,0.0,16.3,0.2,2.6,16.5,0.1,,,0.0,0.0,7.7
141,22508,Kyle Pitts,ATL,TE,5,TB,0.0,0.0,0.0,0.0,0.0,2.6,32.8,0.3,,,0.0,0.0,7.7
142,22908,Evan McPherson,CIN,K,5,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.7
143,18215,Ka'imi Fairbairn,HOU,K,5,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.7
144,24311,Jaleel McLaughlin,DEN,RB,5,LV,0.0,0.0,0.0,35.2,0.2,1.5,9.3,0.1,,,0.0,0.0,7.7
145,18876,David Njoku,CLE,TE,5,WAS,0.0,0.0,0.0,0.0,0.0,3.2,32.6,0.2,,,0.0,0.0,7.6
146,18914,Mike Williams,NYJ,WR,5,MIN,0.0,0.0,0.0,0.1,0.0,2.6,35.6,0.2,,,0.0,0.0,7.4
147,21772,Cole Kmet,CHI,TE,5,CAR,0.0,0.0,0.0,0.0,0.0,3.1,31.4,0.2,,,0.0,0.0,7.3
148,18928,Curtis Samuel,BUF,WR,5,HOU,0.0,0.0,0.0,3.0,0.0,2.9,29.1,0.2,,,0.0,0.0,7.3
149,24960,Cam Little,JAX,K,5,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.2
150,17215,Jason Myers,SEA,K,5,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.2
151,19988,Tyler Conklin,NYJ,TE,5,MIN,0.0,0.0,0.0,0.0,0.0,2.9,30.5,0.2,,,0.0,0.0,7.2
152,19565,Younghoe Koo,ATL,K,5,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.2
153,22623,Rashod Bateman,BAL,WR,5,CIN,0.0,0.0,0.0,0.4,0.0,2.4,35.0,0.2,,,0.0,0.0,7.1
154,21542,Chase McLaughlin,TB,K,5,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.0
155,14867,Dustin Hopkins,CLE,K,5,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.0
156,16191,Chris Boswell,PIT,K,5,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.0
157,21114,Austin Seibert,WAS,K,5,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.0
158,20769,Matt Gay,IND,K,5,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.0
159,24372,Roschon Johnson,CHI,RB,5,CAR,0.0,0.0,0.0,26.1,0.3,1.2,9.1,0.1,,,0.0,0.0,7.0
160,23232,Alec Pierce,IND,WR,5,JAX,0.0,0.0,0.0,0.1,0.0,2.2,35.8,0.2,,,0.0,0.0,7.0
161,14697,Greg Zuerlein,NYJ,K,5,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.0
162,21142,Olamide Zaccheaus,WAS,WR,5,CLE,0.0,0.0,0.0,0.3,0.0,2.6,30.2,0.2,,,0.0,0.0,6.8
163,23193,Tank Bigsby,JAX,RB,5,IND,0.0,0.0,0.0,37.2,0.3,0.8,5.3,0.0,,,0.0,0.0,6.8
164,23250,Tyler Allgeier,ATL,RB,5,TB,0.0,0.0,0.0,39.4,0.2,1.0,8.0,0.0,,,0.0,0.0,6.8
165,17975,Hunter Henry,NE,TE,5,MIA,0.0,0.0,0.0,0.0,0.0,2.7,29.2,0.2,,,0.0,0.0,6.8
166,24952,Ja'Lynn Polk,NE,WR,5,MIA,0.0,0.0,0.0,0.6,0.0,2.5,30.5,0.2,,,0.0,0.0,6.8
