"RK","Name","POS","Team","Opp","FPTS","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","REC","YDS","TD","UP","DOWN","MOVE","WW","INJ"
"140","Adonai Mitchell","WR","IND","NE","8.8","","0","0","0","0","0.5","2.4","0.02","2.9","44.8","0.17","-","-","-","-","-"
"141","Tucker Kraft","TE","GB","MIA","8.7","","0","0","0","0","-","-","-","3.0","37.6","0.32","-","-","-","-","-"
"142","Nick Westbrook-Ikhine","WR","TEN","WAS","8.6","","0","0","0","0","-","-","-","2.8","42.9","0.25","-","-","-","-","-"
"143","Marquez Valdes-Scantling","WR","NO","LA","8.5","","0","0","0","0","-","-","-","2.5","45.8","0.24","-","-","-","-","-"
"144","Rashod Bateman","WR","BLT","PHI","8.5","","0","0","0","0","-","-","-","2.9","37.9","0.30","-","-","-","-","-"
"145","Tyjae Spears","RB","TEN","WAS","8.3","","0","0","0","0","8.8","36.8","0.21","1.9","12.9","0.04","-","-","-","-","-"
"146","Amari Cooper","WR","BUF","SF","8.2","","0","0","0","0","-","-","-","2.4","41.4","0.28","-","-","-","-","-"
"147","Gus Edwards","RB","LAC","ATL","8.2","","0","0","0","0","13.4","48.5","0.40","0.5","3.6","0.02","-","-","-","-","-"
"148","Cole Kmet","TE","CHI","DET","8.2","","0","0","0","0","-","-","-","3.6","34.9","0.18","-","-","-","-","-"
"149","Dalton Schultz","TE","HST","JAX","7.8","","0","0","0","0","-","-","-","3.5","33.2","0.18","-","-","-","-","-"
"150","Ray-Ray McCloud","WR","ATL","LAC","7.7","","0","0","0","0","0.4","2.4","0.02","3.3","31.1","0.17","-","-","-","-","-"
"151","Mike Gesicki","TE","CIN","PIT","7.7","","0","0","0","0","-","-","-","3.2","33.7","0.19","-","-","-","-","-"
"152","Tre Tucker","WR","LV","KC","7.6","","0","0","0","0","0.4","2.2","0.02","3.1","34.7","0.11","-","-","-","-","-"
"153","Kendrick Bourne","WR","NE","IND","7.6","","0","0","0","0","-","-","-","3.0","33.3","0.20","-","-","-","-","-"
"154","Pat Freiermuth","TE","PIT","CIN","7.5","","0","0","0","0","-","-","-","2.8","32.2","0.25","-","-","-","-","-"
"155","Luke Schoonmaker","TE","DAL","NYG","7.4","","0","0","0","0","-","-","-","3.0","33.1","0.19","-","-","-","-","-"
"156","Michael Wilson","WR","ARZ","MIN","7.2","","0","0","0","0","-","-","-","2.7","32.3","0.20","-","-","-","-","-"
"157","Kayshon Boutte","WR","NE","IND","7.1","","0","0","0","0","-","-","-","2.6","34.0","0.19","-","-","-","-","-"
"158","Tyler Boyd","WR","TEN","WAS","7.1","","0","0","0","0","0.1","0.7","0.01","3.0","29.7","0.18","-","-","-","-","-"
"159","Tommy Tremble","TE","CAR","TB","7.0","","0","0","0","0","-","-","-","2.9","29.4","0.20","-","-","-","-","-"
"160","Noah Gray","TE","KC","LV","6.9","","0","0","0","0","-","-","-","2.7","27.5","0.24","-","-","-","-","-"
"161","Travis Etienne","RB","JAX","HST","6.8","","0","0","0","0","7.6","29.3","0.21","1.4","10.3","0.04","-","-","-","-","-"
"162","Tyler Lockett","WR","SEA","NYJ","6.8","","0","0","0","0","-","-","-","2.6","32.5","0.17","-","-","-","-","-"
"163","Justice Hill","RB","BLT","PHI","6.8","","0","0","0","0","2.8","12.6","0.08","2.5","20.3","0.10","-","-","-","-","-"
"164","Demarcus Robinson","WR","LA","NO","6.7","","0","0","0","0","-","-","-","2.3","30.0","0.23","-","-","-","-","-"
"165","Calvin Austin III","WR","PIT","CIN","6.7","","0","0","0","0","-","-","-","2.2","34.0","0.18","-","-","-","-","-"
"166","Theo Johnson","TE","NYG","DAL","6.5","","0","0","0","0","-","-","-","2.6","29.6","0.17","-","-","-","-","-"
"167","Jalen Tolbert","WR","DAL","NYG","6.5","","0","0","0","0","-","-","-","2.5","29.0","0.19","-","-","-","-","-"
"168","Sterling Shepard","WR","TB","CAR","6.5","","0","0","0","0","0.4","2.1","0.02","2.8","25.9","0.14","-","-","-","-","-"
"169","Brandin Cooks","WR","DAL","NYG","6.5","","0","0","0","0","-","-","-","2.5","29.9","0.17","-","-","-","-","-"
"170","Juwan Johnson","TE","NO","LA","6.4","","0","0","0","0","-","-","-","2.5","27.3","0.20","-","-","-","-","-"
"171","Marvin Mims Jr.","WR","DEN","CLV","6.3","","0","0","0","0","2.3","13.3","0.08","1.7","20.0","0.14","-","-","-","-","-"
"172","Allen Lazard","WR","NYJ","SEA","6.3","","0","0","0","0","-","-","-","2.4","27.7","0.19","-","-","-","-","-"
"173","Devin Singletary","RB","NYG","DAL","6.3","","0","0","0","0","6.3","27.0","0.19","1.4","9.2","0.03","-","-","-","-","-"
"174","Curtis Samuel","WR","BUF","SF","6.3","","0","0","0","0","0.1","0.7","0.01","2.5","28.2","0.15","-","-","-","-","-"
"175","Jalen McMillan","WR","TB","CAR","6.3","","0","0","0","0","0.3","1.6","0.01","2.4","28.9","0.13","-","-","-","-","-"
"176","Chig Okonkwo","TE","TEN","WAS","6.2","","0","0","0","0","-","-","-","2.3","26.0","0.21","-","-","-","-","-"
"177","Isaiah Likely","TE","BLT","PHI","6.2","","0","0","0","0","-","-","-","2.2","25.9","0.24","-","-","-","-","-"
"178","Zach Charbonnet","RB","SEA","NYJ","6.1","","0","0","0","0","5.7","19.3","0.18","1.7","12.0","0.04","-","-","-","-","-"
"179","Tyler Conklin","TE","NYJ","SEA","6.0","","0","0","0","0","-","-","-","2.6","24.1","0.16","-","-","-","-","-"
"180","Kareem Hunt","RB","KC","LV","5.9","","0","0","0","0","8.4","33.6","0.26","0.5","4.0","0.02","-","-","-","-","-"
"181","Tank Bigsby","RB","JAX","HST","5.9","","0","0","0","0","7.4","31.1","0.23","0.8","5.8","0.02","-","-","-","-","-"
"182","Antonio Gibson","RB","NE","IND","5.8","","0","0","0","0","6.4","27.4","0.13","1.2","9.7","0.04","-","-","-","-","-"
"183","John Metchie III","WR","HST","JAX","5.8","","0","0","0","0","-","-","-","2.3","27.2","0.14","-","-","-","-","-"
"184","Jerome Ford","RB","CLV","DEN","5.8","","0","0","0","0","4.1","17.5","0.08","1.9","13.2","0.07","-","-","-","-","-"
"185","JuJu Smith-Schuster","WR","KC","LV","5.7","","0","0","0","0","-","-","-","2.1","25.6","0.17","-","-","-","-","-"
"186","Noah Fant","TE","SEA","NYJ","5.6","","0","0","0","0","-","-","-","2.5","26.0","0.08","-","-","-","-","-"
"187","Parker Washington","WR","JAX","HST","5.4","","0","0","0","0","-","-","-","2.1","25.2","0.14","-","-","-","-","-"
"188","Darius Slayton","WR","NYG","DAL","5.3","","0","0","0","0","0.1","0.6","0.00","2.0","26.7","0.10","-","-","-","-","-"
"189","Lil'Jordan Humphrey","WR","DEN","CLV","5.3","","0","0","0","0","-","-","-","2.2","21.8","0.16","-","-","-","-","-"
"190","Darnell Washington","TE","PIT","CIN","5.3","","0","0","0","0","-","-","-","2.1","22.9","0.15","-","-","-","-","-"
"191","AJ Barner","TE","SEA","NYJ","5.3","","0","0","0","0","-","-","-","2.2","24.1","0.11","-","-","-","-","-"
"192","Jordan Akins","TE","CLV","DEN","5.3","","0","0","0","0","-","-","-","2.2","22.9","0.14","-","-","-","-","-"
"193","Foster Moreau","TE","NO","LA","5.2","","0","0","0","0","-","-","-","1.8","22.4","0.19","-","-","-","-","-"
"194","Tim Patrick","WR","DET","CHI","5.2","","0","0","0","0","-","-","-","1.9","25.4","0.12","-","-","-","-","-"
"195","Austin Hooper","TE","NE","IND","5.2","","0","0","0","0","-","-","-","2.2","22.1","0.13","-","-","-","-","-"
"196","Jamari Thrash","WR","CLV","DEN","4.9","","0","0","0","0","-","-","-","1.8","25.3","0.10","-","-","-","-","-"
"197","Tyler Allgeier","RB","ATL","LAC","4.7","","0","0","0","0","5.5","26.2","0.16","0.6","4.3","0.01","-","-","-","-","-"
"198","Roschon Johnson","RB","CHI","DET","4.6","","0","0","0","0","3.9","13.4","0.22","1.1","7.8","0.02","-","-","-","-","-"
"199","Hassan Haskins","RB","LAC","ATL","4.6","","0","0","0","0","5.0","19.0","0.13","1.0","6.7","0.04","-","-","-","-","-"
"200","Ray Davis","RB","BUF","SF","4.4","","0","0","0","0","5.5","22.9","0.18","0.5","4.1","0.02","-","-","-","-","-"
"201","Kevin Austin Jr.","WR","NO","LA","4.4","","0","0","0","0","-","-","-","1.6","20.7","0.11","-","-","-","-","-"
