player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Patrick Laird,28219,HB,MIA,1,2,0,0,0.0,0,0,20,0,0,0,3,0.0,1,1,17,0,1,67.8,65.2,72.4,,,72.7,60.6,,12,0,12,2,6,2,0,0,2,4,0,20,3,1.5,10.0,2.0,0
Gardner Minshew,41401,QB,JAX,1,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,1,1,15,1,0,27.9,55.5,78.7,55.1,,,59.1,60.3,10,0,0,0,0,21,10,1,0,1,0,9,0,0.0,4.5,,1
Trayveon Williams,45775,HB,CIN,1,2,1,0,0.0,0,0,8,0,0,1,6,150.0,0,0,7,0,1,65.2,63.0,71.9,,72.4,57.7,62.6,60.0,5,0,0,0,3,3,0,0,0,2,0,8,6,3.0,4.0,0.0,1
Ke'Shawn Vaughn,45866,HB,TB,1,2,0,0,0.0,0,0,4,1,0,0,4,0.0,0,0,30,0,1,65.2,53.2,71.5,,78.2,26.0,65.8,60.0,3,0,0,0,3,4,0,0,1,2,0,4,4,2.0,2.0,0.0,0
Laviska Shenault Jr.,61220,WR,JAX,1,2,1,0,0.0,0,0,1,0,1,1,4,57.1,0,0,15,0,0,70.6,54.6,79.1,,,56.4,53.7,62.4,1,1,43,5,25,16,0,0,6,7,0,1,4,2.0,0.5,1.72,2
Tom Brady,698,QB,TB,1,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,30,0,0,80.7,87.7,79.1,85.6,,,60.0,60.0,-1,0,0,0,0,18,0,0,0,2,0,-2,0,0.0,-1.0,,0
Darrell Henderson,41193,HB,LA,1,1,0,0,0.0,0,0,-2,0,0,0,1,0.0,0,0,26,0,1,64.6,57.9,70.7,,,59.0,59.3,,-2,0,5,1,6,1,0,0,1,2,0,-2,1,1.0,-2.0,0.83,0
Brandon Zylstra,66438,WR,CAR,1,0,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,5,0,0,60.4,54.7,69.0,,,,58.3,60.9,1,0,0,0,0,4,1,1,0,0,0,1,-1,-1.0,1.0,,0
J.J. Taylor,25512,HB,NE,1,1,0,0,0.0,0,0,2,0,0,0,2,0.0,0,0,19,0,0,61.9,50.5,70.3,,,57.9,56.7,60.0,2,0,0,0,1,2,0,0,0,1,0,2,2,2.0,2.0,0.0,1
Chase Claypool,42312,WR,PIT,1,1,0,0,0.0,0,0,-6,0,0,0,0,0.0,0,0,25,0,0,67.4,71.6,78.1,,,72.7,57.2,61.4,-6,0,54,3,27,15,0,0,7,4,0,-6,0,0.0,-6.0,2.0,0
Mecole Hardman,42683,WR,KC,1,1,0,0,0.0,0,0,-5,1,0,0,2,0.0,0,0,16,0,0,75.2,64.2,77.8,,,64.3,59.2,60.6,-5,0,22,3,25,5,0,0,9,4,0,-5,2,2.0,-5.0,0.88,0
Nick Mullens,12282,QB,SF,1,0,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,28,1,0,79.0,51.4,79.6,51.4,,,58.3,60.0,7,0,0,0,0,36,7,1,0,0,0,7,0,0.0,7.0,,0
Noah Brown,11993,WR,DAL,1,1,0,0,0.0,0,0,4,1,0,0,4,0.0,0,0,9,0,0,61.2,56.4,75.5,,,54.7,,70.7,4,0,13,1,11,6,0,0,6,2,0,4,4,4.0,4.0,1.18,0
David Moore,11981,WR,SEA,1,1,0,0,0.0,0,0,5,0,0,0,1,0.0,0,0,29,0,0,66.2,60.1,74.9,,,63.0,56.6,60.5,5,0,10,2,12,9,0,0,4,3,0,5,1,1.0,5.0,0.83,0
Royce Freeman,45747,HB,DEN,1,1,0,0,0.0,0,0,4,0,0,0,1,0.0,0,0,10,0,1,61.9,48.5,71.5,,22.8,58.2,59.6,,4,0,0,0,2,1,0,0,0,1,0,4,1,1.0,4.0,0.0,0
Jamal Agnew,11920,WR,DET,1,1,0,0,0.0,0,0,7,0,1,0,1,50.0,0,0,11,0,0,72.8,66.3,73.6,,,72.3,56.6,59.0,7,0,13,1,4,7,0,0,1,2,0,7,1,1.0,7.0,3.25,0
Lynn Bowden Jr.,61361,WR,MIA,1,0,2,0,0.0,0,0,0,0,1,0,,16.7,0,0,17,0,0,69.5,66.2,79.1,,,63.8,65.6,54.2,9,0,37,6,29,34,9,1,8,6,0,9,7,7.0,9.0,1.28,0
Jamaal Williams,11889,HB,GB,1,1,0,0,0.0,0,0,6,0,1,0,3,100.0,0,0,12,0,0,66.2,71.1,68.9,,,80.5,62.9,,6,0,14,2,3,1,0,0,2,3,0,6,3,3.0,6.0,4.67,1
Alexander Mattison,45817,HB,MIN,1,1,0,0,0.0,0,0,1,0,0,0,1,0.0,0,0,18,0,1,64.6,64.3,69.4,,74.6,71.8,59.6,,1,0,14,1,4,1,0,0,1,2,0,1,1,1.0,1.0,3.5,0
Elijhaa Penny,11300,FB,NYG,1,1,0,0,0.0,0,0,2,0,1,0,1,50.0,0,1,21,0,0,64.6,68.2,70.4,,,81.8,61.4,55.2,2,0,9,1,1,7,0,0,1,2,0,2,1,1.0,2.0,9.0,0
Jalen Reagor,61697,WR,PHI,1,1,0,0,0.0,0,0,-10,0,0,0,0,0.0,0,0,24,0,0,69.1,73.4,79.2,,,73.2,59.2,62.0,-10,0,49,5,25,19,0,0,8,6,0,-10,0,0.0,-10.0,1.96,0
