"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"254","Evan Hull","IND","rb","11","17","54.4","0","0","0","0","0","0","0","34.6868","154.532","1.0577","20.6431","16.4982","125.2652","0.6166","0.3828","0.1914","0.0429","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"255","Khalil Shakir","BUF","wr","13","17","69.3","0","0","0","0","0","0","0","0","0","0","38.7934","25.7747","327.5559","1.7825","0.2326","0.1163","0.1071","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"256","C.J. Uzomah","NYJ","te","7","17","49.1","0","0","0","0","0","0","0","0","0","0","26.6507","20.4518","198.6006","1.4568","0.1998","0.0999","0.0659","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"257","Jonnu Smith","ATL","te","11","17","48.7","0","0","0","0","0","0","0","0","0","0","29.2863","22.5422","177.5784","1.4119","0.2966","0.1483","0.0597","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"258","Kylen Granson","IND","te","11","17","48.2","0","0","0","0","0","0","0","0","0","0","27.2325","19.8864","207.1721","1.2589","0.268","0.134","0.0703","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"259","Foster Moreau","NO","te","11","17","48.2","0","0","0","0","0","0","0","0","0","0","25.5693","18.2811","211.5869","1.4629","0.2391","0.1196","0.0492","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"260","Randall Cobb","NYJ","wr","7","17","67.6","0","0","0","0","0","0","0","0","0","0","36.4408","26.4002","306.3443","1.7719","0.2828","0.1414","0.058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"261","Trent Sherfield","BUF","wr","13","17","66","0","0","0","0","0","0","0","0","0","0","38.2316","23.866","319.3328","1.6977","0.1945","0.0973","0.0451","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"262","Josh Oliver","MIN","te","13","17","45.8","0","0","0","0","0","0","0","0","0","0","25.0816","18.4498","187.6797","1.4377","0.2649","0.1325","0.0549","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"263","Brycen Hopkins","LA","te","10","17","45.7","0","0","0","0","0","0","0","0","0","0","24.577","17.5839","202.3717","1.3139","0.2088","0.1044","0.0698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"264","Harrison Bryant","CLV","te","5","17","45.6","0","0","0","0","0","0","0","0","0","0","26.8172","19.5257","191.6729","1.157","0.206","0.103","0.054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"265","Cordarrelle Patterson","ATL","rb","11","17","49.9","0","0","0","0","0","0","0","18.7324","80.8223","0.7425","22.5649","17.3975","148.9193","0.9688","1.5872","0.7936","0.0135","1261.9235","1.0042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"266","Connor Heyward","PIT","te","6","17","44.7","0","0","0","0","0","0","0","0","0","0","24.512","17.9459","183.0804","1.403","0.214","0.107","0.0461","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"267","Jalin Hyatt","NYG","wr","13","17","63.8","0","0","0","0","0","0","0","0","0","0","35.9634","22.799","312.2999","1.6257","0.2166","0.1083","0.0384","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"268","Deuce Vaughn","DAL","rb","7","17","48.6","0","0","0","0","0","0","0","54.5055","242.6971","1.654","8.9179","7.201","55.8783","0.2847","0.4151","0.2075","0.053","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"269","Darnell Washington","PIT","te","6","17","42.8","0","0","0","0","0","0","0","0","0","0","22.9134","16.4124","183.221","1.3404","0.2009","0.1005","0.0433","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"270","Dontayvion Wicks","GB","wr","6","17","61.7","0","0","0","0","0","0","0","0","0","0","35.6312","20.9748","311.8356","1.5887","0.1993","0.0996","0.0487","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"271","Dare Ogunbowale","HST","rb","7","17","46.7","0","0","0","0","0","0","0","19.9821","76.3593","0.5146","24.8825","19.6835","131.8581","0.6445","1.6144","0.8072","0.03","1248.344","0.9204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"272","Brenton Strange","JAX","te","9","17","40.6","0","0","0","0","0","0","0","0","0","0","21.8287","15.8886","165.6474","1.3603","0.1945","0.0973","0.042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"273","Trenton Irwin","CIN","wr","7","17","59.9","0","0","0","0","0","0","0","0","0","0","30.4279","19.456","278.0507","2.1119","0.1734","0.0867","0.0435","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"274","Blake Bell","KC","te","10","17","39.2","0","0","0","0","0","0","0","0","0","0","20.1816","15.4432","152.6379","1.4148","0.183","0.0915","0.0416","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
