,,,,,,,Receiving,,,,,,,,,,,,,,,
206,Michael Mayer,23,LVR,TE,7,5,23,15,110,5,76,5.1,34,2.3,5.5,1,15,2,8.7,0,76.4,
207,Christian McCaffrey,28,SFO,RB,4,4,19,15,146,6,48,3.2,98,6.5,3.2,1,15,0,0,1,76.8,
208,John Metchie,24,HOU,WR,10,2,21,15,165,8,108,7.2,57,3.8,9,0,,0,0,1,90.4,
209,Jeremy Ruckert,24,NYJ,TE,13,6,21,14,76,5,13,0.9,63,4.5,3.2,0,,2,9.5,0,72.7,
210,JuJu Smith-Schuster,28,KAN,WR,10,5,18,14,202,9,73,5.2,129,9.2,5.8,4,3.5,1,5.6,1,108.8,
211,Cade Stover,24,HOU,TE,13,8,20,14,132,5,41,2.9,91,6.5,5.2,2,7,1,5,0,104.6,
212,Jonathan Taylor,25,IND,RB,10,9,23,14,118,7,-15,-1.1,133,9.5,-1,2,7,2,8.7,1,70.6,
213,Mason Tipton,24,NOR,WR,10,1,25,14,99,2,72,5.1,27,1.9,12.8,1,14,1,4,0,65.2,
214,Jonathan Mingo,23,2TM,WR,13,6,37,14,131,4,64,4.6,67,4.8,9.8,1,14,2,5.4,1,37.1,
214,Jonathan Mingo,23,CAR,WR,9,5,26,12,121,4,57,4.8,64,5.3,8.7,1,12,2,7.7,1,43.9,
214,Jonathan Mingo,23,DAL,WR,4,1,11,2,10,0,7,3.5,3,1.5,12.5,0,,0,0,0,39.6,
215,Marquez Valdes-Scantling,30,2TM,WR,11,5,27,14,314,10,202,14.4,112,8,19.2,0,,0,0,1,117.9,
215,Marquez Valdes-Scantling,30,BUF,WR,6,0,9,2,26,1,20,10,6,3,15.7,0,,0,0,0,39.6,
215,Marquez Valdes-Scantling,30,NOR,WR,5,5,18,12,288,9,182,15.2,106,8.8,20.9,0,,0,0,1,126.2,
216,Nelson Agholor,31,BAL,WR,13,6,28,13,205,9,122,9.4,83,6.4,13,1,13,4,14.3,0,95.1,
217,Brandin Cooks,31,DAL,WR,6,5,29,13,110,10,91,7,19,1.5,13,0,,0,0,0,89.7,
218,Derrick Henry,30,BAL,RB,13,13,15,13,125,7,-20,-1.5,145,11.2,-2,2,6.5,0,0,0,141,
219,Lucas Krull,26,DEN,TE,9,2,17,13,120,6,75,5.8,45,3.5,6.4,1,13,0,0,0,95.2,
220,Drew Sample,28,CIN,TE,13,11,15,13,72,4,29,2.2,43,3.3,2.3,0,,0,0,0,108.9,
221,Nick Vannett,31,TEN,TE,13,8,16,13,94,4,19,1.5,75,5.8,1,0,,0,0,1,104.7,
222,Cedrick Wilson Jr.,29,NOR,WR,11,0,16,13,159,7,102,7.8,57,4.4,9.2,0,,2,12.5,0,128.9,
223,Brock Wright,26,DET,TE,13,7,16,13,100,7,25,1.9,75,5.8,5.1,1,13,0,0,1,106.2,
224,Jahan Dotson,24,PHI,WR,13,5,21,12,122,6,70,5.8,52,4.3,9.3,0,,0,0,0,73.9,
225,Mecole Hardman,26,KAN,WR,12,0,14,12,90,6,-9,-0.8,99,8.3,-1,0,,0,0,0,93.5,
226,Julian Hill,24,MIA,TE,12,10,18,12,100,5,42,3.5,58,4.8,6.7,3,4,2,11.1,0,80.8,
227,Raheem Mostert,32,MIA,RB,9,1,16,12,117,8,23,1.9,94,7.8,1.4,2,6,0,0,0,95.1,
228,Ricky Pearsall,24,SFO,WR,7,2,20,12,137,5,88,7.3,49,4.1,10.8,1,12,0,0,0,97.3,
229,Ja'Lynn Polk,22,NWE,WR,12,6,31,12,87,4,74,6.2,13,1.1,11,0,,4,12.9,1,54.9,
230,Josh Reynolds,29,DEN,WR,5,1,19,12,183,8,148,12.3,35,2.9,11.4,0,,0,0,0,112.4,
231,Brian Robinson Jr.,25,WAS,RB,10,9,16,12,105,3,-21,-1.8,126,10.5,-1.8,1,12,0,0,1,65.9,
232,Trey Sermon,25,IND,RB,13,3,13,12,75,3,-6,-0.5,81,6.8,-0.5,0,,0,0,0,90.7,
233,Mo Alie-Cox,31,IND,TE,13,11,18,11,132,6,92,8.4,40,3.6,8.9,0,,1,5.6,0,102.1,
234,Ray Davis,25,BUF,RB,13,0,12,11,153,4,29,2.6,124,11.3,1.9,0,,0,0,0,146.5,
235,Ezekiel Elliott,29,DAL,RB,12,2,14,11,58,2,-26,-2.4,84,7.6,-1.8,1,11,0,0,0,83.9,
236,Roschon Johnson,23,CHI,RB,11,0,15,11,88,5,18,1.6,70,6.4,1.4,2,5.5,0,0,0,87.6,
237,Ty Johnson,27,BUF,RB,13,1,16,11,161,8,45,4.1,116,10.5,5.2,1,11,0,0,0,140.9,
238,Hunter Luepke,24,DAL,RB,12,3,13,11,110,5,26,2.4,84,7.6,2.5,0,,0,0,0,101.9,
239,Jordan Mason,25,SFO,RB,12,6,14,11,91,5,32,2.9,59,5.4,3.7,1,11,0,0,0,93.7,
240,Robert Woods,32,HOU,WR,11,2,17,11,112,7,67,6.1,45,4.1,8.7,0,,1,5.9,0,83.5,
241,Tyler Allgeier,24,ATL,RB,13,0,10,10,62,2,-2,-0.2,64,6.4,-0.2,1,10,0,0,0,92.5,
242,Jake Bobo,26,SEA,WR,13,2,14,10,89,5,65,6.5,24,2.4,8.8,0,,1,7.1,0,88.1,
243,Jalen Brooks,24,DAL,WR,11,1,28,10,148,6,111,11.1,37,3.7,13.4,1,10,1,3.6,2,24.1,
244,Tyler Goodson,24,IND,RB,12,0,13,10,56,3,-8,-0.8,64,6.4,1.5,2,5,2,15.4,0,109.8,
245,Jamycal Hasty,28,NWE,RB,13,0,12,10,59,2,-13,-1.3,72,7.2,-1.3,1,10,0,0,0,114.9,
246,Isiah Pacheco,25,KAN,RB,4,3,13,10,65,3,-37,-3.7,102,10.2,-1.5,1,10,1,7.7,0,87,
247,Trey Palmer,23,TAM,WR,11,3,18,10,141,6,107,10.7,34,3.4,12.6,0,,1,5.6,0,99.5,
248,Cordarrelle Patterson,33,PIT,RB,9,1,12,10,69,4,18,1.8,51,5.1,3,0,,0,0,1,55.9,
249,Malik Washington,23,MIA,WR,10,1,16,10,54,1,18,1.8,36,3.6,4.5,0,,1,6.3,0,68.2,
250,Cam Akers,25,2TM,RB,13,2,13,10,49,2,-1,-0.1,50,5,-0.8,0,,0,0,0,121.5,
250,Cam Akers,25,HOU,RB,5,2,7,4,16,1,5,1.3,11,2.8,-0.6,0,,0,0,0,101.8,
250,Cam Akers,25,MIN,RB,8,0,6,6,33,1,-6,-1,39,6.5,-1,0,,0,0,0,129.2,
251,Odell Beckham Jr.,32,MIA,WR,9,0,18,9,55,3,41,4.6,14,1.6,7.6,0,,1,5.6,1,33.3,
252,Chris Brooks,24,GNB,RB,11,0,10,9,58,2,-21,-2.3,79,8.8,-1.6,1,9,1,10,0,90.8,
253,Harrison Bryant,26,LVR,TE,9,2,12,9,86,5,15,1.7,71,7.9,3.4,2,4.5,0,0,1,59.7,
254,DeAndre Carter,31,CHI,WR,13,0,14,9,72,3,40,4.4,32,3.6,11.1,2,4.5,0,0,1,47.3,
255,Luke Farrell,27,JAX,TE,13,5,13,9,55,3,27,3,28,3.1,5.4,1,9,1,7.7,1,45.4,
256,Kenneth Gainwell,25,PHI,RB,13,0,13,9,56,2,15,1.7,41,4.6,1,2,4.5,0,0,0,77.7,
257,Alec Ingold,28,MIA,FB,11,6,10,9,75,3,26,2.9,49,5.4,3.1,0,,0,0,0,97.9,
258,Charlie Kolar,25,BAL,TE,12,3,11,9,131,4,55,6.1,76,8.4,6,0,,0,0,0,146.6,
259,Bub Means,23,NOR,WR,7,1,15,9,118,7,98,10.9,20,2.2,11.3,0,,1,6.7,0,107.1,
260,Pierre Strong,26,CLE,RB,11,0,15,9,86,3,-18,-2,104,11.6,-0.2,2,4.5,2,13.3,0,76,
261,Adam Trautman,27,DEN,TE,13,11,16,9,158,7,68,7.6,90,10,5.5,0,,1,6.3,0,110.9,
262,Tylan Wallace,25,BAL,WR,13,0,9,9,183,5,60,6.7,123,13.7,6.7,1,9,0,0,0,155.8,
263,Emanuel Wilson,25,GNB,RB,13,0,12,9,46,3,-40,-4.4,86,9.6,-4.3,1,9,0,0,0,108.3,
264,Daniel Bellinger,24,NYG,TE,13,5,10,8,76,5,47,5.9,29,3.6,6.2,0,,0,0,0,98.3,
265,Derius Davis,24,LAC,WR,11,2,12,8,47,2,-41,-5.1,88,11,2.6,1,8,0,0,0,74,
266,Eric Gray,25,NYG,RB,13,0,9,8,76,3,-23,-2.9,99,12.4,-2.7,1,8,1,11.1,0,101.9,
267,D'Ernest Johnson,28,JAX,RB,11,1,13,8,77,3,-5,-0.6,82,10.3,0.5,0,,0,0,1,46,
268,Andrew Ogletree,26,IND,TE,13,3,12,8,88,5,47,5.9,41,5.1,9.8,0,,1,8.3,0,116,
269,Brevyn Spann-Ford,25,DAL,TE,13,0,13,8,86,6,34,4.3,52,6.5,6.2,0,,0,0,0,80.9,
270,Sean Tucker,23,TAM,RB,13,0,11,8,104,6,1,0.1,103,12.9,0.4,1,8,0,0,0,132.4,
271,Nate Adkins,25,DEN,TE,13,7,8,7,50,3,27,3.9,23,3.3,6.3,0,,0,0,0,132.3,
272,Kevin Austin,24,NOR,WR,4,1,12,7,90,6,69,9.9,21,3,12.4,0,,1,8.3,1,47.2,
273,Michael Burton,32,DEN,FB,13,2,7,7,46,1,21,3,25,3.6,3,0,,0,0,0,94,
274,Britain Covey,27,PHI,WR,5,1,8,7,34,2,6,0.9,28,4,1.1,0,,1,12.5,0,84.4,
275,Isaiah Davis,22,NYJ,RB,13,0,10,7,65,4,9,1.3,56,8,2.5,0,,1,10,0,120.8,
276,Gerald Everett,30,CHI,TE,13,4,11,7,30,1,-7,-1,37,5.3,1.5,2,3.5,1,9.1,0,67.6,
277,Kylen Granson,26,IND,TE,13,4,19,7,94,3,53,7.6,41,5.9,13.5,0,,1,5.3,1,31.5,
278,Isaac Guerendo,24,SFO,RB,13,1,8,7,69,4,23,3.3,46,6.6,3.5,0,,0,0,0,102.6,
279,Hayden Hurst,31,LAC,TE,7,2,12,7,65,1,48,6.9,17,2.4,4.8,0,,2,16.7,0,73.3,
280,Xavier Hutchinson,24,HOU,WR,12,2,18,7,70,4,42,6,28,4,9.7,0,,2,11.1,0,50.7,
281,Jalin Hyatt,23,NYG,WR,12,3,16,7,53,3,47,6.7,6,0.9,18.4,0,,2,12.5,1,26.3,
282,Rakim Jarrett,23,TAM,WR,6,2,9,7,107,4,90,12.9,17,2.4,12.3,0,,0,0,0,116.2,
283,Ryan Miller,24,TAM,WR,7,3,13,7,84,6,36,5.1,48,6.9,8.8,0,,1,7.7,1,67.5,
284,K.J. Osborn,27,NWE,WR,7,4,18,7,57,2,41,5.9,16,2.3,5.9,0,,1,5.6,0,66.2,
285,Jalen Reagor,25,LAC,WR,8,2,12,7,100,3,74,10.6,26,3.7,10.3,0,,0,0,0,85.4,
286,Trent Sherfield,28,MIN,WR,13,1,8,7,77,3,39,5.6,38,5.4,6.3,0,,0,0,1,106.8,
287,Durham Smythe,29,MIA,TE,13,3,13,7,40,1,27,3.9,13,1.9,5.7,0,,1,7.7,0,59.8,
288,Jamaal Williams,29,NOR,RB,10,0,9,7,38,2,-1,-0.1,39,5.6,-2.1,0,,0,0,0,84.3,
289,Davis Allen,23,LAR,TE,11,5,12,6,39,2,18,3,21,3.5,2.6,0,,2,16.7,0,57.3,
290,John Bates,27,WAS,TE,13,5,9,6,64,1,26,4.3,38,6.3,2.7,1,6,1,11.1,0,87.3,
291,Trey Benson,21,ARI,RB,12,1,6,6,59,3,-19,-3.2,78,13,-3.2,2,3,0,0,0,107.6,
292,Pharaoh Brown,30,SEA,TE,11,5,10,6,44,1,21,3.5,23,3.8,3.6,1,6,1,10,0,70.4,
293,Parris Campbell,27,PHI,WR,5,0,8,6,30,1,21,3.5,9,1.5,4.3,0,,0,0,0,119.8,
294,Ty Chandler,26,MIN,RB,13,0,6,6,42,2,-11,-1.8,53,8.8,-1.8,0,,0,0,0,95.8,
295,Devin Duvernay,27,JAX,WR,9,1,10,6,30,4,5,0.8,25,4.2,12.5,0,,1,10,0,64.6,
296,Simi Fehoko,27,LAC,WR,8,2,16,6,106,6,90,15,16,2.7,14.8,0,,2,12.5,0,60.9,
297,Xavier Gipson,23,NYJ,WR,13,0,10,6,39,3,17,2.8,22,3.7,11.2,0,,1,10,0,101.7,
298,Malik Heath,24,GNB,WR,11,1,7,6,41,3,31,5.2,10,1.7,4.4,0,,0,0,0,130.7,
299,Brandon Powell,29,MIN,WR,13,1,9,6,59,4,48,8,11,1.8,10,0,,0,0,0,85,
300,Eric Saubert,30,SFO,TE,13,3,8,6,78,2,46,7.7,32,5.3,6.4,0,,1,12.5,0,105.2,
301,Stone Smartt,26,LAC,TE,11,0,8,6,98,5,69,11.5,29,4.8,12.8,0,,1,12.5,0,115.6,
302,Zamir White,25,LVR,RB,8,5,8,6,30,2,-20,-3.3,50,8.3,-3.1,2,3,1,12.5,0,80.2,
303,Tank Bigsby,23,JAX,RB,12,1,8,5,50,1,-5,-1,55,11,-2.1,1,5,1,12.5,1,40.6,
304,Nick Chubb,29,CLE,RB,7,7,10,5,31,3,0,0,31,6.2,-0.9,0,,0,0,1,50.4,
305,Greg Dulcich,24,DEN,TE,4,3,12,5,28,0,13,2.6,15,3,5.9,0,,2,16.7,0,49.3,
306,D'Onta Foreman,28,CLE,RB,8,2,5,5,46,1,4,0.8,42,8.4,0.8,1,5,0,0,0,105,
307,KhaDarel Hodge,29,ATL,WR,13,0,6,5,98,4,25,5,73,14.6,4.2,0,,0,0,0,158.3,
308,Hunter Long,26,LAR,TE,13,2,7,5,43,1,23,4.6,20,4,3.4,0,,0,0,0,87.2,
309,Bo Melton,25,GNB,WR,13,0,12,5,73,4,67,13.4,6,1.2,20.2,0,,0,0,1,27.4,
310,Scott Miller,27,PIT,WR,10,0,8,5,69,2,36,7.2,33,6.6,13,1,5,0,0,0,90.1,
311,Luke Musgrave,24,GNB,TE,4,2,7,5,22,1,7,1.4,15,3,5.7,0,,0,0,1,35.1,
312,MyCole Pruitt,32,PIT,TE,8,4,8,5,39,1,23,4.6,16,3.2,3.1,0,,0,0,0,74.5,
313,Laviska Shenault Jr.,26,SEA,WR,11,1,5,5,36,2,-10,-2,46,9.2,-2,0,,0,0,0,96.7,
314,Carson Steele,22,KAN,RB,13,2,9,5,24,0,-11,-2.2,35,7,-1.2,3,1.7,0,0,0,60.9,
315,Treylon Burks,24,TEN,WR,5,2,8,4,34,3,29,7.3,5,1.3,16.9,1,4,2,25,1,21.9,
316,Jermaine Burton,23,CIN,WR,11,1,14,4,107,4,85,21.3,22,5.5,21.1,0,,1,7.1,0,58.9,
317,Blake Corum,24,LAR,RB,13,0,4,4,31,2,-5,-1.3,36,9,-1.3,1,4,0,0,0,99,
318,Tucker Fisk,25,LAC,TE,5,4,5,4,14,0,4,1,10,2.5,1.2,0,,0,0,0,79.2,
319,Ryan Flournoy,25,DAL,WR,8,1,7,4,44,2,26,6.5,18,4.5,9.7,0,,1,14.3,0,75.9,
320,Connor Heyward,25,PIT,TE,13,4,6,4,29,1,22,5.5,7,1.8,9.3,0,,2,33.3,0,117.4,
321,Will Mallory,25,IND,TE,8,0,7,4,29,1,25,6.3,4,1,9.9,1,4,0,0,0,67,
322,Sincere McCormick,24,LVR,RB,4,1,5,4,12,1,-15,-3.8,27,6.8,-2.4,0,,0,0,0,79.2,
323,Jordan Mims,25,NOR,RB,9,0,7,4,42,2,-2,-0.5,44,11,-1.4,0,,0,0,0,74.7,
324,Bryce Oliver,24,TEN,WR,6,1,4,4,72,3,53,13.3,19,4.8,13.3,0,,0,0,0,118.7,
325,Tip Reiman,23,ARI,TE,13,8,4,4,29,1,6,1.5,23,5.8,1.5,1,4,0,0,0,96.9,
326,Ben Sims,24,GNB,TE,13,5,5,4,42,1,26,6.5,16,4,8,0,,0,0,0,101.7,
327,Ben Sinnott,22,WAS,TE,13,1,4,4,21,2,6,1.5,15,3.8,1.5,0,,0,0,0,128.1,
328,Deven Thompkins,25,CAR,WR,5,0,4,4,20,2,-8,-2,28,7,-2,0,,0,0,0,87.5,
329,Tyquan Thornton,24,NWE,WR,6,1,8,4,47,2,23,5.8,24,6,15.8,1,4,0,0,1,28.6,
330,Blake Whiteheart,24,CLE,TE,7,1,6,4,42,2,38,9.5,4,1,9.7,0,,0,0,0,126.4,
331,Charlie Woerner,27,ATL,TE,12,2,6,4,33,3,21,5.3,12,3,3,0,,0,0,0,80.6,
332,Michael Woods II,24,CLE,WR,2,0,8,4,55,4,27,6.8,28,7,11.4,1,4,0,0,0,72.4,
333,Alex Bachman,28,LVR,WR,6,1,3,3,31,2,21,7,10,3.3,7,0,,0,0,0,109.7,
334,Tyler Badie,24,DEN,RB,3,0,3,3,-2,0,-6,-2,4,1.3,-2,0,,0,0,0,79.2,
335,David Bell,24,CLE,WR,1,0,3,3,27,1,19,6.3,8,2.7,6.3,0,,0,0,0,104.2,
336,Jonathon Brooks,21,CAR,RB,3,1,3,3,23,2,-8,-2.7,31,10.3,-2.7,0,,0,0,0,98.6,
337,Tanner Conner,26,MIA,TE,8,1,4,3,16,1,11,3.7,5,1.7,11.5,0,,0,0,0,81.2,
338,Malachi Corley,22,NYJ,WR,8,1,6,3,16,1,11,3.7,5,1.7,8.3,0,,0,0,0,56.2,
339,Audric Estime,21,DEN,RB,9,0,3,3,9,1,-6,-2,15,5,-2,0,,0,0,0,79.2,
340,Peyton Hendershot,25,KAN,TE,5,0,3,3,26,1,11,3.7,15,5,3.7,0,,0,0,0,102.8,
341,Travis Homer,26,CHI,RB,9,0,3,3,11,0,1,0.3,10,3.3,0.3,0,,0,0,0,81.9,
342,Trenton Irwin,29,CIN,WR,7,2,10,3,15,1,11,3.7,4,1.3,6.2,0,,1,10,0,39.6,
343,Scott Matlock,24,LAC,DL,13,8,4,3,18,0,6,2,12,4,2,0,,1,25,0,83.3,
344,Dante Pettis,29,NOR,WR,4,0,6,3,22,1,7,2.3,15,5,2.8,1,3,1,16.7,0,59,
345,James Proche,28,CLE,WR,5,0,3,3,21,1,17,5.7,4,1.3,5.7,1,3,0,0,0,95.8,
346,Ainias Smith,23,PHI,WR,5,1,3,3,6,0,-1,-0.3,7,2.3,-0.3,0,,0,0,0,79.2,
347,Ian Thomas,28,CAR,TE,5,2,6,3,7,1,1,0.3,6,2,4.2,0,,1,16.7,1,16.7,
348,Jamari Thrash,24,CLE,WR,5,0,3,3,22,2,8,2.7,14,4.7,2.7,0,,0,0,0,97.2,
349,Deuce Vaughn,23,DAL,RB,6,0,5,3,18,0,5,1.7,13,4.3,0,1,3,0,0,0,67.1,
350,Kimani Vidal,23,LAC,RB,6,0,4,3,49,1,23,7.7,26,8.7,6.8,0,,1,25,0,155.2,
351,Jeff Wilson,29,MIA,RB,6,0,3,3,19,0,0,0,19,6.3,0,0,,0,0,0,93.1,
352,Jaylen Wright,21,MIA,RB,12,1,6,3,8,1,0,0,8,2.7,-1,1,3,1,16.7,0,56.2,
353,Kenny Yeboah,26,NYJ,TE,5,0,3,3,27,2,0,0,27,9,0,0,,0,0,0,143.7,
354,Khalil Herbert,26,2TM,RB,10,0,3,3,11,0,-4,-1.3,15,5,-1.3,0,,0,0,0,81.9,
354,Khalil Herbert,26,CHI,RB,6,0,2,2,4,0,-2,-1,6,3,-1,0,,0,0,0,79.2,
354,Khalil Herbert,26,CIN,RB,4,0,1,1,7,0,-2,-2,9,9,-2,0,,0,0,0,95.8,
355,Ronnie Bell,24,SFO,WR,9,0,6,2,22,2,20,10,2,1,10.8,0,,2,33.3,1,5.6,
356,Julius Chestnut,24,TEN,RB,13,0,2,2,11,0,-3,-1.5,14,7,-1.5,0,,0,0,0,89.6,
357,Jacob Cowing,23,SFO,WR,11,0,4,2,50,1,34,17,16,8,14,0,,0,0,1,56.2,
358,Josiah Deguara,27,JAX,TE,11,0,2,2,10,0,0,0,10,5,0,0,,0,0,0,87.5,
359,Ashton Dulin,27,IND,WR,12,2,8,2,67,2,24,12,43,21.5,19.3,1,2,1,12.5,1,62,
360,Payne Durham,24,TAM,TE,12,3,2,2,34,1,28,14,6,3,14,0,,0,0,0,118.7,
361,Gus Edwards,29,LAC,RB,9,4,3,2,3,0,-1,-0.5,4,2,-2,0,,0,0,0,70.1,
362,D'Wayne Eskridge,27,MIA,WR,5,0,2,2,36,2,18,9,18,9,9,0,,0,0,0,118.7,
363,C.J. Ham,31,MIN,FB,13,3,3,2,11,0,5,2.5,6,3,0,0,,0,0,0,72.9,
364,Isaiah Hodgins,26,NYG,WR,3,0,2,2,12,0,11,5.5,1,0.5,5.5,0,,0,0,0,91.7,
365,Tim Jones,26,JAX,WR,13,0,4,2,30,2,13,6.5,17,8.5,7.3,0,,0,0,0,75,
366,Zay Jones,29,ARI,WR,7,1,4,2,16,2,2,1,14,7,3.3,0,,0,0,1,20.8,
367,Brevin Jordan,24,HOU,TE,2,1,3,2,7,1,4,2,3,1.5,0.3,0,,0,0,0,70.1,
368,Kenny McIntosh,24,SEA,RB,13,0,2,2,7,0,3,1.5,4,2,1.5,0,,0,0,0,81.2,
369,Jeremy McNichols,29,WAS,RB,13,1,3,2,7,0,-2,-1,9,4.5,-1.3,0,,0,0,0,70.1,
370,Kendre Miller,22,NOR,RB,3,0,4,2,1,0,-3,-1.5,4,2,0.3,0,,1,25,0,56.2,
371,Quintin Morris,25,BUF,TE,12,2,3,2,16,2,8,4,8,4,13,0,,0,0,0,119.4,
372,Dameon Pierce,24,HOU,RB,7,0,2,2,2,0,-3,-1.5,5,2.5,-1.5,1,2,0,0,0,79.2,
373,Patrick Ricard,30,BAL,FB,13,5,4,2,8,1,3,1.5,5,2.5,1.3,0,,1,25,0,95.8,
374,Allen Robinson,31,DET,WR,9,0,5,2,9,2,7,3.5,2,1,5,0,,1,20,0,47.9,
375,Ben Skowronek,27,PIT,WR,7,1,2,2,27,1,18,9,9,4.5,9,0,,0,0,0,118.7,
376,Xavier Smith,27,LAR,WR,11,0,2,2,6,1,1,0.5,5,2.5,0.5,0,,0,0,0,79.2,
377,Jack Stoll,26,PHI,TE,7,2,3,2,10,0,8,4,2,1,4,0,,0,0,0,71.5,
378,J.J. Taylor,26,HOU,RB,5,0,3,2,0,0,-1,-0.5,1,0.5,-2,0,,1,33.3,0,70.1,
379,Eric Tomlinson,32,LAC,TE,8,1,4,2,9,0,-3,-1.5,12,6,2,1,2,1,25,0,56.2,
380,Austin Trammell,26,JAX,WR,1,0,3,2,40,2,31,15.5,9,4.5,14.7,0,,0,0,0,109.7,
381,Cody White,26,SEA,WR,4,0,3,2,44,2,31,15.5,13,6.5,13.3,0,,0,0,0,109.7,
382,Kristian Wilkerson,27,LVR,WR,3,0,3,2,18,2,7,3.5,11,5.5,5.3,0,,0,0,0,122.2,
383,Isaiah Williams,23,DET,WR,2,0,3,2,6,0,-1,-0.5,7,3.5,5,2,1,0,0,0,70.1,
384,Johnny Wilson,23,PHI,WR,12,3,9,2,14,2,8,4,6,3,12.2,0,,0,0,0,76.6,
385,Jaheim Bell,23,NWE,TE,11,0,2,1,1,0,-2,-2,3,3,3,0,,0,0,0,56.2,
386,Mike Caliendo,27,KAN,OL,13,0,1,1,5,1,2,2,3,3,2,0,,0,0,0,87.5,
387,DJ Chark,28,LAC,WR,3,0,1,1,9,0,4,4,5,5,4,0,,0,0,0,104.2,
388,Dan Chisena,27,CAR,WR,3,0,1,1,6,0,5,5,1,1,5,0,,0,0,0,91.7,
389,Robbie Chosen,31,MIA,WR,2,0,4,1,5,0,4,4,1,1,11.8,0,,0,0,1,0,
390,Chris Conley,32,SFO,WR,11,1,7,1,4,0,4,4,0,0,22.3,0,,0,0,1,0,
391,Dalvin Cook,29,DAL,RB,2,0,1,1,10,1,3,3,7,7,3,0,,0,0,0,108.3,
392,Jamison Crowder,31,WAS,WR,2,0,1,1,5,0,-3,-3,8,8,-3,0,,0,0,0,87.5,
393,Jaelon Darden,25,CLE,WR,7,1,1,1,6,1,-3,-3,9,9,-3,0,,0,0,0,91.7,
394,Zach Davidson,26,BUF,TE,2,0,2,1,5,0,3,3,2,2,1.5,0,,0,0,0,56.2,
395,Divine Deablo,26,LVR,LB,10,10,1,1,34,1,4,4,30,30,4,0,,0,0,0,118.7,
396,Grant Dubose,23,MIA,WR,2,0,3,1,13,1,13,13,0,0,17.3,0,,0,0,1,8.3,
397,Ross Dwelley,29,ATL,TE,13,0,1,1,5,0,1,1,4,4,1,0,,0,0,0,87.5,
398,John FitzPatrick,24,GNB,TE,5,0,1,1,2,0,2,2,0,0,2,0,,0,0,0,79.2,
399,Jody Fortson,29,KAN,TE,3,0,3,1,5,1,3,3,2,2,1.3,0,,0,0,1,2.8,
400,Myles Gaskin,27,MIN,RB,5,0,1,1,11,0,-2,-2,13,13,-2,0,,0,0,0,112.5,
401,Jared Goff,30,DET,QB,13,13,1,1,7,1,5,5,2,2,5,0,,0,0,0,135.4,
402,Cam Grandy,24,CIN,TE,4,2,1,1,0,0,-1,-1,1,1,-1,0,,0,0,0,79.2,
403,George Holani,25,SEA,RB,2,0,1,1,-1,0,-1,-1,0,0,-1,0,,0,0,0,79.2,
404,Dallin Holker,24,NOR,TE,8,1,1,1,10,1,-1,-1,11,11,-1,0,,0,0,0,108.3,
405,Jha'Quan Jackson,24,TEN,WR,12,0,3,1,8,1,6,6,2,2,26,0,,0,0,0,42.4,
406,Brandon Johnson,26,PIT,WR,3,0,1,1,9,0,5,5,4,4,5,0,,0,0,0,104.2,
407,Collin Johnson,27,CHI,WR,5,0,1,1,6,1,3,3,3,3,3,0,,0,0,0,91.7,
408,Charlie Jones,26,CIN,WR,8,0,1,1,5,0,5,5,0,0,5,0,,0,0,0,87.5,
409,Velus Jones Jr.,27,CHI,WR,1,0,1,1,8,0,-5,-5,13,13,-5,0,,0,0,0,100,
410,Ramel Keyton,24,LVR,WR,4,0,3,1,7,1,7,7,0,0,10,0,,0,0,0,42.4,
411,JC Latham,21,TEN,OT,13,13,1,1,0,0,-4,-4,4,4,-4,0,,0,0,0,79.2,
412,Marcedes Lewis,40,CHI,TE,13,3,2,1,2,1,1,1,1,1,7,0,,0,0,0,56.2,
413,MarShawn Lloyd,23,GNB,RB,1,0,1,1,3,0,-5,-5,8,8,-5,0,,0,0,0,79.2,
414,Vederian Lowe,25,NWE,T,10,9,1,1,4,1,4,4,0,0,4,0,,0,0,0,122.9,
415,Patrick Mahomes,29,KAN,QB,13,13,1,1,2,0,-1,-1,3,3,-1,0,,0,0,0,79.2,
416,Chris Manhertz,32,NYG,TE,13,8,2,1,2,1,2,2,0,0,3,0,,0,0,0,95.8,
417,Terrace Marshall Jr.,24,LVR,WR,3,0,2,1,6,0,5,5,1,1,3,0,,0,0,0,56.2,
418,Wanya Morris,24,KAN,OL,13,10,1,1,1,1,1,1,0,0,1,0,,0,0,0,118.7,
419,Bo Nix,24,DEN,QB,13,13,1,1,2,1,2,2,0,0,2,0,,0,0,0,118.7,
420,Kendric Pryor,26,CIN,WR,1,0,1,1,9,0,9,9,0,0,9,0,,0,0,0,104.2,
421,Ronnie Rivers,25,LAR,RB,13,0,1,1,0,0,-7,-7,7,7,-7,0,,0,0,0,79.2,
422,John Ross,29,PHI,WR,1,0,2,1,6,1,4,4,2,2,23.5,0,,0,0,0,56.2,
423,Trenton Scott,30,WAS,T,13,1,1,1,1,1,1,1,0,0,1,0,,0,0,0,118.7,
424,John Samuel Shenker,26,LVR,TE,5,0,1,1,7,0,4,4,3,3,4,0,,0,0,0,95.8,
425,Tyler Smith,23,DAL,OL,12,12,1,1,0,0,-6,-6,6,6,-6,0,,0,0,0,79.2,
426,Geoff Swaim,31,CLE,TE,8,2,1,1,7,0,2,2,5,5,2,0,,0,0,0,95.8,
