,,,,,,,Rushing,,,,,,,,,
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
112,Kirk Cousins,36,ATL,QB,13,13,20,0,2,-6,-0.3,6,0.3,0,,
113,Jamycal Hasty,28,NWE,RB,13,0,20,69,4,38,1.9,31,1.6,0,,
114,Will Shipley,22,PHI,RB,13,1,20,50,1,24,1.2,26,1.3,0,,
115,Kendre Miller,22,NOR,RB,3,0,19,84,6,31,1.6,53,2.8,4,4.8,
116,Gardner Minshew II,28,LVR,QB,10,9,19,58,5,45,2.4,13,0.7,0,,
117,Pierre Strong,26,CLE,RB,11,0,19,69,4,41,2.2,28,1.5,0,,
118,Cooper Rush,31,DAL,QB,9,5,18,15,4,5,0.3,10,0.6,0,,
119,Derek Carr,33,NOR,QB,10,10,17,71,4,66,3.9,5,0.3,0,,
120,Julius Chestnut,24,TEN,RB,13,0,17,74,1,36,2.1,38,2.2,2,8.5,
121,Matthew Stafford,36,LAR,QB,13,13,17,11,4,8,0.5,3,0.2,0,,
122,Tyler Huntley,26,MIA,QB,3,3,16,67,6,60,3.8,7,0.4,0,,
123,Samaje Perine,29,KAN,RB,13,0,16,71,7,41,2.6,30,1.9,0,,
124,Malik Willis,25,GNB,QB,5,2,16,137,6,91,5.7,46,2.9,3,5.3,
125,Jacoby Brissett,32,NWE,QB,7,5,15,62,5,49,3.3,13,0.9,0,,
126,Isaiah Davis,22,NYJ,RB,13,0,15,62,4,22,1.5,40,2.7,3,5,
127,Dameon Pierce,24,HOU,RB,7,0,15,100,2,22,1.5,78,5.2,3,5,
128,Aaron Rodgers,41,NYJ,QB,13,13,15,56,4,55,3.7,1,0.1,1,15,
129,Tua Tagovailoa,26,MIA,QB,9,9,15,50,5,50,3.3,0,0,0,,
130,Hassan Haskins,25,LAC,RB,13,0,14,26,6,8,0.6,18,1.3,0,,
131,CeeDee Lamb,25,DAL,WR,13,13,14,70,4,37,2.6,33,2.4,1,14,
132,Jordan Mims,25,NOR,RB,9,0,14,42,1,25,1.8,17,1.2,0,,
133,Patrick Taylor,26,SFO,RB,9,0,14,50,3,26,1.9,24,1.7,0,,
134,Eric Gray,25,NYG,RB,13,0,13,25,1,14,1.1,11,0.8,0,,
135,Mac Jones,26,JAX,QB,6,3,13,24,3,20,1.5,4,0.3,0,,
136,Marcus Mariota,31,WAS,QB,2,0,13,36,3,30,2.3,6,0.5,0,,
137,Jase McClellan,22,ATL,RB,2,0,13,32,2,13,1,19,1.5,0,,
138,Dak Prescott,31,DAL,QB,8,8,13,54,5,48,3.7,6,0.5,0,,
139,Jayden Reed,24,GNB,WR,13,7,13,128,6,87,6.7,41,3.2,1,13,
140,Mason Rudolph,29,TEN,QB,4,3,13,61,6,53,4.1,8,0.6,0,,
141,Craig Reynolds,28,DET,RB,13,0,12,51,3,38,3.2,13,1.1,1,12,
142,Xavier Worthy,21,KAN,WR,13,10,12,54,2,35,2.9,19,1.6,1,12,
143,Tyler Badie,24,DEN,RB,3,0,11,86,4,22,2,64,5.8,1,11,
144,Andy Dalton,37,CAR,QB,6,5,11,34,2,15,1.4,19,1.7,1,11,
145,Kenny McIntosh,24,SEA,RB,13,0,11,54,4,30,2.7,24,2.2,0,,
146,Mitchell Trubisky,30,BUF,QB,7,0,11,-10,0,-10,-0.9,0,0,0,,
147,Deuce Vaughn,23,DAL,RB,6,0,11,33,0,17,1.5,16,1.5,0,,
148,Khalil Herbert,26,2TM,RB,10,0,11,34,4,19,1.7,15,1.4,0,,
148,Khalil Herbert,26,CHI,RB,6,0,8,16,3,6,0.8,10,1.3,0,,
148,Khalil Herbert,26,CIN,RB,4,0,3,18,1,13,4.3,5,1.7,0,,
149,Jake Haener,25,NOR,QB,7,0,10,15,0,15,1.5,0,0,0,,
150,Drew Lock,28,NYG,QB,5,2,10,129,7,100,10,29,2.9,0,,
151,Marvin Mims,22,DEN,WR,13,1,10,40,3,13,1.3,27,2.7,1,10,
152,Ronnie Rivers,25,LAR,RB,13,0,10,51,5,35,3.5,16,1.6,0,,
153,J.J. Taylor,26,HOU,RB,5,0,10,44,1,34,3.4,10,1,0,,
154,Jonathon Brooks,21,CAR,RB,3,1,9,22,0,8,0.9,14,1.6,1,9,
155,Derius Davis,24,LAC,WR,11,2,9,46,2,29,3.2,17,1.9,0,,
156,Alec Ingold,28,MIA,FB,11,6,9,13,5,1,0.1,12,1.3,0,,
157,Hunter Luepke,24,DAL,RB,12,3,9,23,4,8,0.9,15,1.7,0,,
158,Puka Nacua,23,LAR,WR,8,8,9,35,2,22,2.4,13,1.4,0,,
